feature,Selection count,Pair count,CPSS Score
METH__NQO1,99,49,0.99
TPM__NQO1,99,49,0.99
TPM__ASCC3,97,47,0.97
TPM__SREBF1,95,45,0.95
TPM__NOB1,94,44,0.94
METH__RAN,92,42,0.92
TPM__STK32A,89,39,0.89
METH__ZNF75A,83,33,0.83
TPM__MYT1,83,33,0.83
TPM__LDLRAP1,78,29,0.78
METH__ADCY3,77,27,0.77
TPM__SRGN,74,24,0.74
TPM__TNFAIP8,74,24,0.74
TPM__RASGEF1B,70,20,0.7
TPM__PRKCD,69,20,0.69
TPM__LIPT2,68,18,0.68
TPM__DUSP7,68,18,0.68
METH__HHATL,67,18,0.67
TPM__SBK1,65,15,0.65
METH__CLDN16,65,16,0.65
TPM__IER2,64,15,0.64
METH__LOC100130932,61,12,0.61
METH__DCAF15,61,12,0.61
TPM__RRAGD,56,7,0.56
TPM__WNK3,56,9,0.56
TPM__JADE3,56,8,0.56
METH__ZNF525,55,6,0.55
METH__ZNF238,54,8,0.54
TPM__ZC3H12A,53,6,0.53
TPM__DCDC2,53,5,0.53
TPM__EOGT,52,6,0.52
TPM__TMBIM1,52,5,0.52
TPM__GABRB3,51,5,0.51
TPM__NFKB1,50,6,0.5
TPM__LINC00471,50,6,0.5
TPM__FNBP1L,50,9,0.5
TPM__CARD6,49,5,0.49
TPM__ANKRD6,48,4,0.48
METH__TRAPPC3,48,2,0.48
TPM__E2F1,48,3,0.48
TPM__PDCL3P4,48,3,0.48
TPM__TPM4,48,3,0.48
METH__SEMA3G,47,3,0.47
TPM__ZBTB18,47,4,0.47
METH__LIG4,47,3,0.47
TPM__LZTS3,46,5,0.46
METH__LOC728276,46,3,0.46
METH__ZNF571,46,2,0.46
TPM__CNN3-DT,46,5,0.46
METH__WBSCR17,46,4,0.46
TPM__ENPP4,46,1,0.46
TPM__TRIM14,45,4,0.45
METH__MIR592,45,3,0.45
METH__TPM4,45,3,0.45
TPM__ZNF571-AS1,45,3,0.45
TPM__TMSB15A,45,5,0.45
METH__PITPNM1,45,3,0.45
METH__MAT2B,44,2,0.44
