feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
MUT__PIK3CA,100,50,1.0,0.05999999865889549,-0.24,0.22,True,1.0
METH__CCDC154,95,45,0.95,0.03999999910593033,0.12,0.02,True,0.458
TPM__TSR2,93,43,0.93,0.029999999329447746,0.2,0.05,True,0.053
METH__C12orf56,92,42,0.92,0.03999999910593033,-0.18,0.02,False,0.013
TPM__HLCS-AS1,92,42,0.92,0.029999999329447746,0.16,0.04,False,0.013
TPM__RNASEL,90,40,0.9,0.05000000074505806,-0.2,0.0,False,0.0
TPM__NPTX1,89,39,0.89,0.03999999910593033,0.19,0.08,False,0.0
METH__NUAK1,89,39,0.89,0.029999999329447746,-0.17,0.03,False,0.0
TPM__GAB2,87,37,0.87,0.05000000074505806,0.21,0.06,False,0.0
TPM__FOXO1,86,36,0.86,0.05000000074505806,-0.19,0.04,False,0.0
METH__DCUN1D3,86,36,0.86,0.05999999865889549,-0.24,0.1,False,0.0
TPM__SMIM10L1,85,35,0.85,0.05000000074505806,0.21,0.01,False,0.0
TPM__RPUSD2,85,35,0.85,0.029999999329447746,-0.18,0.04,False,0.0
METH__SNORA70B,84,34,0.84,0.029999999329447746,0.05,0.12,False,0.0
TPM__FAM157D,79,29,0.79,0.029999999329447746,-0.15,0.1,False,0.0
TPM__STPG1,78,28,0.78,0.029999999329447746,0.18,0.0,False,0.0
TPM__LAMA1,78,28,0.78,0.029999999329447746,0.19,0.09,False,0.0
TPM__MDFI,77,27,0.77,0.03999999910593033,-0.17,0.05,False,0.0
TPM__MAST3,75,25,0.75,0.029999999329447746,-0.15,0.03,False,0.0
TPM__YRDC,74,24,0.74,0.029999999329447746,0.18,0.09,False,0.0
TPM__KRT17,73,23,0.73,0.03999999910593033,-0.16,0.02,False,0.0
TPM__STK32A,73,23,0.73,0.05000000074505806,0.22,0.07,False,0.0
TPM__ENTREP1,71,21,0.71,0.029999999329447746,0.19,0.0,False,0.0
TPM__SEMA4A,69,19,0.69,0.11999999731779099,-0.28,0.09,False,0.0
TPM__LPAR5,69,19,0.69,0.029999999329447746,-0.17,0.03,False,0.0
TPM__PPME1,68,20,0.68,0.05000000074505806,0.2,0.06,False,0.0
