feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__PTGR2,100,50,1.0,0.029999999329447746,-0.23,0.22,True,1.0
TPM__MIR200CHG,100,50,1.0,0.03999999910593033,0.22,0.19,True,1.0
METH__LRBA,100,50,1.0,0.0,-0.09,0.23,True,1.0
METH__LRP6,96,46,0.96,0.05000000074505806,-0.18,0.22,True,0.832
CNV__RUNX1T1,94,44,0.94,0.05000000074505806,0.25,0.23,True,0.181
CNV__AJUBA,92,42,0.92,0.03999999910593033,0.21,0.23,False,0.013
CNV__NKX2-1,92,42,0.92,0.019999999552965164,0.26,0.22,False,0.013
CNV__CD274,90,40,0.9,0.0,0.01,0.22,False,0.0
CNV__NFKBIA,90,40,0.9,0.019999999552965164,0.26,0.23,False,0.0
CNV__ARHGAP5,89,39,0.89,0.009999999776482582,0.25,0.23,False,0.0
CNV__FOXA1,87,37,0.87,0.029999999329447746,0.25,0.23,False,0.0
CNV__FANCG,86,36,0.86,0.0,0.09,0.21,False,0.0
CNV__PSIP1,84,34,0.84,0.0,0.02,0.22,False,0.0
METH__AGPHD1,83,33,0.83,0.029999999329447746,-0.16,0.25,False,0.0
CNV__DCSTAMP,83,33,0.83,0.05999999865889549,0.26,0.21,False,0.0
METH__C7orf70,83,33,0.83,0.03999999910593033,0.13,0.26,False,0.0
METH__MYC,82,32,0.82,0.029999999329447746,-0.1,0.21,False,0.0
CNV__EIF3E,82,32,0.82,0.05000000074505806,0.25,0.2,False,0.0
CNV__UBR5,81,33,0.81,0.03999999910593033,0.27,0.21,False,0.0
METH__TNKS2,81,32,0.81,0.019999999552965164,-0.07,0.21,False,0.0
CNV__NUMA1,81,31,0.81,0.029999999329447746,0.26,0.24,False,0.0
CNV__PTPRD,81,31,0.81,0.0,0.02,0.23,False,0.0
CNV__ZNF429,81,31,0.81,0.0,0.08,0.22,False,0.0
CNV__RELA,80,31,0.8,0.03999999910593033,0.25,0.22,False,0.0
CNV__FANCM,80,31,0.8,0.05999999865889549,0.26,0.23,False,0.0
METH__SPIN1,78,29,0.78,0.029999999329447746,-0.16,0.21,False,0.0
CNV__IKZF1,78,29,0.78,0.029999999329447746,0.22,0.22,False,0.0
CNV__PICALM,77,28,0.77,0.029999999329447746,0.23,0.27,False,0.0
CNV__JAK2,77,27,0.77,0.0,0.02,0.23,False,0.0
CNV__MEN1,76,28,0.76,0.05000000074505806,0.26,0.22,False,0.0
CNV__NT5C3A,76,28,0.76,0.03999999910593033,0.22,0.21,False,0.0
CNV__FAM135B,75,26,0.75,0.029999999329447746,0.26,0.22,False,0.0
CNV__MAML2,73,26,0.73,0.05000000074505806,0.23,0.25,False,0.0
CNV__RAC1,72,26,0.72,0.029999999329447746,0.19,0.22,False,0.0
CNV__PDCD1LG2,72,24,0.72,0.0,0.01,0.23,False,0.0
CNV__BCL9L,71,23,0.71,0.029999999329447746,0.23,0.24,False,0.0
CNV__EXT1,71,22,0.71,0.009999999776482582,0.25,0.24,False,0.0
CNV__NBN,70,22,0.7,0.03999999910593033,0.25,0.25,False,0.0
CNV__PREX2,70,22,0.7,0.03999999910593033,0.22,0.23,False,0.0
CNV__DDX6,68,18,0.68,0.029999999329447746,0.21,0.23,False,0.0
CNV__FAT3,68,22,0.68,0.03999999910593033,0.24,0.23,False,0.0
CNV__NDRG1,68,23,0.68,0.03999999910593033,0.26,0.23,False,0.0
METH__ARG2,67,20,0.67,0.009999999776482582,-0.17,0.21,False,0.0
CNV__KDSR,67,21,0.67,0.0,-0.03,0.2,False,0.0
CNV__RAD21,66,18,0.66,0.029999999329447746,0.25,0.23,False,0.0
CNV__CCNB1IP1,65,20,0.65,0.03999999910593033,0.2,0.24,False,0.0
CNV__HOXD11,64,16,0.64,0.03999999910593033,0.24,0.24,False,0.0
CNV__RSPO2,64,17,0.64,0.05000000074505806,0.25,0.2,False,0.0
CNV__BCL2,63,17,0.63,0.0,-0.03,0.2,False,0.0
CNV__NCOA2,62,16,0.62,0.03999999910593033,0.22,0.23,False,0.0
CNV__CBL,62,18,0.62,0.03999999910593033,0.23,0.24,False,0.0
CNV__ARHGEF12,62,17,0.62,0.03999999910593033,0.23,0.24,False,0.0
CNV__MEF2B,60,12,0.6,0.0,0.08,0.23,False,0.0
CNV__MARK2,59,14,0.59,0.029999999329447746,0.25,0.22,False,0.0
CNV__KMT2A,58,15,0.58,0.029999999329447746,0.22,0.22,False,0.0
CNV__MYC,55,15,0.55,0.0,0.22,0.22,False,0.0
CNV__TCIRG1,54,13,0.54,0.019999999552965164,0.25,0.23,False,0.0
CNV__SDHD,53,12,0.53,0.019999999552965164,0.2,0.23,False,0.0
CNV__DCC,51,13,0.51,0.0,-0.03,0.21,False,0.0
CNV__RECQL4,51,11,0.51,0.029999999329447746,0.23,0.22,False,0.0
CNV__TCF3,50,9,0.5,0.0,0.04,0.21,False,0.002
CNV__GNA11,50,7,0.5,0.0,0.04,0.21,True,0.053
CNV__ACVR1,49,8,0.49,0.05000000074505806,0.24,0.23,False,0.013
CNV__PAFAH1B2,49,7,0.49,0.029999999329447746,0.21,0.22,True,0.053
CNV__KEAP1,49,9,0.49,0.0,0.06,0.22,False,0.002
CNV__SMARCA4,48,6,0.48,0.0,0.06,0.21,True,0.181
CNV__DEK,46,8,0.46,0.019999999552965164,0.16,0.23,False,0.013
CNV__NIN,46,11,0.46,0.05000000074505806,0.23,0.22,False,0.0
CNV__SH3GL1,46,6,0.46,0.0,0.04,0.23,True,0.181
CNV__HOXD13,46,6,0.46,0.03999999910593033,0.24,0.24,True,0.181
CNV__KTN1,46,8,0.46,0.05000000074505806,0.23,0.22,False,0.013
CNV__RGL3,45,3,0.45,0.0,0.06,0.21,True,0.992
CNV__MALT1,44,8,0.44,0.0,-0.03,0.21,False,0.013
CNV__TBL1XR1,41,9,0.41,0.029999999329447746,0.18,0.22,False,0.002
CNV__CHD2,41,7,0.41,0.03999999910593033,0.2,0.23,True,0.053
CNV__ID3,40,6,0.4,0.0,0.1,0.23,True,0.181
METH__TACO1,40,5,0.4,0.0,-0.05,0.21,True,0.458
TPM__SNORA70,39,6,0.39,0.0,-0.02,0.22,True,0.181
CNV__CCND1,39,9,0.39,0.009999999776482582,0.24,0.21,False,0.002
CNV__ZNF780A,39,8,0.39,0.019999999552965164,0.19,0.22,False,0.013
METH__CEP290,38,5,0.38,0.029999999329447746,-0.11,0.23,True,0.458
CNV__EPHA2,37,6,0.37,0.009999999776482582,0.13,0.25,True,0.181
CNV__TENT5C,36,4,0.36,0.0,0.1,0.22,True,0.832
METH__PTGER4,36,3,0.36,0.009999999776482582,-0.09,0.24,True,0.992
METH__UGDH,36,4,0.36,0.009999999776482582,-0.03,0.22,True,0.832
CNV__POLQ,36,7,0.36,0.029999999329447746,0.2,0.23,True,0.053
METH__IFNGR1,36,2,0.36,0.019999999552965164,-0.14,0.22,True,1.0
CNV__FAM174B,35,2,0.35,0.03999999910593033,0.2,0.24,True,1.0
METH__ERCC3,35,2,0.35,0.009999999776482582,0.09,0.22,True,1.0
CNV__TMPRSS2,35,4,0.35,0.0,0.09,0.22,True,0.832
CNV__PBX1,35,1,0.35,0.009999999776482582,0.12,0.21,True,1.0
CNV__NF1,35,3,0.35,0.029999999329447746,0.15,0.22,True,0.992
METH__C16orf75,34,5,0.34,0.0,-0.01,0.22,True,0.458
CNV__MAP3K13,34,5,0.34,0.03999999910593033,0.19,0.21,True,0.458
CNV__COL2A1,33,3,0.33,0.03999999910593033,0.2,0.3,True,0.992
CNV__ZNF384,33,3,0.33,0.019999999552965164,0.18,0.25,True,0.992
CNV__CD58,33,3,0.33,0.0,0.09,0.23,True,0.992
METH__DYNC1LI1,32,6,0.32,0.009999999776482582,-0.1,0.22,True,0.181
CNV__NRP1,32,5,0.32,0.019999999552965164,0.17,0.21,True,0.458
CNV__SOX2,32,7,0.32,0.019999999552965164,0.19,0.21,True,0.053
METH__SYAP1,32,0,0.32,0.019999999552965164,-0.1,0.22,False,
CNV__BLM,31,1,0.31,0.0,0.19,0.24,True,1.0
CNV__SDHC,31,7,0.31,0.009999999776482582,0.13,0.2,True,0.053
CNV__RAD51D,31,7,0.31,0.029999999329447746,0.18,0.22,True,0.053
CNV__CASP8,31,3,0.31,0.029999999329447746,0.2,0.24,True,0.992
CNV__ATP1A1,31,2,0.31,0.0,0.09,0.23,True,1.0
CNV__TMEM127,30,3,0.3,0.029999999329447746,0.23,0.22,True,0.992
CNV__RPL22,30,3,0.3,0.009999999776482582,0.13,0.2,True,0.992
METH__SREBF2,30,1,0.3,0.009999999776482582,0.12,0.22,True,1.0
CNV__PIK3CA,30,4,0.3,0.029999999329447746,0.19,0.21,True,0.832
CNV__MSH6,30,4,0.3,0.029999999329447746,0.21,0.23,True,0.832
CNV__RBM15,30,1,0.3,0.009999999776482582,0.09,0.22,True,1.0
CNV__FES,29,1,0.29,0.03999999910593033,0.2,0.24,True,1.0
CNV__FANCI,29,2,0.29,0.0,0.19,0.23,True,1.0
METH__C22orf30,29,1,0.29,0.009999999776482582,0.1,0.21,True,1.0
CNV__ZBTB16,29,1,0.29,0.029999999329447746,0.2,0.22,True,1.0
CNV__ARID1A,29,5,0.29,0.0,0.08,0.22,True,0.458
CNV__NRAS,29,3,0.29,0.0,0.08,0.22,True,0.992
CNV__CHD4,29,2,0.29,0.019999999552965164,0.18,0.25,True,1.0
CNV__TFG,29,2,0.29,0.029999999329447746,0.19,0.24,True,1.0
CNV__MTOR,29,3,0.29,0.009999999776482582,0.13,0.23,True,0.992
CNV__SDHB,29,2,0.29,0.009999999776482582,0.11,0.24,True,1.0
CNV__WWTR1,28,2,0.28,0.019999999552965164,0.18,0.26,True,1.0
CNV__BMPR2,28,5,0.28,0.029999999329447746,0.19,0.24,True,0.458
CNV__MYCN,28,3,0.28,0.009999999776482582,0.12,0.26,True,0.992
METH__MRPL39,28,1,0.28,0.019999999552965164,-0.09,0.21,True,1.0
CNV__GATA2,27,2,0.27,0.029999999329447746,0.21,0.22,True,1.0
CNV__PPP2R1A,27,4,0.27,0.029999999329447746,0.19,0.21,True,0.832
CNV__PRDM2,27,3,0.27,0.009999999776482582,0.12,0.24,True,0.992
CNV__U2AF2,26,3,0.26,0.029999999329447746,0.21,0.23,True,0.992
CNV__IDH2,26,3,0.26,0.0,0.19,0.24,True,0.992
CNV__PRDM16,26,2,0.26,0.0,0.11,0.22,True,1.0
CNV__CRTC3,26,1,0.26,0.0,0.19,0.24,True,1.0
CNV__POU2AF1,26,1,0.26,0.009999999776482582,0.21,0.22,True,1.0
CNV__ARHGAP26,25,4,0.25,0.029999999329447746,0.21,0.21,True,0.832
CNV__CD79A,25,0,0.25,0.019999999552965164,0.18,0.22,False,
CNV__SF3B1,25,1,0.25,0.029999999329447746,0.2,0.24,True,1.0
CNV__TRIM33,25,1,0.25,0.0,0.08,0.22,True,1.0
CNV__HSPG2,25,1,0.25,0.0,0.1,0.23,True,1.0
