feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__SLFN11,100,50,1.0,0.1599999964237213,-0.39,0.14,True,1.0
TPM__MOB3A,98,48,0.98,0.17000000178813934,-0.36,0.13,True,1.0
TPM__HNRNPA1,96,46,0.96,0.1599999964237213,-0.43,0.16,True,0.832
TPM__MRPS18AP1,95,45,0.95,0.17000000178813934,-0.36,0.12,True,0.458
TPM__SYTL2,91,41,0.91,0.1599999964237213,0.41,0.14,False,0.002
TPM__CETN2,88,38,0.88,0.1599999964237213,0.39,0.06,False,0.0
TPM__PTTG1IP,84,34,0.84,0.1599999964237213,0.39,0.1,False,0.0
TPM__RASSF7,80,30,0.8,0.1599999964237213,0.41,0.14,False,0.0
TPM__TRNP1,80,30,0.8,0.17000000178813934,0.41,0.09,False,0.0
TPM__CBR3-AS1,78,28,0.78,0.1599999964237213,0.39,0.12,False,0.0
METH__MLL2,78,29,0.78,0.17000000178813934,0.41,0.16,False,0.0
TPM__MGAT4B,74,25,0.74,0.20999999344348907,0.46,0.19,False,0.0
TPM__KIF21B,71,21,0.71,0.18000000715255737,-0.36,0.12,False,0.0
TPM__PPP1R16B,71,21,0.71,0.1599999964237213,-0.37,0.08,False,0.0
TPM__SQSTM1,70,21,0.7,0.1599999964237213,0.41,0.18,False,0.0
METH__EVL,69,19,0.69,0.1599999964237213,0.33,0.1,False,0.0
TPM__CCDC69,67,17,0.67,0.17000000178813934,-0.33,0.12,False,0.0
METH__XKR9,66,18,0.66,0.1599999964237213,-0.37,0.09,False,0.0
TPM__SBDS,65,17,0.65,0.1599999964237213,0.39,0.08,False,0.0
TPM__BAIAP2,64,15,0.64,0.2199999988079071,0.44,0.12,False,0.0
METH__PDIA5,61,12,0.61,0.1599999964237213,-0.35,0.16,False,0.0
TPM__LURAP1L,59,12,0.59,0.1599999964237213,0.43,0.19,False,0.0
TPM__C11orf52,59,11,0.59,0.17000000178813934,0.43,0.16,False,0.0
TPM__AGRN,58,11,0.58,0.17000000178813934,0.38,0.15,False,0.0
TPM__CRLF3,58,8,0.58,0.1599999964237213,-0.39,0.06,False,0.013
TPM__PVR,56,9,0.56,0.1599999964237213,0.35,0.1,False,0.002
TPM__KDELR3,55,7,0.55,0.2199999988079071,0.45,0.15,True,0.053
METH__EIF3K,55,8,0.55,0.2199999988079071,0.4,0.17,False,0.013
TPM__CUEDC1,54,8,0.54,0.20000000298023224,0.4,0.14,False,0.013
METH__CDC14B,53,6,0.53,0.1899999976158142,-0.41,0.16,True,0.181
TPM__LGALS3,53,11,0.53,0.20000000298023224,0.44,0.1,False,0.0
TPM__ABHD11,53,5,0.53,0.17000000178813934,0.44,0.13,True,0.458
TPM__DSTN,51,3,0.51,0.20000000298023224,0.44,0.14,True,0.992
TPM__ADAM9,51,7,0.51,0.20000000298023224,0.42,0.11,True,0.053
TPM__NECTIN2,50,6,0.5,0.17000000178813934,0.36,0.1,True,0.181
TPM__ITPRIPL1,49,5,0.49,0.2199999988079071,-0.43,0.14,True,0.458
TPM__TBC1D10C,49,5,0.49,0.17000000178813934,-0.26,0.2,True,0.458
TPM__LTBR,49,3,0.49,0.20999999344348907,0.42,0.08,True,0.992
TPM__RHPN2,49,5,0.49,0.18000000715255737,0.42,0.08,True,0.458
TPM__PHLDA2,48,5,0.48,0.1599999964237213,0.38,0.16,True,0.458
METH__TERF1,47,4,0.47,0.2199999988079071,-0.43,0.16,True,0.832
TPM__NBL1,47,4,0.47,0.20000000298023224,0.45,0.15,True,0.832
TPM__PDCD6IP-DT,46,5,0.46,0.18000000715255737,0.42,0.15,True,0.458
TPM__PLS3,46,2,0.46,0.1599999964237213,0.34,0.1,True,1.0
TPM__TMEM51,46,5,0.46,0.18000000715255737,0.37,0.13,True,0.458
TPM__ASAP2,46,3,0.46,0.20999999344348907,0.41,0.07,True,0.992
TPM__RBM15,46,5,0.46,0.1599999964237213,-0.4,0.12,True,0.458
TPM__DOCK1,46,4,0.46,0.1599999964237213,0.25,0.22,True,0.832
TPM__STARD10,46,3,0.46,0.18000000715255737,0.41,0.14,True,0.992
TPM__DDR1,45,2,0.45,0.17000000178813934,0.4,0.12,True,1.0
TPM__HDAC11,45,1,0.45,0.2199999988079071,0.45,0.21,True,1.0
TPM__CYTH4,45,2,0.45,0.1599999964237213,-0.24,0.12,True,1.0
METH__ZNF579,45,1,0.45,0.18000000715255737,-0.39,0.06,True,1.0
TPM__PKP3,44,3,0.44,0.1599999964237213,0.41,0.11,True,0.992
TPM__PRSS23,44,3,0.44,0.2199999988079071,0.46,0.14,True,0.992
TPM__ADGRG1,42,2,0.42,0.18000000715255737,0.42,0.14,True,1.0
METH__BCL9L,40,3,0.4,0.20000000298023224,-0.41,0.15,True,0.992
TPM__FMNL1,40,1,0.4,0.1599999964237213,-0.38,0.07,True,1.0
TPM__MYO5B,40,3,0.4,0.17000000178813934,0.44,0.14,True,0.992
TPM__FCHO2,38,2,0.38,0.17000000178813934,0.34,0.21,True,1.0
TPM__CARD10,37,0,0.37,0.20999999344348907,0.42,0.19,False,
TPM__IL12RB1,37,1,0.37,0.2199999988079071,-0.36,0.17,True,1.0
TPM__MLPH,36,4,0.36,0.1599999964237213,0.43,0.11,True,0.832
METH__FAIM3,36,2,0.36,0.1599999964237213,0.35,0.09,True,1.0
METH__MARVELD2,35,1,0.35,0.17000000178813934,-0.45,0.13,True,1.0
TPM__OSGIN1,35,3,0.35,0.18000000715255737,0.46,0.19,True,0.992
TPM__PLCL2,35,1,0.35,0.1599999964237213,-0.37,0.08,True,1.0
TPM__TSPOAP1-AS1,33,0,0.33,0.1599999964237213,-0.28,0.16,False,
TPM__DDAH1,33,0,0.33,0.17000000178813934,0.36,0.14,False,
METH__C15orf52,33,1,0.33,0.17000000178813934,-0.4,0.13,True,1.0
TPM__SGMS2,32,0,0.32,0.20000000298023224,0.42,0.16,False,
TPM__SH3BP4,32,0,0.32,0.23000000417232513,0.42,0.12,False,
TPM__BCAM,32,0,0.32,0.17000000178813934,0.41,0.16,False,
TPM__RAB33A,32,1,0.32,0.17000000178813934,-0.33,0.09,True,1.0
TPM__CARD8-AS1,31,0,0.31,0.18000000715255737,-0.34,0.11,False,
TPM__KITLG,31,3,0.31,0.1599999964237213,0.43,0.17,True,0.992
TPM__DAG1,31,0,0.31,0.18000000715255737,0.39,0.19,False,
METH__KRI1,30,0,0.3,0.1899999976158142,0.37,0.19,False,
TPM__CD79A,30,1,0.3,0.1899999976158142,-0.34,0.17,True,1.0
TPM__LIMD2,30,0,0.3,0.2199999988079071,-0.45,0.11,False,
TPM__FERMT3,29,0,0.29,0.1899999976158142,-0.33,0.11,False,
