feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__NCKAP1L,99,49,0.99,0.2800000011920929,-0.39,0.25,True,1.0
TPM__TJP1,98,48,0.98,0.25999999046325684,0.4,0.17,True,1.0
TPM__CEP170B,97,47,0.97,0.27000001072883606,0.48,0.18,True,0.992
TPM__PDE1B,97,47,0.97,0.25,-0.39,0.22,True,0.992
TPM__MIR142HG,96,46,0.96,0.25,-0.31,0.22,True,0.832
TPM__OSGIN1,94,44,0.94,0.18000000715255737,0.46,0.19,True,0.181
TPM__SEPTIN6,94,44,0.94,0.23999999463558197,-0.47,0.17,True,0.181
TPM__PPIC,94,44,0.94,0.25999999046325684,0.46,0.23,True,0.181
TPM__TSPAN1,90,40,0.9,0.1599999964237213,0.47,0.19,False,0.0
TPM__ITGB5,90,40,0.9,0.23000000417232513,0.44,0.17,False,0.0
TPM__KRT15,88,38,0.88,0.10999999940395355,0.43,0.18,False,0.0
TPM__KRT18,87,37,0.87,0.23999999463558197,0.47,0.2,False,0.0
TPM__WAS,85,37,0.85,0.27000001072883606,-0.41,0.17,False,0.0
TPM__TNFRSF12A,84,34,0.84,0.25,0.44,0.19,False,0.0
TPM__SH3D19,84,36,0.84,0.23999999463558197,0.45,0.17,False,0.0
TPM__SQSTM1,83,34,0.83,0.1599999964237213,0.41,0.18,False,0.0
TPM__IRAG2,83,33,0.83,0.20999999344348907,-0.34,0.17,False,0.0
TPM__TM4SF1,82,32,0.82,0.1899999976158142,0.41,0.18,False,0.0
TPM__TM4SF1-AS1,82,32,0.82,0.10000000149011612,0.45,0.2,False,0.0
TPM__TPM1,81,34,0.81,0.20999999344348907,0.41,0.2,False,0.0
TPM__GNG12,81,32,0.81,0.2199999988079071,0.42,0.16,False,0.0
TPM__AGAP2,80,30,0.8,0.23999999463558197,-0.46,0.22,False,0.0
TPM__MFNG,79,29,0.79,0.17000000178813934,-0.27,0.18,False,0.0
TPM__MGAT4B,79,30,0.79,0.20999999344348907,0.46,0.19,False,0.0
TPM__CD53,79,31,0.79,0.25999999046325684,-0.37,0.19,False,0.0
TPM__IKZF1,78,29,0.78,0.25999999046325684,-0.4,0.24,False,0.0
TPM__RHBDF1,78,30,0.78,0.25,0.46,0.17,False,0.0
METH__BZRAP1,75,26,0.75,0.23999999463558197,0.41,0.16,False,0.0
TPM__CTTN,74,27,0.74,0.2199999988079071,0.44,0.18,False,0.0
TPM__NQO1,74,27,0.74,0.20000000298023224,0.44,0.18,False,0.0
TPM__NHSL3,73,25,0.73,0.25999999046325684,0.48,0.22,False,0.0
TPM__DAG1,72,24,0.72,0.18000000715255737,0.39,0.19,False,0.0
TPM__ARHGAP9,72,24,0.72,0.23999999463558197,-0.46,0.18,False,0.0
TPM__IL12RB1,72,24,0.72,0.2199999988079071,-0.36,0.17,False,0.0
METH__LOC100130776,72,22,0.72,0.23999999463558197,-0.37,0.18,False,0.0
TPM__HDAC11,70,21,0.7,0.2199999988079071,0.45,0.21,False,0.0
TPM__ACAP1,69,21,0.69,0.20000000298023224,-0.31,0.19,False,0.0
TPM__EDN1,69,19,0.69,0.10999999940395355,0.4,0.2,False,0.0
TPM__LURAP1L,68,20,0.68,0.1599999964237213,0.43,0.19,False,0.0
TPM__PIK3CG,66,22,0.66,0.25,-0.4,0.22,False,0.0
