feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__SLFN11,100,50,1.0,0.28999999165534973,-0.53,0.26,True,1.0
TPM__MOB3A,98,48,0.98,0.11999999731779099,-0.33,0.13,True,1.0
TPM__SLC38A5,95,45,0.95,0.12999999523162842,-0.32,0.07,True,0.458
TPM__BAMBI,94,44,0.94,0.11999999731779099,0.34,0.08,True,0.181
METH__POLR1B,93,43,0.93,0.11999999731779099,0.33,0.08,True,0.053
TPM__MRPS18AP1,92,42,0.92,0.10999999940395355,-0.3,0.07,False,0.013
METH__SLFN11,90,40,0.9,0.1599999964237213,0.47,0.12,False,0.0
TPM__SGMS2,87,37,0.87,0.15000000596046448,0.36,0.09,False,0.0
METH__PPP1R16B,87,37,0.87,0.12999999523162842,0.33,0.1,False,0.0
TPM__HNRNPA1,79,29,0.79,0.10999999940395355,-0.36,0.1,False,0.0
TPM__SH3BP4,78,28,0.78,0.15000000596046448,0.35,0.09,False,0.0
TPM__LINC01410,77,27,0.77,0.11999999731779099,-0.35,0.09,False,0.0
TPM__RPL10A,77,27,0.77,0.10999999940395355,-0.34,0.08,False,0.0
TPM__NOP53,76,26,0.76,0.10999999940395355,-0.32,0.12,False,0.0
TPM__PDCD6IP-DT,73,23,0.73,0.14000000059604645,0.39,0.16,False,0.0
TPM__CUEDC1,72,22,0.72,0.14000000059604645,0.34,0.12,False,0.0
TPM__MGAT4B,72,22,0.72,0.14000000059604645,0.38,0.11,False,0.0
METH__CUL1,72,22,0.72,0.14000000059604645,0.36,0.09,False,0.0
METH__THBS1,70,21,0.7,0.14000000059604645,-0.31,0.12,False,0.0
TPM__SLFN13,68,18,0.68,0.10999999940395355,-0.32,0.06,False,0.0
METH__LOC100130776,66,17,0.66,0.17000000178813934,-0.31,0.14,False,0.0
TPM__TUFT1,66,16,0.66,0.1599999964237213,0.38,0.07,False,0.0
TPM__CSK,65,17,0.65,0.12999999523162842,-0.35,0.14,False,0.0
TPM__NRBP2,61,13,0.61,0.10999999940395355,0.3,0.06,False,0.0
TPM__FLI1,60,12,0.6,0.14000000059604645,-0.34,0.17,False,0.0
TPM__SLC2A8,58,10,0.58,0.11999999731779099,0.33,0.04,False,0.0
TPM__MID1,57,9,0.57,0.10999999940395355,0.33,0.09,False,0.002
METH__CD248,57,8,0.57,0.12999999523162842,0.32,0.11,False,0.013
TPM__FERMT3,55,7,0.55,0.12999999523162842,-0.28,0.05,True,0.053
TPM__GIMAP2,54,8,0.54,0.11999999731779099,-0.3,0.05,False,0.013
TPM__CARD8-AS1,54,10,0.54,0.14000000059604645,-0.3,0.11,False,0.0
TPM__RHPN2,53,5,0.53,0.14000000059604645,0.36,0.05,True,0.458
TPM__KDELR3,52,7,0.52,0.1599999964237213,0.4,0.12,True,0.053
TPM__SHTN1,51,3,0.51,0.15000000596046448,0.35,0.1,True,0.992
METH__TBC1D10C,51,6,0.51,0.12999999523162842,0.31,0.1,True,0.181
TPM__ASAP2,50,6,0.5,0.14000000059604645,0.35,0.07,True,0.181
METH__PWWP2A,50,4,0.5,0.14000000059604645,-0.33,0.11,True,0.832
METH__EVL,49,4,0.49,0.11999999731779099,0.3,0.1,True,0.832
METH__MARVELD2,48,5,0.48,0.11999999731779099,-0.37,0.07,True,0.458
TPM__SOX13,48,3,0.48,0.15000000596046448,0.37,0.09,True,0.992
METH__PER3,46,1,0.46,0.11999999731779099,-0.31,0.08,True,1.0
TPM__AP1M2,46,3,0.46,0.10999999940395355,0.33,0.12,True,0.992
METH__INTU,46,2,0.46,0.10999999940395355,-0.26,0.1,True,1.0
TPM__C11orf52,45,4,0.45,0.10999999940395355,0.36,0.07,True,0.832
TPM__ARHGAP4,45,1,0.45,0.11999999731779099,-0.32,0.09,True,1.0
METH__FAT1,44,2,0.44,0.10999999940395355,-0.29,0.16,True,1.0
TPM__NBL1,43,3,0.43,0.14000000059604645,0.37,0.03,True,0.992
TPM__IQSEC2,43,3,0.43,0.10999999940395355,0.31,0.07,True,0.992
TPM__SQSTM1,41,3,0.41,0.11999999731779099,0.35,0.11,True,0.992
METH__RAB27B,40,0,0.4,0.12999999523162842,-0.29,0.11,False,
TPM__SDSL,40,1,0.4,0.10999999940395355,0.31,0.07,True,1.0
TPM__TACC2,39,2,0.39,0.14000000059604645,0.32,0.11,True,1.0
TPM__TMEM51,39,3,0.39,0.10999999940395355,0.3,0.08,True,0.992
METH__MLL2,39,2,0.39,0.10999999940395355,0.34,0.1,True,1.0
METH__PERP,39,2,0.39,0.10999999940395355,-0.33,0.16,True,1.0
METH__BCL9L,39,2,0.39,0.12999999523162842,-0.34,0.08,True,1.0
TPM__CARD10,38,1,0.38,0.14000000059604645,0.36,0.11,True,1.0
METH__HMP19,38,1,0.38,0.10999999940395355,-0.31,0.07,True,1.0
METH__ZSCAN2,38,3,0.38,0.11999999731779099,-0.34,0.05,True,0.992
METH__MTMR11,37,2,0.37,0.12999999523162842,-0.32,0.06,True,1.0
TPM__PIR,37,0,0.37,0.11999999731779099,0.32,0.08,False,
TPM__HDAC11,37,1,0.37,0.17000000178813934,0.39,0.07,True,1.0
TPM__DUSP3,36,1,0.36,0.11999999731779099,0.29,0.14,True,1.0
METH__ZNF579,35,0,0.35,0.11999999731779099,-0.34,0.06,False,
TPM__MANBAL,35,1,0.35,0.11999999731779099,0.3,0.08,True,1.0
TPM__RNASEH2B,35,0,0.35,0.10999999940395355,-0.31,0.06,False,
TPM__TLE1,35,1,0.35,0.11999999731779099,0.31,0.1,True,1.0
METH__PRIC285,34,0,0.34,0.11999999731779099,0.33,0.16,False,
METH__S1PR4,34,1,0.34,0.10999999940395355,0.27,0.13,True,1.0
TPM__SHROOM3,33,0,0.33,0.14000000059604645,0.37,0.07,False,
METH__FAIM3,32,1,0.32,0.10999999940395355,0.31,0.11,True,1.0
TPM__TLCD1,32,0,0.32,0.10999999940395355,0.31,0.02,False,
METH__HOOK1,32,0,0.32,0.11999999731779099,-0.36,0.07,False,
TPM__METRN,32,0,0.32,0.10999999940395355,0.32,0.05,False,
METH__SMN1,31,2,0.31,0.10999999940395355,-0.33,0.09,True,1.0
METH__SMN2,31,2,0.31,0.10999999940395355,-0.33,0.09,True,1.0
TPM__FAM114A1,30,0,0.3,0.1599999964237213,0.38,0.12,False,
TPM__MLPH,30,0,0.3,0.10999999940395355,0.35,0.07,False,
METH__CDC14B,30,0,0.3,0.11999999731779099,-0.32,0.11,False,
TPM__KIF21B,30,3,0.3,0.10999999940395355,-0.27,0.14,True,0.992
TPM__TXNRD3,30,0,0.3,0.10999999940395355,0.29,0.07,False,
TPM__PPP1R16B,30,0,0.3,0.11999999731779099,-0.31,0.08,False,
METH__CCDC102A,29,1,0.29,0.11999999731779099,0.34,0.05,True,1.0
TPM__LGALS3,29,0,0.29,0.12999999523162842,0.35,0.05,False,
TPM__DSTN,29,1,0.29,0.12999999523162842,0.36,0.13,True,1.0
TPM__SDC1,27,0,0.27,0.10999999940395355,0.29,0.11,False,
METH__RGS12,27,1,0.27,0.12999999523162842,0.36,0.1,True,1.0
TPM__N4BP2L1,27,1,0.27,0.10999999940395355,-0.32,0.07,True,1.0
TPM__P4HA2,27,0,0.27,0.14000000059604645,0.35,0.07,False,
METH__ATP6V1G1,26,8,0.26,0.11999999731779099,-0.34,0.09,False,0.013
TPM__LIMD2,26,0,0.26,0.1599999964237213,-0.38,0.11,False,
METH__NUP43,26,0,0.26,0.14000000059604645,-0.35,0.13,False,
TPM__GMFG,26,0,0.26,0.12999999523162842,-0.22,0.12,False,
METH__GALNT11,25,0,0.25,0.14000000059604645,-0.34,0.16,False,
TPM__SRXN1,25,1,0.25,0.10999999940395355,0.31,0.09,True,1.0
TPM__LCP1,25,0,0.25,0.14000000059604645,-0.34,0.1,False,
TPM__RASEF,25,1,0.25,0.10999999940395355,0.37,0.12,True,1.0
TPM__ATP1B1,25,1,0.25,0.12999999523162842,0.33,0.04,True,1.0
METH__TMEM149,25,0,0.25,0.10999999940395355,0.3,0.09,False,
TPM__ADCY6,25,0,0.25,0.10999999940395355,0.27,0.11,False,
TPM__AGAP2,24,0,0.24,0.17000000178813934,-0.41,0.1,False,
TPM__PCYOX1,24,3,0.24,0.10999999940395355,0.33,0.09,True,0.992
TPM__MET,24,0,0.24,0.14000000059604645,0.37,0.11,False,
