feature,Selection count,Pair count,CPSS Score
TPM__PIK3CG,100,50,1.0
TPM__NUAK1,100,50,1.0
TPM__DSP,100,50,1.0
TPM__TJP1,100,50,1.0
METH__ITGA3,100,50,1.0
TPM__PPIC,100,50,1.0
METH__CCM2,100,50,1.0
TPM__NUPR1,100,50,1.0
METH__ITPRIPL1,100,50,1.0
TPM__ARHGAP30,100,50,1.0
METH__TJP1,100,50,1.0
TPM__FLI1,100,50,1.0
TPM__NAV2,100,50,1.0
TPM__MATN2,100,50,1.0
METH__SLC44A2,100,50,1.0
TPM__RASGRP2,100,50,1.0
TPM__MFNG,100,50,1.0
TPM__PDE1B,100,50,1.0
TPM__GULP1,100,50,1.0
TPM__ERBB3,100,50,1.0
TPM__SPR,100,50,1.0
TPM__SLFN11,100,50,1.0
TPM__KLF4,100,50,1.0
TPM__IKZF1,100,50,1.0
TPM__NCKAP1L,100,50,1.0
METH__PIK3CG,100,50,1.0
TPM__PDCD6IP-DT,100,50,1.0
METH__FAM114A1,99,49,0.99
METH__OSM,99,49,0.99
TPM__CARMIL2,99,49,0.99
TPM__SRGAP1,99,49,0.99
METH__ARHGDIB,99,49,0.99
METH__MIR574,99,49,0.99
TPM__OVOL2,99,49,0.99
TPM__LYL1,99,49,0.99
TPM__LINC01186,98,48,0.98
METH__GALNT11,98,48,0.98
METH__GPR39,97,47,0.97
METH__MORN4,97,47,0.97
TPM__HTR1D,97,47,0.97
METH__CCDC12,96,46,0.96
METH__RASGRP2,95,45,0.95
METH__PRSS48,94,44,0.94
METH__PRIC285,90,40,0.9
METH__PERP,90,40,0.9
METH__TERF1,88,38,0.88
METH__TCF3,86,36,0.86
METH__CDC42EP4,83,34,0.83
METH__S100A2,80,31,0.8
METH__TEAD4,78,28,0.78
TPM__ELFN1-AS1,78,29,0.78
METH__DSTN,77,28,0.77
METH__NPAS2,75,26,0.75
METH__FAM84B,71,24,0.71
TPM__SNORA80E,69,21,0.69
METH__ACTN1,66,23,0.66
METH__C7orf70,66,17,0.66
METH__PCCA,66,21,0.66
METH__TBC1D9,59,14,0.59
METH__ANO8,59,16,0.59
TPM__ZFY,57,13,0.57
TPM__MIR200CHG,57,17,0.57
METH__C11orf80,57,14,0.57
METH__ARHGEF12,50,10,0.5
TPM__CDH12P2,50,11,0.5
TPM__RNU4-52P,41,4,0.41
METH__ZNF697,40,9,0.4
TPM__SNORA51,39,6,0.39
METH__LRRC28,38,9,0.38
CNV__GATA2,37,5,0.37
TPM__RNVU1-26,36,2,0.36
MUT__HLA-A,36,4,0.36
CNV__FUS,35,5,0.35
METH__SPR,35,4,0.35
TPM__SNORA4,32,3,0.32
CNV__PRR14,32,1,0.32
METH__NFATC2IP,31,4,0.31
METH__LRBA,31,6,0.31
METH__C14orf147,30,3,0.3
METH__KDELC1,30,2,0.3
CNV__MRTFA,29,2,0.29
CNV__DCC,29,1,0.29
TPM__SLC7A5P1,29,4,0.29
METH__CCDC40,28,4,0.28
TPM__SNORA15,27,1,0.27
TPM__SNORA22B,25,3,0.25
TPM__VTRNA2-1,24,0,0.24
TPM__SNORA16B,24,1,0.24
CNV__IL21R,24,0,0.24
METH__TBC1D16,23,2,0.23
MUT__CDKN2A,22,1,0.22
METH__TXNDC12,22,3,0.22
METH__BIRC6,22,0,0.22
METH__BAG2,22,0,0.22
MUT__ARID1A,21,0,0.21
METH__RAPH1,21,1,0.21
CNV__FGFR2,20,1,0.2
METH__LRRC37A3,18,0,0.18
CNV__POLQ,18,0,0.18
TPM__RPS28P5,18,3,0.18
METH__RNFT1,17,0,0.17
METH__LOC100302652,17,0,0.17
CNV__RPN1,17,1,0.17
METH__TPX2,16,1,0.16
MUT__APC,16,0,0.16
METH__GPAA1,16,1,0.16
METH__AGPHD1,15,0,0.15
METH__ZNF250,15,1,0.15
METH__ERI2,14,0,0.14
METH__RASA2,14,1,0.14
TPM__SNORA27,14,0,0.14
TPM__RNA5SP187,14,0,0.14
METH__RNASEH2B,14,0,0.14
TPM__RNA5S9,13,0,0.13
METH__WASH5P,13,0,0.13
CNV__MAPK1,13,0,0.13
MUT__SDHA,13,0,0.13
METH__SYAP1,13,0,0.13
CNV__ZNF148,12,1,0.12
METH__AHI1,12,0,0.12
CNV__EPAS1,12,0,0.12
CNV__TEC,12,0,0.12
CNV__RBFOX2,11,1,0.11
TPM__SNORA49,11,0,0.11
METH__LOC81691,11,0,0.11
MUT__KRAS,11,0,0.11
CNV__REL,10,1,0.1
TPM__SCARNA4,10,0,0.1
CNV__PATZ1,10,0,0.1
METH__GOLIM4,10,1,0.1
CNV__ZNF626,10,1,0.1
CNV__FIP1L1,9,0,0.09
METH__MAFF,9,0,0.09
CNV__HERPUD1,9,0,0.09
CNV__PDGFRA,8,0,0.08
CNV__EML4,8,0,0.08
METH__ERCC3,8,0,0.08
CNV__CCNB1IP1,8,0,0.08
METH__RP5-1022P6.2,8,0,0.08
METH__TIAL1,7,0,0.07
CNV__BCL11A,7,0,0.07
METH__PPRC1,7,0,0.07
MUT__LRP1B,7,0,0.07
CNV__STRN,7,0,0.07
METH__SLC35E1,7,0,0.07
CNV__TCF7L2,7,0,0.07
TPM__SNORD10,7,0,0.07
CNV__CDH11,6,1,0.06
CNV__NF2,6,1,0.06
MUT__NF1,6,0,0.06
MUT__PTEN,6,0,0.06
METH__CCNG1,6,0,0.06
CNV__CBFA2T3,6,0,0.06
CNV__ZNF429,6,0,0.06
METH__CLPX,6,0,0.06
CNV__JUN,6,1,0.06
CNV__FANCA,6,0,0.06
TPM__RNU4-89P,6,0,0.06
METH__PLEKHM1,5,0,0.05
CNV__SF3B1,5,0,0.05
CNV__PHOX2B,5,0,0.05
CNV__FANCL,5,0,0.05
CNV__ALK,5,0,0.05
TPM__SCARNA8,5,0,0.05
CNV__KLHL36,5,0,0.05
METH__CDC37,5,0,0.05
TPM__RNA5SP323,5,0,0.05
CNV__MAF,5,0,0.05
CNV__CNBP,5,0,0.05
TPM__SNORA70,4,0,0.04
MUT__NBEA,4,0,0.04
MUT__MLH1,4,0,0.04
MUT__PABPC1,4,0,0.04
TPM__SNORA33,4,0,0.04
CNV__RAP1GDS1,4,0,0.04
METH__COX8A,4,0,0.04
TPM__SNORA46,4,1,0.04
CNV__KDR,4,0,0.04
MUT__KMT2C,4,0,0.04
METH__FKBP15,4,0,0.04
CNV__RHOH,4,0,0.04
METH__MRFAP1,4,0,0.04
METH__ZNF337,3,0,0.03
TPM__SNORA14B,3,0,0.03
MUT__RHOA,3,0,0.03
METH__PPAPDC1B,3,0,0.03
METH__MFSD10,3,0,0.03
CNV__BCR,3,0,0.03
METH__ZRANB3,3,0,0.03
MUT__RB1,3,0,0.03
MUT__BRAF,3,0,0.03
METH__TTC35,3,0,0.03
CNV__SMARCB1,3,0,0.03
TPM__SNORA80B,3,0,0.03
METH__SKI,3,0,0.03
CNV__SOS1,3,0,0.03
METH__COPB2,2,0,0.02
METH__NDUFB9,2,0,0.02
CNV__XPO1,2,0,0.02
CNV__ALB,2,0,0.02
METH__KIAA1328,2,0,0.02
METH__SUV420H2,2,0,0.02
MUT__EP300,2,0,0.02
METH__AKAP1,2,0,0.02
CNV__KIT,2,0,0.02
CNV__HRAS,2,0,0.02
METH__TMEM44,1,0,0.01
CNV__PCBP1,1,0,0.01
CNV__PMS1,1,0,0.01
METH__WAPAL,1,0,0.01
MUT__KMT2B,1,0,0.01
METH__ATP5G1,1,0,0.01
METH__SLC30A6,1,0,0.01
CNV__PAX8,1,0,0.01
METH__FAM168A,1,0,0.01
METH__ZNF770,1,0,0.01
METH__TIPRL,1,0,0.01
MUT__POLQ,1,0,0.01
METH__THAP9,1,0,0.01
METH__DOCK4,1,0,0.01
METH__PEX11B,1,0,0.01
MUT__ZNF208,1,0,0.01
MUT__FBXW7,1,0,0.01
METH__ASNSD1,1,0,0.01
METH__ID1,1,0,0.01
METH__KIAA0174,1,0,0.01
METH__RRP8,1,0,0.01
METH__ZFP91,1,0,0.01
METH__PRMT7,1,0,0.01
METH__TROAP,1,0,0.01
TPM__SNORA29,1,0,0.01
MUT__PBRM1,1,0,0.01
METH__MFAP3,1,0,0.01
TPM__SNORA2A,1,0,0.01
METH__HEATR7A,1,0,0.01
METH__KIAA0195,1,0,0.01
MUT__PIK3CA,1,0,0.01
METH__USPL1,0,0,0.0
METH__MIR933,0,0,0.0
METH__INTS12,0,0,0.0
METH__GYS1,0,0,0.0
METH__CIDECP,0,0,0.0
METH__CDS2,0,0,0.0
METH__FAM134C,0,0,0.0
METH__ALDH16A1,0,0,0.0
METH__RFC2,0,0,0.0
METH__LANCL1,0,0,0.0
MUT__RGPD3,0,0,0.0
METH__TATDN1,0,0,0.0
METH__RANGAP1,0,0,0.0
METH__FOXRED1,0,0,0.0
METH__AGBL5,0,0,0.0
METH__PPTC7,0,0,0.0
METH__ZNF326,0,0,0.0
MUT__TRRAP,0,0,0.0
METH__METTL3,0,0,0.0
MUT__CACNA1D,0,0,0.0
METH__GGNBP2,0,0,0.0
MUT__ARID2,0,0,0.0
MUT__ARHGAP35,0,0,0.0
MUT__ERBB4,0,0,0.0
MUT__LATS2,0,0,0.0
MUT__MAP2,0,0,0.0
MUT__ASXL1,0,0,0.0
MUT__STAT5B,0,0,0.0
METH__SETD3,0,0,0.0
MUT__B2M,0,0,0.0
MUT__FLCN,0,0,0.0
MUT__FANCA,0,0,0.0
MUT__FAT3,0,0,0.0
METH__KLHL24,0,0,0.0
METH__TOR1A,0,0,0.0
METH__MSH2,0,0,0.0
METH__LOC100133315,0,0,0.0
MUT__KDM6A,0,0,0.0
METH__TMEM57,0,0,0.0
MUT__UBR5,0,0,0.0
MUT__WNK2,0,0,0.0
MUT__ATM,0,0,0.0
MUT__BCORL1,0,0,0.0
MUT__RNF43,0,0,0.0
MUT__BCOR,0,0,0.0
MUT__TGFBR2,0,0,0.0
MUT__CTNNB1,0,0,0.0
MUT__EPHA3,0,0,0.0
METH__ANKRD49,0,0,0.0
MUT__SMARCA4,0,0,0.0
MUT__DNMT3A,0,0,0.0
MUT__NIPBL,0,0,0.0
MUT__VHL,0,0,0.0
MUT__CDH1,0,0,0.0
MUT__HSPG2,0,0,0.0
MUT__MGA,0,0,0.0
MUT__TET2,0,0,0.0
MUT__STK11,0,0,0.0
MUT__NFE2L2,0,0,0.0
MUT__CTCF,0,0,0.0
METH__GALNT4,0,0,0.0
METH__PIGN,0,0,0.0
METH__STAM,0,0,0.0
METH__RPL23AP7,0,0,0.0
METH__DSN1,0,0,0.0
METH__ATF2,0,0,0.0
MUT__KMT2D,0,0,0.0
MUT__NRAS,0,0,0.0
MUT__SMAD4,0,0,0.0
MUT__BAX,0,0,0.0
MUT__BRCA1,0,0,0.0
MUT__PTPN13,0,0,0.0
MUT__ENPEP,0,0,0.0
MUT__DIS3,0,0,0.0
MUT__ZFHX3,0,0,0.0
MUT__STAG2,0,0,0.0
