feature,Selection count,Pair count,CPSS Score
MUT__BRAF,100,50,1.0
METH__GIGYF2,100,50,1.0
METH__AVPI1,100,50,1.0
MUT__RB1,100,50,1.0
METH__POLR3G,100,50,1.0
METH__HDAC4,100,50,1.0
METH__SNORA5B,100,50,1.0
TPM__ETV4,100,50,1.0
MUT__KRAS,100,50,1.0
METH__UPP1,100,50,1.0
TPM__RPL10P13,100,50,1.0
TPM__GPR137C,100,50,1.0
TPM__GPR173,100,50,1.0
METH__PHLDA1,100,50,1.0
TPM__MYT1,100,50,1.0
TPM__FOSL1,100,50,1.0
TPM__NALF1,100,50,1.0
METH__FAM46A,100,50,1.0
TPM__LINC02454,100,50,1.0
TPM__ARL14,100,50,1.0
METH__SNX27,100,50,1.0
METH__NEAT1,99,49,0.99
TPM__RIPPLY2,98,48,0.98
MUT__NRAS,96,46,0.96
METH__RPS6KA4,95,45,0.95
METH__POLR2G,95,45,0.95
METH__ZMAT5,94,44,0.94
TPM__CSAG4,92,42,0.92
MUT__APC,92,42,0.92
CNV__RB1,91,41,0.91
CNV__FOXO1,87,38,0.87
CNV__CYSLTR2,86,38,0.86
METH__PGLS,86,37,0.86
TPM__SNORA2C,85,35,0.85
METH__IRF2,84,34,0.84
TPM__SNORA71C,81,32,0.81
CNV__MITF,77,28,0.77
METH__UBAP2,75,28,0.75
METH__MEMO1,75,26,0.75
METH__AAMP,74,25,0.74
CNV__SOHLH2,71,23,0.71
METH__MYOF,71,23,0.71
CNV__ZNF680,68,21,0.68
TPM__RNU4-52P,67,20,0.67
CNV__PCDH17,67,20,0.67
CNV__BRCA2,66,21,0.66
METH__TTC32,64,21,0.64
CNV__HIP1,63,20,0.63
METH__PPP2R5B,63,18,0.63
TPM__SNORD22,63,19,0.63
METH__UBP1,61,17,0.61
METH__AHI1,61,14,0.61
CNV__CR1,60,17,0.6
METH__GFOD2,60,16,0.6
METH__HIF1AN,59,14,0.59
CNV__IKZF3,57,11,0.57
TPM__TMSB4XP1,57,15,0.57
METH__ZNF571,57,11,0.57
CNV__ERBB2,56,12,0.56
METH__C7orf70,55,12,0.55
CNV__ERCC5,54,9,0.54
TPM__SNORA80B,52,11,0.52
CNV__RPL5,52,13,0.52
METH__VTA1,51,10,0.51
TPM__RNU1-91P,51,11,0.51
CNV__FUBP1,51,10,0.51
CNV__IFNGR1,50,10,0.5
CNV__CLTC,50,13,0.5
CNV__ABL2,48,9,0.48
METH__FNBP4,48,10,0.48
METH__ZBTB37,47,8,0.47
METH__C12orf35,46,10,0.46
CNV__DHX9,46,9,0.46
CNV__TOP2A,45,7,0.45
METH__AAK1,45,7,0.45
CNV__PRRX1,45,11,0.45
METH__CSDA,44,8,0.44
METH__PPIL3,43,8,0.43
MUT__ASXL1,43,2,0.43
TPM__SCARNA4,43,7,0.43
CNV__FOXP1,43,7,0.43
