feature,Selection count,Pair count,CPSS Score
METH__NBAS,89,39,0.89
TPM__HTR1D,77,27,0.77
METH__MIR609,64,16,0.64
METH__GNS,60,10,0.6
METH__C14orf153,60,11,0.6
TPM__HOXB8,59,10,0.59
TPM__RGL3,56,7,0.56
METH__GMFG,56,8,0.56
METH__PARP10,53,8,0.53
TPM__HOXB-AS3,53,6,0.53
METH__PLA2R1,53,9,0.53
TPM__SLC38A5,53,5,0.53
TPM__TP53I3,51,6,0.51
METH__BAG5,48,4,0.48
METH__MIR1976,45,0,0.45
METH__GPR62,44,4,0.44
METH__RNF13,44,6,0.44
METH__MGAT1,41,3,0.41
TPM__DMTN,40,2,0.4
TPM__SLC37A3,38,3,0.38
METH__NR4A3,38,2,0.38
METH__PRKAG1,37,1,0.37
TPM__AMIGO2,35,1,0.35
METH__CFD,34,0,0.34
METH__MIPOL1,34,0,0.34
METH__PPFIBP2,32,2,0.32
METH__NSFL1C,31,1,0.31
METH__RAI14,30,0,0.3
TPM__EVA1A,29,1,0.29
TPM__CBFA2T3,29,1,0.29
METH__CFP,28,1,0.28
METH__LRRC25,27,0,0.27
METH__RBM9,26,0,0.26
METH__NCKAP1L,26,2,0.26
METH__TSPAN12,26,1,0.26
TPM__ARHGAP30,25,0,0.25
METH__IBTK,25,1,0.25
METH__SMPD1,24,0,0.24
METH__LOC100130776,24,0,0.24
TPM__INKA1,23,2,0.23
TPM__TSPAN17,22,0,0.22
TPM__FERMT3,22,0,0.22
METH__C17orf87,21,0,0.21
TPM__GABARAPL1,19,0,0.19
TPM__SH3BP4,19,0,0.19
METH__RASSF1,18,2,0.18
TPM__LIF,18,0,0.18
METH__CEBPE,17,0,0.17
METH__TMEM149,17,0,0.17
TPM__LAPTM5,17,0,0.17
METH__YOD1,17,0,0.17
TPM__CD53,17,0,0.17
TPM__FAM78A,16,5,0.16
TPM__BCL2L1,16,2,0.16
METH__PFKFB2,16,0,0.16
TPM__RASAL2,15,2,0.15
METH__MIR142,15,0,0.15
TPM__IKZF1,15,0,0.15
METH__C19orf38,15,0,0.15
METH__FRMD5,14,0,0.14
METH__SNX7,14,1,0.14
TPM__TJP1,14,0,0.14
TPM__PLAAT3,14,4,0.14
METH__MIR1284,13,3,0.13
TPM__HOXB5,13,0,0.13
METH__RPS6KA1,13,0,0.13
TPM__LYL1,13,0,0.13
TPM__DDAH1,12,1,0.12
METH__IL10,12,0,0.12
METH__LOC100233209,12,3,0.12
METH__FCER1G,11,0,0.11
METH__LTC4S,11,0,0.11
METH__FERMT3,10,0,0.1
METH__DGKZ,10,0,0.1
TPM__MET,10,0,0.1
TPM__SNX7,10,1,0.1
TPM__LCP1,9,1,0.09
TPM__LSP1,9,2,0.09
METH__FUT7,9,0,0.09
TPM__ARHGAP15,9,0,0.09
METH__MYO1G,8,0,0.08
TPM__PHLDB1,8,0,0.08
TPM__KRT80,8,0,0.08
METH__THBS1,8,2,0.08
TPM__KRT8,8,2,0.08
TPM__PVR,8,0,0.08
METH__GHRL,8,1,0.08
TPM__CUEDC1,7,0,0.07
METH__SLC44A3,7,0,0.07
METH__BZRAP1,7,0,0.07
METH__C16orf54,7,0,0.07
METH__FAM113B,6,1,0.06
METH__CTTNBP2NL,6,0,0.06
TPM__TSPOAP1-AS1,6,0,0.06
METH__DDAH1,6,1,0.06
TPM__HCLS1,6,2,0.06
TPM__KRT18,6,0,0.06
TPM__ZNF205,6,0,0.06
TPM__PLPP2,6,0,0.06
METH__RHOBTB1,6,0,0.06
METH__GHRLOS,5,0,0.05
METH__HCST,5,0,0.05
TPM__ATP1B1,5,0,0.05
TPM__ARL11,5,0,0.05
METH__PKN1,5,0,0.05
TPM__NPHP1,4,0,0.04
TPM__DOCK8,4,0,0.04
METH__GAS2L3,4,0,0.04
METH__TJP1,4,0,0.04
TPM__IL16,4,0,0.04
METH__SLA2,4,0,0.04
METH__CYR61,3,1,0.03
TPM__PSTPIP1,3,1,0.03
METH__KRI1,3,0,0.03
METH__APOB48R,3,1,0.03
TPM__WAS,2,0,0.02
TPM__TUFT1,2,0,0.02
METH__LAPTM4A,2,0,0.02
TPM__ARHGAP9,2,0,0.02
METH__TBC1D10C,2,0,0.02
TPM__CD37,2,0,0.02
METH__LAMB2,2,1,0.02
METH__CNR2,2,0,0.02
METH__GPR39,2,0,0.02
METH__FAM129C,2,0,0.02
TPM__TRAF3IP3,1,0,0.01
TPM__NCKAP1,1,0,0.01
METH__NLRC3,1,0,0.01
METH__PRIC285,1,0,0.01
METH__ABHD10,1,0,0.01
METH__ANKRD44,1,0,0.01
TPM__NCF1,0,0,0.0
METH__CCM2,0,0,0.0
METH__SPN,0,0,0.0
METH__DOK3,0,0,0.0
METH__PTPN7,0,0,0.0
TPM__GMFG,0,0,0.0
METH__OSM,0,0,0.0
TPM__ITGA3,0,0,0.0
