feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__MYCBP2,93,43,0.93,0.10000000149011612,-0.37,0.21,True,0.053
TPM__MIR3936HG,89,39,0.89,0.10000000149011612,0.35,0.21,False,0.0
TPM__MYO5B,86,36,0.86,0.11999999731779099,0.37,0.24,False,0.0
TPM__TSPAN12,85,35,0.85,0.11999999731779099,0.37,0.2,False,0.0
TPM__PCBD1,84,34,0.84,0.10000000149011612,0.39,0.19,False,0.0
METH__C17orf87,75,26,0.75,0.15000000596046448,0.34,0.3,False,0.0
TPM__AMIGO2,73,23,0.73,0.1599999964237213,0.38,0.23,False,0.0
TPM__CD274,73,23,0.73,0.07000000029802322,0.27,0.2,False,0.0
TPM__SEL1L3,71,23,0.71,0.05999999865889549,0.23,0.19,False,0.0
TPM__SNX24,65,18,0.65,0.11999999731779099,0.33,0.21,False,0.0
METH__DGKZ,61,14,0.61,0.17000000178813934,0.4,0.2,False,0.0
METH__NCKAP1L,61,13,0.61,0.14000000059604645,0.37,0.22,False,0.0
TPM__ZNF226,59,13,0.59,0.07000000029802322,0.26,0.19,False,0.0
METH__SPN,56,14,0.56,0.12999999523162842,0.31,0.22,False,0.0
METH__MAP1LC3B2,56,10,0.56,0.12999999523162842,0.35,0.21,False,0.0
TPM__GAS2L3,53,12,0.53,0.07000000029802322,0.21,0.19,False,0.0
TPM__RPL24P2,52,6,0.52,0.07999999821186066,-0.27,0.19,True,0.181
TPM__TNS2,51,9,0.51,0.05000000074505806,0.24,0.22,False,0.002
METH__TMEM149,49,8,0.49,0.1599999964237213,0.37,0.22,False,0.013
TPM__ITGA1,48,7,0.48,0.09000000357627869,0.33,0.23,True,0.053
TPM__HAS3,48,12,0.48,0.019999999552965164,0.24,0.2,False,0.0
TPM__LMCD1,48,8,0.48,0.05999999865889549,0.23,0.21,False,0.013
METH__ERRFI1,46,9,0.46,0.11999999731779099,-0.35,0.23,False,0.002
METH__TYROBP,45,5,0.45,0.12999999523162842,0.3,0.25,True,0.458
TPM__INPP5D,42,4,0.42,0.11999999731779099,-0.26,0.21,True,0.832
METH__LTC4S,40,4,0.4,0.12999999523162842,0.37,0.2,True,0.832
TPM__MAPRE3,39,5,0.39,0.10999999940395355,0.32,0.25,True,0.458
TPM__IFNE,37,2,0.37,0.07999999821186066,0.29,0.23,True,1.0
TPM__PCDHB2,36,3,0.36,0.09000000357627869,0.3,0.23,True,0.992
METH__ITGA4,34,4,0.34,0.12999999523162842,0.32,0.22,True,0.832
TPM__ELMO1,33,3,0.33,0.10000000149011612,-0.28,0.2,True,0.992
TPM__ARL11,33,2,0.33,0.15000000596046448,-0.26,0.2,True,1.0
METH__LAPTM4A,32,0,0.32,0.1599999964237213,-0.29,0.23,False,
METH__SRGAP1,30,1,0.3,0.07000000029802322,-0.29,0.24,True,1.0
TPM__HES2,30,4,0.3,0.0,0.09,0.21,True,0.832
TPM__SDC4,27,2,0.27,0.11999999731779099,0.31,0.22,True,1.0
TPM__SPATS2L,24,0,0.24,0.07000000029802322,0.24,0.19,False,
TPM__MGST1,24,0,0.24,0.03999999910593033,0.25,0.2,False,
METH__PLS1,22,0,0.22,0.029999999329447746,-0.19,0.2,False,
TPM__RUNDC3A-AS1,22,1,0.22,0.029999999329447746,0.23,0.23,True,1.0
TPM__PCNX2,22,0,0.22,0.05999999865889549,0.27,0.19,False,
METH__NFKB1,21,0,0.21,0.05000000074505806,-0.29,0.21,False,
TPM__FGFR3,21,0,0.21,0.009999999776482582,0.12,0.19,False,
METH__PIK3IP1,20,0,0.2,0.029999999329447746,0.21,0.21,False,
