feature,Selection count,Pair count,CPSS Score
METH__TEAD4,100,50,1.0
TPM__ARSD,100,50,1.0
CNV__TCF4,96,46,0.96
METH__SNX3,96,46,0.96
CNV__SETBP1,94,44,0.94
TPM__SCARNA22,90,40,0.9
TPM__RNA5SP187,90,40,0.9
CNV__IKZF3,86,36,0.86
CNV__LASP1,75,26,0.75
CNV__ERBB2,75,28,0.75
TPM__SNORA70,74,25,0.74
CNV__PCM1,72,24,0.72
CNV__FGFR1,72,23,0.72
METH__TSPAN13,70,23,0.7
CNV__PLCB4,70,21,0.7
METH__TMEM44,69,20,0.69
CNV__NRG1,69,19,0.69
CNV__SIRPA,66,17,0.66
CNV__TGIF1,65,17,0.65
CNV__PREX2,63,17,0.63
CNV__WRN,63,17,0.63
TPM__SNORA47,58,15,0.58
CNV__NCOA2,57,14,0.57
CNV__MLLT6,56,12,0.56
MUT__ARID1A,56,10,0.56
METH__HJURP,55,13,0.55
CNV__MAX,54,12,0.54
CNV__ERCC4,53,11,0.53
TPM__RNU1-91P,53,12,0.53
CNV__NIN,52,12,0.52
CNV__ACVR1,52,10,0.52
CNV__RASA1,51,11,0.51
CNV__HOOK3,50,9,0.5
METH__MAX,50,11,0.5
METH__GDI2,50,9,0.5
CNV__ROS1,49,11,0.49
METH__ZNF571,49,11,0.49
TPM__SNORA2A,48,9,0.48
CNV__GPHN,48,11,0.48
CNV__ARHGEF10,47,12,0.47
CNV__HOXD11,47,7,0.47
CNV__LOX,47,8,0.47
CNV__TCEA1,47,11,0.47
CNV__COL1A1,46,10,0.46
METH__DAPK2,46,8,0.46
CNV__DAZAP1,45,7,0.45
METH__ISOC2,45,7,0.45
MUT__KRAS,45,7,0.45
METH__C2orf24,45,5,0.45
METH__SLC19A2,45,8,0.45
CNV__HIF1A,44,4,0.44
CNV__CUX1,44,8,0.44
CNV__BRAF,44,12,0.44
METH__RABL2A,44,6,0.44
CNV__SPOP,43,6,0.43
METH__C16orf58,42,6,0.42
METH__ARMC10,42,5,0.42
CNV__BRIP1,41,4,0.41
CNV__PPM1D,41,4,0.41
MUT__KMT2B,40,3,0.4
CNV__FAT3,40,5,0.4
CNV__ELL,40,8,0.4
CNV__CLTC,40,5,0.4
CNV__TRIM24,40,8,0.4
CNV__POT1,39,6,0.39
CNV__TSHR,39,3,0.39
CNV__BCL11B,38,4,0.38
CNV__RAD51B,37,5,0.37
CNV__KEL,37,9,0.37
CNV__SOX17,37,5,0.37
METH__YWHAB,37,3,0.37
CNV__CRNKL1,37,7,0.37
CNV__PDGFRA,37,9,0.37
METH__RMND5B,36,3,0.36
METH__KCTD16,36,7,0.36
METH__GYS1,36,6,0.36
CNV__HLF,35,3,0.35
CNV__APC,35,5,0.35
CNV__AKT1,35,6,0.35
CNV__CCND1,35,9,0.35
MUT__PIK3CA,34,2,0.34
CNV__PCMTD1,34,3,0.34
CNV__KDR,34,3,0.34
CNV__BRD4,33,5,0.33
CNV__TRAF3,33,6,0.33
CNV__AFF4,33,2,0.33
CNV__LRP1B,33,5,0.33
CNV__KRAS,33,4,0.33
CNV__PPFIBP1,32,6,0.32
MUT__KMT2C,32,3,0.32
METH__SYAP1,31,4,0.31
CNV__PRRX1,31,2,0.31
CNV__MET,31,6,0.31
CNV__KAT6A,31,4,0.31
CNV__RAD51D,30,3,0.3
CNV__ZFP36L1,30,4,0.3
CNV__PRKCD,30,1,0.3
CNV__DDR2,30,4,0.3
CNV__TCIRG1,30,5,0.3
CNV__CHD4,29,2,0.29
CNV__PBX1,29,1,0.29
CNV__SOCS1,29,2,0.29
MUT__PBRM1,29,0,0.29
CNV__FBN2,28,5,0.28
CNV__CD79B,28,1,0.28
CNV__TPM4,28,2,0.28
CNV__MEF2B,28,3,0.28
CNV__NUMA1,28,5,0.28
TPM__RNA5S9,28,2,0.28
CNV__IKBKB,28,4,0.28
CNV__PICALM,28,3,0.28
CNV__CRTC1,28,3,0.28
CNV__ZNF384,27,4,0.27
CNV__PMS1,27,3,0.27
CNV__SOX9,27,1,0.27
CNV__ERCC3,26,3,0.26
CNV__CUL3,26,1,0.26
CNV__MARK2,26,3,0.26
CNV__JAK3,26,1,0.26
CNV__ETNK1,26,2,0.26
METH__C18orf10,26,1,0.26
CNV__DDX6,26,4,0.26
METH__ANO10,25,1,0.25
CNV__MEN1,25,0,0.25
TPM__RNA5SP323,25,4,0.25
CNV__CCND3,24,2,0.24
CNV__KIT,24,2,0.24
MUT__PIK3R1,24,0,0.24
CNV__CACNA1D,24,0,0.24
CNV__RNF213,24,1,0.24
CNV__EFTUD2,24,1,0.24
METH__USP48,24,2,0.24
CNV__FOXA2,24,3,0.24
TPM__SNORA2B,24,2,0.24
CNV__MAP2K2,24,1,0.24
MUT__CBLC,23,0,0.23
CNV__SETDB1,23,3,0.23
CNV__FANCF,23,1,0.23
METH__PPIA,23,1,0.23
CNV__HOXD13,23,3,0.23
CNV__FN1,23,2,0.23
METH__PTGER4,22,1,0.22
MUT__CDH1,22,0,0.22
METH__COMMD8,22,1,0.22
CNV__MAP2K4,22,0,0.22
CNV__MSI2,22,2,0.22
METH__RDH10,21,2,0.21
METH__GATSL2,21,0,0.21
CNV__ABL2,21,1,0.21
CNV__SH3GL1,21,2,0.21
CNV__SRSF2,21,1,0.21
METH__RAB2B,21,0,0.21
CNV__KTN1,20,3,0.2
CNV__PTPN6,20,0,0.2
CNV__BARD1,20,2,0.2
CNV__MAML2,20,4,0.2
CNV__ACVR2A,20,1,0.2
MUT__ATM,20,0,0.2
CNV__TAF15,20,2,0.2
CNV__HMGA1,20,3,0.2
CNV__FANCE,20,1,0.2
CNV__PDE4DIP,19,2,0.19
METH__LOC730101,19,1,0.19
METH__UBE2D3,19,1,0.19
METH__POLR1C,19,0,0.19
CNV__DAXX,19,1,0.19
CNV__BCL9L,19,3,0.19
MUT__STK11,19,0,0.19
CNV__FIP1L1,19,1,0.19
CNV__PHOX2B,19,1,0.19
CNV__PBRM1,19,1,0.19
METH__CHMP2B,18,0,0.18
METH__PRIM2,18,1,0.18
CNV__NUP214,18,2,0.18
CNV__SIX1,18,1,0.18
CNV__IDH1,17,0,0.17
CNV__CNTRL,17,0,0.17
CNV__KIF5B,17,1,0.17
CNV__KIFC1,17,2,0.17
CNV__SRSF3,17,1,0.17
CNV__FANCM,17,1,0.17
CNV__KMT2A,16,0,0.16
CNV__NPRL2,16,2,0.16
CNV__GNA13,16,1,0.16
