feature,Selection count,Pair count,CPSS Score
TPM__PSTPIP1,98,48,0.98
METH__ZNF214,95,45,0.95
TPM__KIF21B,91,41,0.91
TPM__PPP2R3A,87,37,0.87
TPM__APLP2,84,34,0.84
TPM__BMS1P23,81,31,0.81
TPM__ARHGAP29,80,30,0.8
TPM__SQSTM1,79,29,0.79
TPM__ASPH,76,26,0.76
METH__EIF3K,74,25,0.74
TPM__CELSR1,69,19,0.69
TPM__CCND1,66,16,0.66
TPM__CTSD,65,16,0.65
TPM__GRAMD2B,64,16,0.64
TPM__OPHN1,63,13,0.63
TPM__GULP1,63,13,0.63
TPM__AHNAK2,62,13,0.62
TPM__IQSEC2,61,14,0.61
TPM__AGAP2,60,12,0.6
METH__RGNEF,60,13,0.6
TPM__SUMF1,59,11,0.59
TPM__NPTN,57,7,0.57
TPM__SMAP2,57,7,0.57
TPM__VAMP3,56,9,0.56
TPM__LAMA5,56,8,0.56
TPM__NCEH1,56,6,0.56
TPM__SLC35D2,55,7,0.55
TPM__BCAM,55,9,0.55
METH__PRIC285,54,8,0.54
METH__PTPRCAP,53,8,0.53
TPM__IQCJ-SCHIP1,52,9,0.52
TPM__GNG12,52,6,0.52
TPM__CHMP3,52,8,0.52
TPM__TSPAN6,50,5,0.5
TPM__RAI14,50,4,0.5
TPM__PTTG1IP,49,6,0.49
TPM__CRIM1-DT,49,6,0.49
TPM__DOCK1,49,3,0.49
TPM__ANKLE1,48,2,0.48
TPM__CARMIL2,48,2,0.48
TPM__PLS3,47,4,0.47
TPM__YAP1,46,3,0.46
TPM__FHL2,46,3,0.46
TPM__DCBLD2,46,5,0.46
TPM__ARPIN-AP3S2,45,2,0.45
METH__LOC100233209,44,4,0.44
TPM__ERRFI1,44,3,0.44
TPM__GPR39,43,2,0.43
TPM__ITPRIPL2,43,3,0.43
METH__GPX8,43,2,0.43
TPM__LARP6,42,2,0.42
TPM__ASAP2,42,1,0.42
TPM__PTPN21,41,2,0.41
TPM__PTGR1,40,1,0.4
TPM__CUEDC1,40,1,0.4
TPM__SNX21,39,0,0.39
TPM__IL13RA1,39,2,0.39
TPM__TRAF3IP3,39,2,0.39
TPM__CCDC9B,39,2,0.39
METH__MGAT1,38,2,0.38
TPM__AHNAK,38,1,0.38
METH__RASSF1,38,2,0.38
TPM__TM4SF1,38,0,0.38
TPM__SHB,37,0,0.37
TPM__ARHGEF28,37,2,0.37
TPM__ARPIN,36,1,0.36
TPM__EPS8,36,2,0.36
TPM__CXCR4,36,3,0.36
TPM__CST3,35,1,0.35
TPM__MYO1C,35,2,0.35
TPM__PXDC1,35,0,0.35
METH__NRP1,34,0,0.34
TPM__LAPTM4A,34,2,0.34
TPM__FCHO2,34,2,0.34
TPM__CDC42BPB,33,0,0.33
METH__CCDC12,33,0,0.33
TPM__THSD4,33,2,0.33
TPM__IL12RB1,33,0,0.33
TPM__NR2F2,33,1,0.33
METH__LYPD6,33,1,0.33
TPM__MPP3,32,1,0.32
TPM__PVR,32,0,0.32
TPM__THBS1,32,0,0.32
TPM__KBTBD8,31,0,0.31
METH__DOK2,31,0,0.31
TPM__FAM78A,31,0,0.31
TPM__ID1,31,6,0.31
TPM__SNX24,30,0,0.3
METH__CCM2,30,0,0.3
TPM__EMP1,29,0,0.29
TPM__PHLDA2,29,0,0.29
TPM__ITGA3,29,0,0.29
TPM__TNFAIP1,29,0,0.29
TPM__RND3,29,0,0.29
TPM__CORO1A-AS1,28,0,0.28
TPM__SNX33,28,0,0.28
METH__OSBPL1A,28,0,0.28
METH__CADPS2,27,0,0.27
TPM__CDC42EP1,27,0,0.27
TPM__HDAC11,27,0,0.27
TPM__CTNND1,26,0,0.26
METH__AK1,26,3,0.26
TPM__IL2RG,25,1,0.25
TPM__KIFC3,25,0,0.25
TPM__S100A13,25,0,0.25
TPM__CNN3,25,0,0.25
TPM__PLPP2,25,1,0.25
TPM__S100A10,25,1,0.25
METH__MTMR11,25,0,0.25
TPM__RASAL2,25,0,0.25
TPM__RIN2,25,0,0.25
METH__CTGF,25,2,0.25
METH__THBS1,25,0,0.25
TPM__GAS2L1,24,0,0.24
TPM__TMEM51,24,1,0.24
TPM__EXT1,23,1,0.23
TPM__LAMB2,23,0,0.23
METH__ABHD10,22,1,0.22
TPM__PON2,22,0,0.22
TPM__MYB,22,0,0.22
METH__MYO1G,22,0,0.22
METH__TERF1,22,2,0.22
TPM__SH2D4A,21,1,0.21
TPM__HSPG2,21,4,0.21
TPM__NT5E,21,0,0.21
TPM__NQO1,21,1,0.21
METH__PROCA1,21,1,0.21
TPM__SEMA3C,21,0,0.21
TPM__TBC1D10C,21,0,0.21
TPM__CLCF1,21,0,0.21
METH__RAB27B,21,0,0.21
TPM__WWTR1,21,0,0.21
TPM__FLI1,21,0,0.21
METH__C10orf35,20,0,0.2
TPM__NACC2,20,3,0.2
TPM__GIPC1,20,0,0.2
TPM__INPP5D,20,0,0.2
TPM__PTPN7,20,0,0.2
TPM__TWF1,19,2,0.19
TPM__LAMC1,19,1,0.19
TPM__TACC2,19,5,0.19
TPM__ACTN1,19,0,0.19
TPM__ADCY6,19,0,0.19
TPM__RBMS2,19,2,0.19
TPM__SDC4,19,0,0.19
METH__PTRF,18,2,0.18
METH__KITLG,18,0,0.18
TPM__TRG-AS1,18,3,0.18
TPM__ANXA2P2,18,0,0.18
METH__MAP4K1,18,0,0.18
METH__DSTN,18,0,0.18
TPM__LAMB1,18,0,0.18
TPM__RHPN2,18,4,0.18
TPM__SPATS2L,18,0,0.18
METH__PER3,18,2,0.18
TPM__MGAT4B,17,0,0.17
METH__C9orf150,17,0,0.17
TPM__MFNG,17,1,0.17
METH__TTC23,17,4,0.17
TPM__FAT1,17,3,0.17
TPM__FERMT3,17,0,0.17
TPM__PHLDB1,17,0,0.17
TPM__CD38,17,3,0.17
TPM__DUSP3,17,1,0.17
TPM__BCL9L,16,0,0.16
METH__FERMT3,16,0,0.16
TPM__PARVA,15,1,0.15
METH__HCST,15,2,0.15
TPM__RBPMS,15,2,0.15
TPM__CDC42EP4,15,0,0.15
METH__PRSS48,15,3,0.15
TPM__APP,15,0,0.15
METH__FAM47E,15,1,0.15
METH__BCL9L,15,0,0.15
TPM__CAV2,15,2,0.15
TPM__CDR2L,15,0,0.15
METH__CCDC88B,15,0,0.15
TPM__TAX1BP3,15,0,0.15
METH__RINL,15,0,0.15
TPM__CARD10,15,0,0.15
METH__KRI1,15,3,0.15
TPM__ADAM9,14,4,0.14
TPM__HCLS1,14,0,0.14
METH__RAVER1,14,0,0.14
TPM__SERPINB6,14,3,0.14
TPM__TPBG,14,1,0.14
METH__SOCS6,14,0,0.14
METH__SASH1,14,1,0.14
TPM__PTPN14,14,1,0.14
TPM__SNX9,14,2,0.14
TPM__RAB11FIP5,14,2,0.14
TPM__RRAS,13,0,0.13
TPM__CAPN2,13,0,0.13
TPM__SGMS2,13,0,0.13
