feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__BZRAP1,100,50,1.0,0.3700000047683716,0.47,0.27,True,1.0
TPM__SH3D19,100,50,1.0,0.3400000035762787,0.49,0.3,True,1.0
TPM__MIR142HG,100,50,1.0,0.38999998569488525,-0.38,0.29,True,1.0
METH__PTPN14,97,47,0.97,0.3100000023841858,-0.45,0.34,True,0.992
TPM__AMOTL2,97,47,0.97,0.4099999964237213,0.57,0.31,True,0.992
TPM__CCN1,97,47,0.97,0.36000001430511475,0.57,0.26,True,0.992
TPM__DAG1,95,45,0.95,0.3400000035762787,0.51,0.24,True,0.458
METH__MIR142,94,45,0.94,0.3700000047683716,0.44,0.22,True,0.458
TPM__ITGA3,92,42,0.92,0.3499999940395355,0.58,0.21,False,0.013
TPM__LAMB2,92,42,0.92,0.41999998688697815,0.55,0.26,False,0.013
TPM__PTPN7,92,42,0.92,0.38999998569488525,-0.37,0.28,False,0.013
TPM__NCKAP1,91,41,0.91,0.3400000035762787,0.42,0.23,False,0.002
TPM__IKZF1,91,42,0.91,0.38999998569488525,-0.4,0.32,False,0.013
TPM__YAP1,90,40,0.9,0.4099999964237213,0.55,0.29,False,0.0
TPM__APLP2,87,37,0.87,0.27000001072883606,0.49,0.22,False,0.0
TPM__IL13RA1,87,37,0.87,0.3199999928474426,0.47,0.22,False,0.0
TPM__ANKRD1,85,35,0.85,0.1899999976158142,0.53,0.27,False,0.0
TPM__CTTN,84,34,0.84,0.3400000035762787,0.5,0.28,False,0.0
METH__EIF3K,83,33,0.83,0.3700000047683716,0.49,0.24,False,0.0
TPM__MATN3,82,32,0.82,0.20999999344348907,0.58,0.24,False,0.0
TPM__MYOF,82,33,0.82,0.36000001430511475,0.55,0.2,False,0.0
TPM__ARHGAP29,80,31,0.8,0.3199999928474426,0.56,0.24,False,0.0
METH__AGAP2,79,29,0.79,0.2800000011920929,-0.36,0.21,False,0.0
TPM__SLC35D2,78,28,0.78,0.36000001430511475,0.5,0.26,False,0.0
TPM__RHBDF1,78,29,0.78,0.3700000047683716,0.52,0.21,False,0.0
TPM__NUAK1,77,28,0.77,0.20999999344348907,0.47,0.25,False,0.0
TPM__FAM78A,76,30,0.76,0.3499999940395355,-0.45,0.21,False,0.0
TPM__SDC4,76,27,0.76,0.38999998569488525,0.56,0.25,False,0.0
TPM__FAM114A1,75,26,0.75,0.3400000035762787,0.53,0.27,False,0.0
TPM__ITGB5,73,25,0.73,0.3799999952316284,0.55,0.28,False,0.0
TPM__TM4SF1,72,24,0.72,0.3100000023841858,0.52,0.25,False,0.0
TPM__AHNAK2,71,22,0.71,0.3100000023841858,0.56,0.25,False,0.0
TPM__CORO1A,71,22,0.71,0.3400000035762787,-0.46,0.2,False,0.0
TPM__EPHA2,70,23,0.7,0.38999998569488525,0.57,0.25,False,0.0
METH__PRIC285,70,23,0.7,0.3499999940395355,0.48,0.29,False,0.0
TPM__BMS1P23,70,22,0.7,0.28999999165534973,0.52,0.21,False,0.0
TPM__MFNG,69,20,0.69,0.30000001192092896,-0.35,0.22,False,0.0
TPM__NQO1,69,20,0.69,0.28999999165534973,0.5,0.25,False,0.0
TPM__CTSD,68,22,0.68,0.25999999046325684,0.51,0.24,False,0.0
METH__PSMB8,67,20,0.67,0.10000000149011612,0.36,0.22,False,0.0
TPM__TNFRSF12A,66,19,0.66,0.38999998569488525,0.56,0.21,False,0.0
TPM__ARHGAP15,65,19,0.65,0.3499999940395355,-0.36,0.24,False,0.0
TPM__CCND1,64,18,0.64,0.3199999928474426,0.45,0.24,False,0.0
TPM__THBS1,62,17,0.62,0.27000001072883606,0.53,0.23,False,0.0
METH__GPX8,62,16,0.62,0.2800000011920929,-0.4,0.26,False,0.0
TPM__CTNNA1,61,15,0.61,0.3100000023841858,0.52,0.26,False,0.0
TPM__MANBAL,61,17,0.61,0.3100000023841858,0.45,0.22,False,0.0
TPM__PLK2,58,12,0.58,0.3499999940395355,0.55,0.27,False,0.0
TPM__ARHGEF28,56,13,0.56,0.27000001072883606,0.49,0.21,False,0.0
TPM__PRSS23,56,16,0.56,0.33000001311302185,0.56,0.22,False,0.0
TPM__ERRFI1,55,11,0.55,0.28999999165534973,0.46,0.23,False,0.0
TPM__CARD10,51,11,0.51,0.3100000023841858,0.49,0.25,False,0.0
TPM__TRNP1,49,7,0.49,0.23000000417232513,0.48,0.24,True,0.053
TPM__PARVA,49,10,0.49,0.3199999928474426,0.5,0.26,False,0.0
TPM__PSTPIP1,48,12,0.48,0.30000001192092896,-0.41,0.2,False,0.0
TPM__EGFR,47,5,0.47,0.3100000023841858,0.53,0.23,True,0.458
TPM__TPM1,46,7,0.46,0.3400000035762787,0.54,0.23,True,0.053
TPM__S100A16,46,6,0.46,0.30000001192092896,0.48,0.21,True,0.181
TPM__IRAG2,46,7,0.46,0.3199999928474426,-0.38,0.25,True,0.053
METH__ERBB2,45,4,0.45,0.3400000035762787,-0.48,0.26,True,0.832
TPM__TJP1,45,7,0.45,0.4000000059604645,0.5,0.24,True,0.053
TPM__UBTD1,45,7,0.45,0.2800000011920929,0.5,0.23,True,0.053
METH__MAP4K1,45,7,0.45,0.3799999952316284,0.49,0.24,True,0.053
TPM__CUEDC1,44,8,0.44,0.3100000023841858,0.46,0.23,False,0.013
TPM__PPIC,44,6,0.44,0.3799999952316284,0.52,0.22,True,0.181
TPM__TEAD1,44,7,0.44,0.30000001192092896,0.44,0.22,True,0.053
TPM__ARSJ,44,3,0.44,0.23000000417232513,0.52,0.22,True,0.992
TPM__BCAR1,43,3,0.43,0.3799999952316284,0.55,0.22,True,0.992
METH__RAVER1,43,5,0.43,0.28999999165534973,-0.33,0.26,True,0.458
