feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__RTN4IP1,99,49,0.99,0.07000000029802322,-0.24,0.02,True,1.0
TPM__BCL2L1,99,49,0.99,0.07999999821186066,0.29,0.07,True,1.0
TPM__MOB3A,95,45,0.95,0.07000000029802322,-0.22,0.03,True,0.458
TPM__MAST3,93,43,0.93,0.09000000357627869,-0.27,0.09,True,0.053
TPM__RNF207,87,37,0.87,0.07000000029802322,0.23,0.1,False,0.0
TPM__ITPKB,86,36,0.86,0.07000000029802322,-0.28,0.03,False,0.0
TPM__IGFBP4,86,36,0.86,0.07000000029802322,0.24,0.08,False,0.0
METH__ZNF285A,84,34,0.84,0.05999999865889549,-0.23,0.04,False,0.0
TPM__ZC3H12C,83,33,0.83,0.07999999821186066,0.24,0.04,False,0.0
TPM__ARHGEF6,82,32,0.82,0.05999999865889549,-0.23,0.04,False,0.0
TPM__SMURF2,81,31,0.81,0.09000000357627869,0.29,0.02,False,0.0
METH__SLC15A1,74,24,0.74,0.05999999865889549,-0.24,0.07,False,0.0
TPM__CRIM1-DT,73,23,0.73,0.10999999940395355,0.33,0.05,False,0.0
METH__CARD8,73,23,0.73,0.07999999821186066,0.23,0.06,False,0.0
TPM__WTIP,72,22,0.72,0.07000000029802322,0.25,0.02,False,0.0
TPM__ME2,72,22,0.72,0.05999999865889549,-0.25,0.02,False,0.0
METH__MIR365-1,71,22,0.71,0.07000000029802322,0.23,0.04,False,0.0
TPM__SOCS3,71,21,0.71,0.07999999821186066,0.29,0.08,False,0.0
TPM__MT1E,67,17,0.67,0.07000000029802322,0.23,0.06,False,0.0
TPM__BEND7,67,17,0.67,0.09000000357627869,0.3,0.09,False,0.0
TPM__PTTG1IP,66,16,0.66,0.10000000149011612,0.3,0.11,False,0.0
TPM__RND3,66,17,0.66,0.05999999865889549,0.21,0.04,False,0.0
TPM__MIR100HG,65,15,0.65,0.07999999821186066,0.28,0.08,False,0.0
TPM__HLA-DOB,65,17,0.65,0.07000000029802322,-0.17,0.05,False,0.0
TPM__ASPH,64,14,0.64,0.05999999865889549,0.26,0.06,False,0.0
METH__TUBB3,64,14,0.64,0.07000000029802322,-0.19,0.13,False,0.0
TPM__RGL3,63,16,0.63,0.07999999821186066,0.27,0.14,False,0.0
TPM__TLCD5,63,13,0.63,0.07999999821186066,0.27,0.04,False,0.0
TPM__RAI14,62,12,0.62,0.07999999821186066,0.26,0.07,False,0.0
TPM__HASPIN,62,13,0.62,0.07000000029802322,-0.23,0.04,False,0.0
TPM__SEMA4A,62,13,0.62,0.09000000357627869,-0.21,0.1,False,0.0
