feature,Selection count,Pair count,CPSS Score
TPM__RTN4IP1,99,49,0.99
TPM__BCL2L1,99,49,0.99
TPM__MOB3A,95,45,0.95
TPM__MAST3,93,43,0.93
TPM__RNF207,87,37,0.87
TPM__ITPKB,86,36,0.86
TPM__IGFBP4,86,36,0.86
METH__ZNF285A,84,34,0.84
TPM__ZC3H12C,83,33,0.83
TPM__ARHGEF6,82,32,0.82
TPM__SMURF2,81,31,0.81
METH__SLC15A1,74,24,0.74
TPM__CRIM1-DT,73,23,0.73
METH__CARD8,73,23,0.73
TPM__WTIP,72,22,0.72
TPM__ME2,72,22,0.72
TPM__SOCS3,71,21,0.71
METH__MIR365-1,71,22,0.71
TPM__MT1E,67,17,0.67
TPM__BEND7,67,17,0.67
TPM__PTTG1IP,66,16,0.66
TPM__RND3,66,17,0.66
TPM__MIR100HG,65,15,0.65
TPM__HLA-DOB,65,17,0.65
TPM__ASPH,64,14,0.64
METH__TUBB3,64,14,0.64
TPM__RGL3,63,16,0.63
TPM__TLCD5,63,13,0.63
TPM__RAI14,62,12,0.62
TPM__HASPIN,62,13,0.62
TPM__SEMA4A,62,13,0.62
METH__KPTN,61,12,0.61
TPM__RPS28,61,14,0.61
TPM__TPM1,60,12,0.6
METH__GPR39,60,12,0.6
TPM__ZBTB24,59,9,0.59
METH__SPAG17,59,11,0.59
TPM__GPX3,59,10,0.59
METH__NID1,58,10,0.58
TPM__CFAP300,58,9,0.58
TPM__DLGAP1-AS1,57,9,0.57
METH__PLOD2,57,8,0.57
TPM__DLGAP1-AS2,56,8,0.56
METH__EIF3J,56,8,0.56
TPM__MARCHF4,54,8,0.54
TPM__MCFD2,54,8,0.54
TPM__KLF6,53,5,0.53
METH__MAOA,53,7,0.53
METH__SIX1,53,4,0.53
TPM__TBC1D10C,52,8,0.52
METH__ONECUT2,51,4,0.51
TPM__RTN4,50,5,0.5
TPM__GNAI1,50,3,0.5
TPM__FAM78A,49,6,0.49
TPM__RASAL2-AS1,48,3,0.48
METH__LAPTM4A,47,4,0.47
TPM__FMNL2,47,5,0.47
TPM__EAF2,47,3,0.47
TPM__GULP1,47,2,0.47
METH__MGAT1,47,6,0.47
TPM__WWC2,47,4,0.47
METH__FHOD3,46,5,0.46
TPM__BTG2,45,6,0.45
METH__RWDD3,45,3,0.45
TPM__ITGB1,45,3,0.45
METH__CXCL3,44,4,0.44
TPM__SLC35G2,44,4,0.44
TPM__TM4SF1,44,2,0.44
TPM__RFXAP,44,2,0.44
TPM__PLK2,44,4,0.44
TPM__LAMB2,44,2,0.44
TPM__L3MBTL2,43,1,0.43
METH__NLRP14,43,7,0.43
TPM__ME3,43,2,0.43
METH__RHOBTB1,42,3,0.42
TPM__IQCJ-SCHIP1,42,2,0.42
METH__JUB,42,1,0.42
TPM__MRPS31,42,4,0.42
METH__PDK4,42,2,0.42
TPM__STAC3,41,1,0.41
TPM__BCAR1,40,4,0.4
TPM__MAFF,39,1,0.39
TPM__TPD52L2,38,1,0.38
METH__TMEM136,38,3,0.38
TPM__LCMT1-AS1,38,1,0.38
TPM__NMT2,38,3,0.38
METH__MIR597,38,1,0.38
METH__DOK3,37,1,0.37
TPM__TP53I3,37,0,0.37
TPM__MIR222HG,37,1,0.37
METH__CNKSR3,37,0,0.37
TPM__SQSTM1,36,1,0.36
TPM__FKBP9,36,0,0.36
TPM__DEPDC5,35,0,0.35
