feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
METH__C14orf128,100,50,1.0,0.03999999910593033,-0.22,0.22,True,1.0,unimodal,0.71,True
CNV__NUMA1,100,50,1.0,0.019999999552965164,0.25,0.23,True,1.0,unimodal,0.71,True
MUT__KRAS,99,49,0.99,0.029999999329447746,0.15,0.23,True,1.0,unimodal,0.71,True
CNV__FAT3,99,49,0.99,0.03999999910593033,0.21,0.23,True,1.0,unimodal,0.71,True
CNV__MAML2,98,48,0.98,0.03999999910593033,0.21,0.22,True,1.0,unimodal,0.71,True
MUT__PTEN,98,48,0.98,0.029999999329447746,-0.21,0.25,True,1.0,unimodal,0.71,True
CNV__PAFAH1B2,98,48,0.98,0.029999999329447746,0.18,0.21,True,1.0,unimodal,0.71,True
MUT__PIK3CA,97,47,0.97,0.029999999329447746,-0.17,0.23,True,0.992,unimodal,0.71,True
CNV__ATM,97,47,0.97,0.019999999552965164,0.18,0.24,True,0.992,unimodal,0.71,True
METH__CWC15,96,46,0.96,0.029999999329447746,-0.09,0.21,True,0.832,unimodal,0.71,True
CNV__DDX10,96,46,0.96,0.019999999552965164,0.18,0.23,True,0.832,unimodal,0.71,True
METH__C7orf70,96,46,0.96,0.029999999329447746,0.11,0.22,True,0.832,unimodal,0.71,True
CNV__NXF1,95,45,0.95,0.029999999329447746,0.21,0.24,True,0.458,unimodal,0.71,True
METH__DCBLD2,95,45,0.95,0.029999999329447746,-0.14,0.21,True,0.458,unimodal,0.71,True
CNV__FSTL3,94,44,0.94,0.0,-0.01,0.19,True,0.181,unimodal,0.71,True
CNV__POU2AF1,94,44,0.94,0.009999999776482582,0.18,0.22,True,0.181,unimodal,0.71,True
METH__ARPC5,92,42,0.92,0.03999999910593033,-0.15,0.26,False,0.013,worst_case,0.8960016835016835,True
TPM__RNVU1-26,91,41,0.91,0.019999999552965164,-0.11,0.25,False,0.002,worst_case,0.8960016835016835,True
METH__MGAT2,91,41,0.91,0.019999999552965164,-0.13,0.21,False,0.002,worst_case,0.8960016835016835,True
CNV__MARK2,90,40,0.9,0.029999999329447746,0.22,0.22,False,0.0,worst_case,0.8960016835016835,True
METH__CSDA,90,40,0.9,0.029999999329447746,-0.04,0.27,False,0.0,worst_case,0.8960016835016835,True
