feature,Selection count,Pair count,CPSS Score
TPM__APLP2,94,44,0.94
TPM__ME2,94,44,0.94
TPM__GPR39,92,42,0.92
TPM__KIF21B,92,42,0.92
METH__RASSF1,92,42,0.92
TPM__CETN2,89,39,0.89
METH__ZNF579,87,37,0.87
TPM__CTSD,86,36,0.86
TPM__MLPH,80,30,0.8
TPM__GMIP,78,28,0.78
TPM__TNS2,77,27,0.77
TPM__CD38,76,26,0.76
METH__CBFB,75,25,0.75
TPM__WFS1,75,25,0.75
METH__PTPN14,74,24,0.74
METH__PARP10,73,24,0.73
TPM__TAF4B,72,22,0.72
TPM__KLRG1,70,20,0.7
TPM__RASGRP2,69,20,0.69
TPM__CLCF1,68,18,0.68
TPM__BMS1P23,67,19,0.67
TPM__ATP1B1,65,16,0.65
TPM__EMP1,65,15,0.65
METH__FN3K,64,14,0.64
METH__RPS6KA1,64,18,0.64
METH__ZBP1,62,12,0.62
TPM__RAPH1,61,12,0.61
TPM__DST,60,11,0.6
TPM__PDCD6IP-DT,58,8,0.58
TPM__ATP9A,58,11,0.58
TPM__PLK2,58,10,0.58
METH__TBC1D10C,57,11,0.57
METH__C17orf87,57,9,0.57
TPM__MGAT4B,56,11,0.56
TPM__RNASEH2B,56,9,0.56
METH__PARVA,56,9,0.56
METH__ITPRIPL2,55,9,0.55
TPM__MID2,53,7,0.53
TPM__CARD10,53,5,0.53
METH__U2AF1L4,52,8,0.52
METH__CD38,52,4,0.52
METH__CARD8,51,4,0.51
TPM__PTTG1IP,49,5,0.49
TPM__FCHO1,48,4,0.48
TPM__GULP1,48,5,0.48
METH__LAT,48,6,0.48
TPM__AGAP2,47,2,0.47
METH__PTGFRN,47,3,0.47
METH__CCDC88B,46,3,0.46
METH__MGAT1,45,4,0.45
TPM__ASPH,44,2,0.44
TPM__PLS3,44,2,0.44
TPM__IRAG2,44,4,0.44
METH__TCF3,42,3,0.42
TPM__PPP1R16B,42,2,0.42
TPM__NT5E,42,2,0.42
TPM__ARHGEF17,42,4,0.42
TPM__THSD4,42,4,0.42
TPM__PLAAT3,42,1,0.42
TPM__PIK3CG,41,2,0.41
TPM__TACC2,41,2,0.41
TPM__CTNNA1,40,2,0.4
TPM__SH3RF1,40,2,0.4
TPM__KDM2B,40,3,0.4
METH__ABHD10,40,4,0.4
TPM__PTGR1,39,1,0.39
METH__BZRAP1,39,0,0.39
TPM__FAM177A1,38,4,0.38
TPM__IL17RC,38,1,0.38
METH__LOC283404,38,1,0.38
TPM__TMEM54,38,1,0.38
TPM__TBC1D10C,38,2,0.38
TPM__LCP1,38,0,0.38
TPM__ELMO1,37,1,0.37
METH__IGSF3,37,2,0.37
METH__SSH3,37,1,0.37
TPM__ITGB1,37,3,0.37
TPM__TMC8,37,0,0.37
METH__FAIM3,37,1,0.37
TPM__CCDC9B,37,2,0.37
TPM__SHTN1,37,0,0.37
TPM__CHMP3,36,2,0.36
TPM__BCAR1,36,1,0.36
TPM__ACAP1,36,3,0.36
METH__SEMA3C,36,4,0.36
TPM__SLC35D2,35,3,0.35
TPM__CUEDC1,35,0,0.35
TPM__MET,35,0,0.35
TPM__PPIC,35,2,0.35
METH__AGXT2L2,35,2,0.35
TPM__BCL9L,35,1,0.35
TPM__ITGA3,33,0,0.33
TPM__LIMD2,33,0,0.33
TPM__RAI14,33,1,0.33
METH__RGS14,33,0,0.33
TPM__AGRN,33,0,0.33
TPM__SUMF1,33,0,0.33
TPM__MORC4,33,0,0.33
TPM__LGALS3,32,0,0.32
METH__SLC44A3,32,0,0.32
TPM__ARHGAP29,32,0,0.32
TPM__SH3BP4,32,1,0.32
TPM__CD37,32,1,0.32
METH__KRI1,32,0,0.32
TPM__GPSM3,32,2,0.32
TPM__NHERF2,32,0,0.32
TPM__SEMA3C,31,0,0.31
TPM__DCBLD2,31,0,0.31
TPM__RAB13,31,1,0.31
TPM__ITGAV,30,1,0.3
METH__LAMB1,30,0,0.3
METH__SNX7,29,0,0.29
METH__PDLIM3,29,0,0.29
TPM__IL13RA1,29,1,0.29
TPM__DUSP3,28,2,0.28
TPM__KRT80,28,0,0.28
METH__RHEB,28,1,0.28
TPM__SLC49A4,27,0,0.27
METH__TEAD1,27,0,0.27
TPM__FERMT3,27,0,0.27
METH__IL10,27,1,0.27
TPM__IL21R,27,0,0.27
TPM__SHISA4,27,1,0.27
METH__MOSC2,27,1,0.27
TPM__MFNG,27,0,0.27
TPM__ERBB2,27,3,0.27
METH__ARHGEF10,27,0,0.27
TPM__TRAF3IP3,27,0,0.27
TPM__ANKLE1,26,0,0.26
TPM__ARPIN,26,0,0.26
TPM__CAP2,26,0,0.26
TPM__FLI1,26,1,0.26
TPM__PLEC,26,0,0.26
TPM__PHLDB1,26,0,0.26
METH__ITGA2,26,1,0.26
TPM__SEPTIN10,26,0,0.26
METH__DOK3,25,1,0.25
TPM__ARHGAP19,25,0,0.25
TPM__EPS8,25,2,0.25
TPM__EAF2,25,2,0.25
METH__CTSZ,25,0,0.25
TPM__KIF13A,25,2,0.25
TPM__LYL1,24,0,0.24
TPM__WWTR1,24,0,0.24
TPM__SPR,23,1,0.23
TPM__FAM114A1,23,0,0.23
TPM__WWC1,23,0,0.23
TPM__TUFT1,23,0,0.23
TPM__GOLM1,23,1,0.23
METH__PRSS23,23,2,0.23
TPM__CRIM1,23,0,0.23
TPM__SSH3,23,0,0.23
TPM__S100A13,22,0,0.22
METH__MIPOL1,22,0,0.22
TPM__PPP2R3A,22,0,0.22
METH__SASH1,22,0,0.22
METH__MAGI1,22,0,0.22
METH__AK1,22,0,0.22
METH__PER3,21,1,0.21
TPM__ID1,21,6,0.21
TPM__GPC1,21,0,0.21
TPM__PSTPIP1,21,2,0.21
TPM__SHB,21,1,0.21
TPM__TJP1,21,0,0.21
METH__PCDP1,21,0,0.21
TPM__MANBAL,21,0,0.21
METH__THBS1,21,0,0.21
TPM__PTPN21,20,0,0.2
METH__RASAL2,20,0,0.2
TPM__TMEM51,20,2,0.2
TPM__ARPIN-AP3S2,20,1,0.2
TPM__RAB11FIP5,20,1,0.2
TPM__ITGB5,19,0,0.19
TPM__DDAH1,19,0,0.19
METH__LYPD6,19,0,0.19
TPM__CTSL,19,0,0.19
TPM__CNN3,19,0,0.19
TPM__DSTN,19,3,0.19
TPM__KDELR3,19,0,0.19
TPM__IL16,19,0,0.19
METH__LOC100302401,19,0,0.19
METH__CLEC2D,19,1,0.19
TPM__TMEM131L,18,1,0.18
METH__TJP1,18,0,0.18
TPM__PTPRF,18,0,0.18
METH__LOC100233209,18,0,0.18
TPM__TWF1,18,0,0.18
TPM__TSPAN6,18,3,0.18
METH__PROCA1,18,2,0.18
METH__CAP2,18,0,0.18
TPM__AKNA,17,0,0.17
TPM__LAPTM4A,17,6,0.17
TPM__FCHO2,17,0,0.17
TPM__ADAM9,17,0,0.17
TPM__PPP1R14B-AS1,17,6,0.17
TPM__TEAD1,17,0,0.17
TPM__BCAR3,17,2,0.17
TPM__NRROS,17,0,0.17
TPM__TRG-AS1,17,3,0.17
TPM__KBTBD8,16,1,0.16
METH__MAP1LC3B2,16,0,0.16
TPM__LRRC8E,16,0,0.16
TPM__CDC42BPB,16,0,0.16
METH__SYTL4,16,0,0.16
METH__EVL,16,0,0.16
TPM__TAX1BP3,16,1,0.16
TPM__MIR22HG,16,1,0.16
TPM__PON2,16,0,0.16
TPM__DLG5,16,0,0.16
