feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__KIRREL3,98,48,0.98,0.09000000357627869,0.28,0.09,True,1.0
TPM__STK32A,98,48,0.98,0.07000000029802322,0.26,0.13,True,1.0
TPM__ADA,97,47,0.97,0.05999999865889549,-0.23,0.02,True,0.992
TPM__CAPRIN2,96,46,0.96,0.07000000029802322,0.24,0.06,True,0.832
TPM__ABT1,95,45,0.95,0.05999999865889549,-0.23,0.02,True,0.458
TPM__BCL2L1,93,43,0.93,0.07000000029802322,0.22,0.08,True,0.053
TPM__OSER1,92,42,0.92,0.07000000029802322,0.22,0.08,False,0.013
TPM__SH3BP1,91,41,0.91,0.05999999865889549,-0.3,0.08,False,0.002
TPM__UBC,83,33,0.83,0.05999999865889549,0.25,0.06,False,0.0
TPM__KIF21B,82,32,0.82,0.07999999821186066,-0.29,0.05,False,0.0
METH__TNFRSF1A,80,30,0.8,0.05999999865889549,0.17,0.09,False,0.0
METH__CCDC102A,77,27,0.77,0.07000000029802322,0.25,0.08,False,0.0
METH__ST3GAL6,77,27,0.77,0.07000000029802322,-0.17,0.12,False,0.0
TPM__PDZD11,74,25,0.74,0.10000000149011612,0.33,0.01,False,0.0
METH__SLAMF8,72,22,0.72,0.05999999865889549,0.22,0.0,False,0.0
METH__C4orf43,70,20,0.7,0.07000000029802322,0.24,0.11,False,0.0
TPM__EHBP1,69,19,0.69,0.07000000029802322,0.27,0.03,False,0.0
TPM__SWI5,69,19,0.69,0.07000000029802322,0.29,0.08,False,0.0
TPM__TPM1,69,21,0.69,0.07000000029802322,0.24,0.09,False,0.0
TPM__BCAR1,69,19,0.69,0.07000000029802322,0.29,0.04,False,0.0
METH__RBAK,67,17,0.67,0.05999999865889549,0.28,0.13,False,0.0
TPM__TRABD,67,18,0.67,0.07000000029802322,-0.27,0.06,False,0.0
METH__PKN1,64,15,0.64,0.07000000029802322,0.28,0.05,False,0.0
TPM__PYGB,64,14,0.64,0.07999999821186066,0.27,0.04,False,0.0
TPM__DYNLRB1,64,15,0.64,0.07000000029802322,0.27,0.09,False,0.0
METH__CBFB,63,14,0.63,0.10999999940395355,0.34,0.11,False,0.0
METH__LOC100128788,62,13,0.62,0.07000000029802322,0.24,0.09,False,0.0
METH__SMYD5,61,12,0.61,0.05999999865889549,0.26,0.09,False,0.0
METH__MIR2277,59,9,0.59,0.05999999865889549,-0.23,0.12,False,0.002
METH__TWF2,55,7,0.55,0.07000000029802322,0.26,0.15,True,0.053
TPM__PPP1R26,52,7,0.52,0.05999999865889549,0.2,0.08,True,0.053
TPM__BOD1,52,5,0.52,0.10000000149011612,0.32,0.12,True,0.458
TPM__ZNF112,52,6,0.52,0.07000000029802322,0.27,0.13,True,0.181
TPM__LCP1,47,3,0.47,0.07000000029802322,-0.25,0.03,True,0.992
METH__TERF1,47,5,0.47,0.07999999821186066,-0.22,0.11,True,0.458
TPM__AOPEP,47,3,0.47,0.07999999821186066,0.31,0.13,True,0.992
METH__GSTA3,45,0,0.45,0.07000000029802322,0.22,0.05,False,
TPM__MIR100HG,44,2,0.44,0.07999999821186066,0.31,0.1,True,1.0
TPM__GNG12,44,4,0.44,0.07999999821186066,0.29,0.08,True,0.832
METH__RUFY1,44,0,0.44,0.07999999821186066,-0.21,0.1,False,
TPM__KITLG,43,1,0.43,0.07000000029802322,0.31,0.11,True,1.0
TPM__OPHN1,43,3,0.43,0.07999999821186066,0.3,0.11,True,0.992
TPM__CD38,42,0,0.42,0.09000000357627869,-0.25,0.12,False,
METH__KIAA1191,42,4,0.42,0.07000000029802322,0.28,0.12,True,0.832
