feature,Selection count,Pair count,CPSS Score
TPM__BCL2L1,100,50,1.0
TPM__SPATS2L,84,34,0.84
TPM__DOCK1,83,33,0.83
TPM__FTH1P20,79,29,0.79
TPM__TNS2,78,28,0.78
TPM__POLR1H,77,27,0.77
TPM__SNX24,76,27,0.76
TPM__ARHGAP45,76,26,0.76
TPM__ENC1,75,25,0.75
METH__TBC1D10C,74,24,0.74
METH__C17orf91,70,20,0.7
TPM__HYAL2,68,19,0.68
TPM__MET,67,17,0.67
TPM__CUEDC1,66,18,0.66
TPM__SLC35D2,66,16,0.66
METH__HOOK1,64,14,0.64
TPM__PTTG1IP,62,12,0.62
TPM__TMEM51,62,12,0.62
METH__ANKRD44,60,11,0.6
TPM__NPAS2,60,10,0.6
METH__ARHGAP15,59,9,0.59
TPM__GPSM3,59,9,0.59
TPM__CETN2,58,10,0.58
TPM__MYCBP2,58,8,0.58
TPM__CBFA2T3,57,10,0.57
METH__U2AF1L4,57,10,0.57
METH__CD1C,56,8,0.56
TPM__GRK2,55,7,0.55
METH__LAPTM4A,54,6,0.54
TPM__TRNP1,54,6,0.54
TPM__S100A13,53,5,0.53
TPM__CAPN2,53,4,0.53
METH__MGAT1,53,8,0.53
TPM__WFS1,49,6,0.49
TPM__ATP2A3,49,3,0.49
TPM__TM4SF1,47,6,0.47
METH__C6orf124,46,4,0.46
TPM__LIF,46,2,0.46
TPM__RHBDF1,46,1,0.46
METH__MLLT4,45,3,0.45
TPM__CD72,44,2,0.44
TPM__PLK2,44,3,0.44
TPM__CYTH4,44,5,0.44
TPM__TMEM131L,44,0,0.44
TPM__CORO1A-AS1,43,3,0.43
TPM__RASAL2,43,2,0.43
TPM__CARD10,43,5,0.43
TPM__NHSL3,42,1,0.42
TPM__KDM2B,42,2,0.42
TPM__ITGB5,42,1,0.42
METH__C1orf55,42,1,0.42
TPM__MORC4,42,7,0.42
TPM__LCP1,42,1,0.42
TPM__DSTN,42,2,0.42
METH__MGC29506,42,3,0.42
TPM__MYO1C,41,1,0.41
TPM__GPR39,40,2,0.4
TPM__BMS1P23,40,2,0.4
TPM__PARVA,40,0,0.4
TPM__TSPAN6,40,4,0.4
TPM__SCML1,39,1,0.39
TPM__E2F2,39,0,0.39
METH__MTMR11,38,1,0.38
TPM__WSB2,38,1,0.38
TPM__GIPC1,38,0,0.38
METH__C16orf54,37,3,0.37
TPM__EPB41L1,36,0,0.36
TPM__NQO1,36,1,0.36
TPM__IL12RB1,35,0,0.35
TPM__EPN2,35,1,0.35
METH__SHC2,34,0,0.34
METH__ABHD10,34,1,0.34
METH__MAP1LC3B2,34,0,0.34
TPM__ARHGAP4,33,2,0.33
TPM__INPP5D,33,0,0.33
TPM__ZNF205,33,0,0.33
METH__AGAP2,32,1,0.32
METH__PTPN14,32,1,0.32
METH__CCM2,32,0,0.32
TPM__NIBAN2,32,0,0.32
TPM__SRGAP1,32,0,0.32
TPM__ITGA3,32,1,0.32
TPM__PPIC,32,0,0.32
TPM__NRP1,31,0,0.31
METH__FAM113B,30,0,0.3
METH__SELPLG,30,0,0.3
TPM__ITGAV,30,0,0.3
TPM__ARHGAP29,29,2,0.29
TPM__PLS3,29,1,0.29
TPM__ACAP1,29,0,0.29
TPM__FTH1,29,0,0.29
METH__FEZF1,29,0,0.29
TPM__AGRN,28,0,0.28
METH__SAMD5,28,1,0.28
TPM__TPM1,27,0,0.27
TPM__GOLM1,26,0,0.26
METH__LOC100130776,26,0,0.26
TPM__DCBLD2,25,1,0.25
TPM__CCND1,25,0,0.25
TPM__BCAR3,25,1,0.25
TPM__SH3BP4,25,0,0.25
TPM__FAM114A1,25,0,0.25
METH__FAM129C,25,1,0.25
METH__PTRF,24,2,0.24
METH__DDAH1,24,0,0.24
TPM__TSPOAP1-AS1,24,0,0.24
TPM__CARD8-AS1,24,1,0.24
TPM__CTTNBP2NL,24,0,0.24
TPM__CD52,24,0,0.24
TPM__SPR,23,0,0.23
TPM__FERMT3,23,0,0.23
METH__LAMB2,23,0,0.23
TPM__EAF2,23,6,0.23
METH__RUFY1,22,0,0.22
METH__CDH1,22,0,0.22
TPM__DOCK8,22,0,0.22
METH__TERF1,22,0,0.22
METH__FERMT3,22,0,0.22
TPM__PON2,22,1,0.22
TPM__NRROS,22,0,0.22
METH__JUB,21,0,0.21
TPM__HCST,21,0,0.21
TPM__CDC42BPA,21,0,0.21
TPM__GULP1,21,3,0.21
TPM__ANKLE1,21,1,0.21
TPM__CCDC9B,21,0,0.21
METH__PTGFRN,21,0,0.21
TPM__RHPN2,20,1,0.2
TPM__LAPTM4A,20,1,0.2
TPM__GNG12,20,0,0.2
TPM__FAT1,20,3,0.2
TPM__DAG1,20,0,0.2
TPM__KRT18,20,0,0.2
METH__AADAT,20,5,0.2
METH__KRI1,20,0,0.2
TPM__EVI2B,20,0,0.2
TPM__LAPTM5,20,0,0.2
TPM__MYB,19,0,0.19
TPM__PERP,19,1,0.19
TPM__AKNA,19,5,0.19
METH__P4HA2,19,0,0.19
TPM__ADAM9,19,3,0.19
METH__ZBP1,19,4,0.19
TPM__CD151,18,0,0.18
TPM__FCHO2,18,0,0.18
TPM__SEPTIN6,18,2,0.18
METH__KCNK1,18,2,0.18
METH__ZNF214,17,0,0.17
TPM__TWF1,17,0,0.17
TPM__KBTBD8,17,1,0.17
TPM__S100A6,17,2,0.17
TPM__NT5E,17,0,0.17
METH__ITGA4,17,3,0.17
TPM__PLPP2,17,1,0.17
METH__GPR126,17,0,0.17
METH__PLSCR4,17,1,0.17
TPM__ARHGAP30,17,0,0.17
TPM__ZNF101,17,1,0.17
TPM__CLCF1,17,1,0.17
TPM__KIFC3,16,4,0.16
TPM__CORO1A,16,0,0.16
TPM__ERRFI1,16,5,0.16
TPM__TOM1L1,16,0,0.16
TPM__EPS8,16,3,0.16
TPM__TBC1D10C,16,0,0.16
TPM__PTK2,16,4,0.16
TPM__WASL,16,0,0.16
METH__RHOH,16,2,0.16
METH__AK1,16,1,0.16
TPM__LYL1,16,0,0.16
TPM__PHLDA1,16,0,0.16
METH__CDKN2D,15,4,0.15
METH__SASH1,15,0,0.15
METH__CAP2,15,0,0.15
METH__LRIG3,15,0,0.15
TPM__ARHGEF28,15,0,0.15
TPM__CNN3,15,4,0.15
TPM__FHL2,15,1,0.15
METH__ERBB2,15,0,0.15
METH__PLEKHA1,15,0,0.15
TPM__LARP6,15,0,0.15
TPM__ASPH,15,3,0.15
TPM__CCN1,15,0,0.15
METH__RASAL2,14,0,0.14
TPM__LINC00511,14,2,0.14
METH__TSPAN12,14,3,0.14
TPM__TGM2,14,0,0.14
TPM__IL13RA1,14,1,0.14
TPM__CHMP3,14,1,0.14
TPM__ARHGAP9,14,0,0.14
TPM__PPP1R14B-AS1,14,2,0.14
METH__RGS1,14,1,0.14
TPM__SHB,14,0,0.14
TPM__GFI1,14,4,0.14
TPM__ABCC3,13,4,0.13
TPM__RAPH1,13,2,0.13
METH__PROCA1,13,3,0.13
TPM__ATP1B1,13,3,0.13
TPM__RASSF5,13,2,0.13
TPM__CDC14B,13,5,0.13
METH__C6orf41,13,4,0.13
METH__KITLG,13,0,0.13
TPM__TRG-AS1,13,3,0.13
TPM__BAIAP2L1,13,0,0.13
METH__PER3,13,0,0.13
METH__RINL,13,0,0.13
TPM__CDC42EP4,13,2,0.13
TPM__CLDN12,13,3,0.13
TPM__MGAT4B,13,0,0.13
TPM__SH3D19,12,0,0.12
TPM__CD38,12,2,0.12
METH__CCDC12,12,1,0.12
TPM__TACC2,12,3,0.12
METH__NLRP14,12,0,0.12
TPM__DLG5,12,0,0.12
TPM__RND3,12,0,0.12
METH__BCL9L,12,0,0.12
TPM__UACA,12,1,0.12
TPM__RHOH,12,1,0.12
TPM__NECTIN2,12,0,0.12
TPM__AHNAK2,12,3,0.12
TPM__ACVR1,12,1,0.12
TPM__DUSP3,12,2,0.12
TPM__SNX9,11,4,0.11
TPM__APP,11,1,0.11
METH__MARVELD3,11,0,0.11
METH__EPHA2,11,3,0.11
TPM__KRT8,11,0,0.11
TPM__NCEH1,11,0,0.11
TPM__WWC2,11,1,0.11
TPM__GPC1,11,2,0.11
TPM__PDE1B,11,0,0.11
TPM__SLC1A3-AS1,11,4,0.11
TPM__RASGRP2,11,3,0.11
METH__LGMN,11,1,0.11
TPM__MYOF,11,1,0.11
TPM__CTSL,11,1,0.11
METH__MIR1469,10,0,0.1
TPM__GPX8,10,0,0.1
TPM__S100A16,10,3,0.1
TPM__NR2F2,10,3,0.1
TPM__HVCN1,10,0,0.1
TPM__MPP3,10,1,0.1
METH__SNX7,10,0,0.1
METH__DOK3,10,1,0.1
TPM__ELMO1,10,4,0.1
METH__NR2F2,10,0,0.1
TPM__PLCD3,10,2,0.1
METH__CYR61,10,0,0.1
TPM__ARHGAP25,10,2,0.1
TPM__SDC4,10,0,0.1
METH__MAGI1,10,0,0.1
TPM__CTNNA1,9,1,0.09
METH__PPP1R16B,9,1,0.09
TPM__LAMB1,9,2,0.09
TPM__BAIAP2,9,0,0.09
TPM__PLEC,9,2,0.09
METH__PRIC285,9,0,0.09
TPM__ASAP2,9,0,0.09
TPM__WWC1,9,3,0.09
TPM__CRIM1,9,1,0.09
TPM__PHLDA2,9,0,0.09
METH__PKN1,8,0,0.08
METH__NLRC3,8,0,0.08
TPM__FLI1,8,0,0.08
TPM__PARVG,8,0,0.08
METH__ERRFI1,8,2,0.08
TPM__AGAP1,8,2,0.08
TPM__PRSS23,8,2,0.08
TPM__MANBAL,8,1,0.08
TPM__WWTR1,8,2,0.08
TPM__PTPRF,8,0,0.08
TPM__CEP170B,8,0,0.08
TPM__SH2D3C,8,1,0.08
METH__FAT1,8,1,0.08
TPM__CSK,8,1,0.08
METH__LAMB1,8,1,0.08
TPM__ANXA2,8,3,0.08
TPM__ITGB1,8,0,0.08
METH__PIK3CG,7,0,0.07
METH__TJP1,7,0,0.07
METH__CCDC88B,7,0,0.07
TPM__TUFT1,7,1,0.07
TPM__FAM78A,7,1,0.07
METH__ITGA2,7,0,0.07
METH__CRIM1,7,0,0.07
METH__RAVER1,7,1,0.07
TPM__SLC49A4,7,1,0.07
TPM__CD276,7,1,0.07
TPM__TJP1,7,1,0.07
METH__AMOTL2,7,1,0.07
TPM__THAP10,7,0,0.07
METH__CDC14B,7,1,0.07
TPM__MFNG,7,0,0.07
TPM__CTNND1,6,1,0.06
TPM__SNX7,6,1,0.06
METH__DOK2,6,1,0.06
METH__MAP4K1,6,0,0.06
METH__MET,6,0,0.06
TPM__KDELR3,6,1,0.06
TPM__CD63,6,2,0.06
METH__GULP1,6,0,0.06
TPM__RIN2,6,0,0.06
TPM__BCAR1,6,1,0.06
TPM__LMNA,6,0,0.06
METH__FAM47E,6,0,0.06
TPM__AGAP2,6,1,0.06
TPM__RHOC,6,0,0.06
METH__ZFP112,6,0,0.06
TPM__CD37,6,1,0.06
METH__LOC100188949,6,1,0.06
METH__C10orf35,6,0,0.06
METH__PTPRK,6,0,0.06
TPM__PHLDB1,5,2,0.05
METH__SLC44A2,5,2,0.05
METH__INTU,5,0,0.05
TPM__PVR,5,0,0.05
METH__MIPOL1,5,0,0.05
METH__RAB27B,5,0,0.05
TPM__TMC8,5,1,0.05
TPM__IL2RG,5,1,0.05
TPM__IRAG2,5,2,0.05
TPM__PXN,5,0,0.05
TPM__P2RY8,5,0,0.05
TPM__HCLS1,5,2,0.05
METH__CDC42BPA,5,0,0.05
TPM__TEAD1,5,0,0.05
TPM__DDAH1,5,1,0.05
TPM__EGFR,5,1,0.05
METH__THBS1,5,2,0.05
TPM__AK1,5,0,0.05
METH__C9orf150,5,0,0.05
TPM__SEPTIN10,5,0,0.05
TPM__NCKAP1L,5,0,0.05
METH__OSM,5,2,0.05
METH__SEPT10,4,0,0.04
METH__EIF3K,4,0,0.04
TPM__LAMB2,4,0,0.04
METH__LRRC49,4,0,0.04
METH__TEAD1,4,0,0.04
METH__CADPS2,4,0,0.04
TPM__PTPRC,4,0,0.04
METH__PPIC,4,0,0.04
TPM__CDC42BPB,4,0,0.04
METH__INPP5D,4,1,0.04
TPM__ITGB1P1,4,0,0.04
TPM__PTPRCAP,4,0,0.04
TPM__FKBP9,4,0,0.04
TPM__SEPTIN1,4,0,0.04
TPM__AMOTL2,3,0,0.03
TPM__MIR142HG,3,0,0.03
METH__MYO1G,3,0,0.03
METH__NRP1,3,0,0.03
TPM__ANXA2P2,3,0,0.03
TPM__MZB1,3,0,0.03
METH__NFIB,2,0,0.02
TPM__PIK3CG,2,0,0.02
TPM__NCKAP1,2,0,0.02
METH__EVL,2,0,0.02
METH__SH3BGRL2,2,0,0.02
METH__GPR125,2,0,0.02
TPM__TRAF3IP3,2,0,0.02
TPM__EPHA2,2,0,0.02
METH__EXOC6B,2,0,0.02
TPM__CTTN,2,0,0.02
METH__PTPN7,1,0,0.01
METH__BIN2,1,0,0.01
METH__THAP10,1,0,0.01
METH__DSTN,1,0,0.01
METH__LOC100270746,1,0,0.01
METH__TMEM149,1,0,0.01
TPM__IL16,1,0,0.01
METH__CASZ1,1,0,0.01
TPM__IKZF1,1,0,0.01
TPM__YAP1,1,0,0.01
METH__MIR142,1,0,0.01
TPM__GMFG,1,0,0.01
TPM__ARHGAP15,1,0,0.01
METH__BZRAP1,1,0,0.01
TPM__PTPN7,1,0,0.01
TPM__GPRC5A,1,0,0.01
TPM__SPN,1,0,0.01
METH__APOB48R,1,0,0.01
METH__ANKRD57,0,0,0.0
METH__ADAMTS9,0,0,0.0
TPM__RCSD1,0,0,0.0
METH__GPR39,0,0,0.0
METH__ZNF697,0,0,0.0
METH__SLA2,0,0,0.0
METH__C4orf38,0,0,0.0
TPM__WAS,0,0,0.0
TPM__CD53,0,0,0.0
TPM__MAP4K1,0,0,0.0
METH__WWC2,0,0,0.0
METH__NPAS2,0,0,0.0
METH__COBL,0,0,0.0
TPM__TNFRSF12A,0,0,0.0
METH__GAS2L3,0,0,0.0
