feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
METH__INTU,100,50,1.0,0.15000000596046448,-0.31,0.27,True,1.0,unimodal,0.71,True
METH__TEAD4,100,50,1.0,0.10000000149011612,-0.25,0.24,True,1.0,unimodal,0.71,True
TPM__ARHGAP15,100,50,1.0,0.1899999976158142,-0.28,0.23,True,1.0,unimodal,0.71,True
TPM__P2RY8,100,50,1.0,0.18000000715255737,-0.27,0.23,True,1.0,unimodal,0.71,True
TPM__MIR142HG,100,50,1.0,0.1899999976158142,-0.25,0.25,True,1.0,unimodal,0.71,True
METH__CCDC12,100,50,1.0,0.14000000059604645,-0.27,0.21,True,1.0,unimodal,0.71,True
METH__KRI1,100,50,1.0,0.15000000596046448,0.35,0.23,True,1.0,unimodal,0.71,True
METH__PRIC285,100,50,1.0,0.17000000178813934,0.34,0.23,True,1.0,unimodal,0.71,True
METH__ZNF697,100,50,1.0,0.11999999731779099,-0.24,0.24,True,1.0,unimodal,0.71,True
METH__PTPN14,100,50,1.0,0.11999999731779099,-0.28,0.23,True,1.0,unimodal,0.71,True
METH__TERF1,100,50,1.0,0.11999999731779099,-0.28,0.23,True,1.0,unimodal,0.71,True
METH__TMEM149,100,50,1.0,0.18000000715255737,0.39,0.22,True,1.0,unimodal,0.71,True
METH__TPX2,98,48,0.98,0.09000000357627869,-0.21,0.23,True,1.0,unimodal,0.71,True
METH__RAPH1,94,44,0.94,0.05999999865889549,-0.26,0.26,True,0.181,unimodal,0.71,True
METH__ABCD3,90,40,0.9,0.07999999821186066,-0.19,0.23,False,0.0,worst_case,0.8920259190690294,True
