feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__BCL2L1,100,50,1.0,0.17000000178813934,0.42,0.1,True,1.0
TPM__POLR1H,96,46,0.96,0.17000000178813934,-0.41,0.13,True,0.832
TPM__NPTN,93,43,0.93,0.18000000715255737,0.45,0.17,True,0.053
METH__MGAT1,85,35,0.85,0.1899999976158142,0.38,0.11,False,0.0
TPM__ZBED4,84,34,0.84,0.17000000178813934,-0.41,0.14,False,0.0
TPM__RASAL2-AS1,83,33,0.83,0.1599999964237213,0.42,0.17,False,0.0
TPM__TMEM51,82,32,0.82,0.18000000715255737,0.37,0.19,False,0.0
TPM__LRRC8E,79,29,0.79,0.1599999964237213,0.4,0.16,False,0.0
TPM__NPAS2,75,25,0.75,0.18000000715255737,0.43,0.21,False,0.0
TPM__WFS1,75,25,0.75,0.17000000178813934,0.39,0.12,False,0.0
TPM__CTNNA1,74,24,0.74,0.1599999964237213,0.44,0.18,False,0.0
TPM__EVA1A,74,24,0.74,0.17000000178813934,0.44,0.2,False,0.0
METH__PER3,73,23,0.73,0.17000000178813934,-0.35,0.16,False,0.0
TPM__BMS1P23,72,22,0.72,0.18000000715255737,0.43,0.15,False,0.0
TPM__NTN4,68,19,0.68,0.17000000178813934,0.45,0.17,False,0.0
TPM__PSAP,67,17,0.67,0.1599999964237213,0.41,0.11,False,0.0
METH__TCF3,65,16,0.65,0.18000000715255737,0.42,0.25,False,0.0
TPM__KDM2B,64,14,0.64,0.20999999344348907,-0.44,0.16,False,0.0
TPM__ZNF589,63,13,0.63,0.1599999964237213,-0.4,0.11,False,0.0
TPM__PDCD6IP-DT,62,12,0.62,0.17000000178813934,0.44,0.15,False,0.0
TPM__GRK2,61,12,0.61,0.17000000178813934,-0.37,0.19,False,0.0
METH__PTPN14,61,14,0.61,0.17000000178813934,-0.41,0.26,False,0.0
TPM__CCDC9B,60,11,0.6,0.20999999344348907,0.47,0.15,False,0.0
METH__CEBPE,59,11,0.59,0.17000000178813934,0.38,0.13,False,0.0
TPM__EPS8,59,10,0.59,0.20999999344348907,0.44,0.16,False,0.0
TPM__SHB,59,10,0.59,0.1599999964237213,0.37,0.17,False,0.0
METH__RASSF1,58,11,0.58,0.1899999976158142,0.4,0.19,False,0.0
METH__HCG22,57,10,0.57,0.17000000178813934,0.42,0.14,False,0.0
TPM__GPAT3,56,10,0.56,0.17000000178813934,0.43,0.1,False,0.0
METH__TLCD2,56,8,0.56,0.1599999964237213,-0.39,0.13,False,0.013
METH__IBTK,55,10,0.55,0.1599999964237213,-0.35,0.14,False,0.0
METH__KRI1,54,6,0.54,0.23000000417232513,0.45,0.26,True,0.181
TPM__TAF5,54,7,0.54,0.1599999964237213,-0.4,0.06,True,0.053
TPM__THSD4,53,7,0.53,0.18000000715255737,0.45,0.21,True,0.053
METH__TSPAN12,53,7,0.53,0.17000000178813934,-0.36,0.12,True,0.053
