feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__TM4SF1,100,50,1.0,0.23000000417232513,0.47,0.21,True,1.0
TPM__ANKLE1,100,50,1.0,0.2199999988079071,-0.44,0.23,True,1.0
TPM__RASAL2,100,50,1.0,0.20999999344348907,0.42,0.22,True,1.0
TPM__PRSS23,100,50,1.0,0.25,0.5,0.25,True,1.0
TPM__AHNAK2,100,50,1.0,0.20999999344348907,0.47,0.22,True,1.0
TPM__SGMS2,100,50,1.0,0.2199999988079071,0.47,0.22,True,1.0
TPM__BCAR1,100,50,1.0,0.25999999046325684,0.46,0.22,True,1.0
TPM__LMNA,100,50,1.0,0.25999999046325684,0.5,0.25,True,1.0
TPM__KRT18,100,50,1.0,0.25,0.49,0.22,True,1.0
TPM__ARHGAP9,100,50,1.0,0.25,-0.43,0.23,True,1.0
TPM__PPIC,100,50,1.0,0.25999999046325684,0.47,0.22,True,1.0
TPM__CTTN,100,50,1.0,0.23000000417232513,0.43,0.25,True,1.0
TPM__BAIAP2,100,50,1.0,0.2199999988079071,0.43,0.23,True,1.0
METH__BZRAP1,100,50,1.0,0.25,0.43,0.25,True,1.0
TPM__PSORS1C1,100,50,1.0,0.1599999964237213,0.47,0.22,True,1.0
TPM__TNFRSF12A,100,50,1.0,0.28999999165534973,0.53,0.29,True,1.0
TPM__NHSL3,100,50,1.0,0.20000000298023224,0.41,0.21,True,1.0
TPM__MIR142HG,100,50,1.0,0.25999999046325684,-0.32,0.27,True,1.0
TPM__RHOH,100,50,1.0,0.20000000298023224,-0.39,0.29,True,1.0
TPM__MET,100,50,1.0,0.27000001072883606,0.51,0.24,True,1.0
TPM__NCKAP1L,100,50,1.0,0.23999999463558197,-0.38,0.28,True,1.0
TPM__GPRC5A,100,50,1.0,0.23000000417232513,0.49,0.21,True,1.0
TPM__SDC4,100,50,1.0,0.28999999165534973,0.53,0.27,True,1.0
TPM__GPR39,100,50,1.0,0.20000000298023224,0.48,0.21,True,1.0
TPM__ITGA3,100,50,1.0,0.28999999165534973,0.53,0.27,True,1.0
TPM__GMFG,100,50,1.0,0.2199999988079071,-0.28,0.24,True,1.0
TPM__NPAS2,100,50,1.0,0.18000000715255737,0.43,0.21,True,1.0
TPM__ARHGAP29,99,49,0.99,0.20999999344348907,0.48,0.23,True,1.0
METH__PKN1,99,49,0.99,0.20999999344348907,0.37,0.24,True,1.0
TPM__IRAG2,99,49,0.99,0.2199999988079071,-0.35,0.24,True,1.0
TPM__KRT80,99,49,0.99,0.20999999344348907,0.49,0.22,True,1.0
METH__ANKRD44,99,49,0.99,0.20000000298023224,0.41,0.21,True,1.0
TPM__MYOF,99,49,0.99,0.25,0.48,0.21,True,1.0
TPM__DNAH5,98,48,0.98,0.11999999731779099,0.42,0.23,True,1.0
TPM__IKZF1,98,48,0.98,0.25999999046325684,-0.37,0.25,True,1.0
TPM__WAS,98,48,0.98,0.2800000011920929,-0.43,0.24,True,1.0
TPM__CD53,98,48,0.98,0.23999999463558197,-0.32,0.25,True,1.0
TPM__LINC01843,98,48,0.98,0.09000000357627869,0.42,0.21,True,1.0
TPM__TRAF3IP3,98,48,0.98,0.2199999988079071,-0.42,0.21,True,1.0
TPM__ARHGAP30,97,47,0.97,0.20999999344348907,-0.3,0.22,True,0.992
TPM__MANCR,97,47,0.97,0.09000000357627869,0.44,0.24,True,0.992
TPM__ARSJ,97,47,0.97,0.17000000178813934,0.45,0.24,True,0.992
TPM__PIK3CG,97,47,0.97,0.20999999344348907,-0.26,0.22,True,0.992
TPM__GIPC1,97,47,0.97,0.2199999988079071,0.48,0.23,True,0.992
METH__MAP4K1,96,46,0.96,0.25,0.44,0.26,True,0.832
METH__PTPRCAP,96,46,0.96,0.18000000715255737,0.43,0.23,True,0.832
TPM__MAP4K1,96,46,0.96,0.2199999988079071,-0.39,0.23,True,0.832
TPM__PDK4,96,46,0.96,0.029999999329447746,0.33,0.22,True,0.832
TPM__PDE1B,95,45,0.95,0.20000000298023224,-0.4,0.23,True,0.458
TPM__EPHA2-AS1,94,44,0.94,0.15000000596046448,0.45,0.23,True,0.181
TPM__LRRC49,94,44,0.94,0.05999999865889549,0.22,0.24,True,0.181
METH__TJP1,94,44,0.94,0.27000001072883606,-0.47,0.25,True,0.181
METH__TCF3,93,43,0.93,0.18000000715255737,0.42,0.25,True,0.053
TPM__TMEM171,93,43,0.93,0.10999999940395355,0.41,0.23,True,0.053
METH__JUB,91,41,0.91,0.23999999463558197,-0.46,0.22,False,0.002
METH__KRI1,91,41,0.91,0.23000000417232513,0.45,0.26,False,0.002
METH__SNORD125,90,40,0.9,0.10999999940395355,0.34,0.23,False,0.0
METH__C9orf150,89,39,0.89,0.1899999976158142,-0.32,0.23,False,0.0
TPM__SLC44A3-AS1,88,38,0.88,0.09000000357627869,0.35,0.22,False,0.0
METH__MYO1G,88,38,0.88,0.20000000298023224,0.33,0.21,False,0.0
METH__LOC100130776,87,37,0.87,0.23000000417232513,-0.37,0.22,False,0.0
TPM__PTPN21,86,36,0.86,0.1599999964237213,0.37,0.23,False,0.0
METH__EIF3K,84,35,0.84,0.23999999463558197,0.43,0.23,False,0.0
METH__CCM2,84,34,0.84,0.25,0.42,0.22,False,0.0
METH__GPX8,83,34,0.83,0.10999999940395355,-0.33,0.23,False,0.0
METH__CD22,82,33,0.82,0.1599999964237213,0.39,0.21,False,0.0
METH__TMEM51,82,32,0.82,0.14000000059604645,-0.23,0.23,False,0.0
METH__FCHO1,80,31,0.8,0.14000000059604645,0.31,0.22,False,0.0
METH__BIN2,80,31,0.8,0.2199999988079071,0.38,0.23,False,0.0
TPM__CDC42EP1,80,31,0.8,0.17000000178813934,0.38,0.22,False,0.0
METH__PTPN14,77,29,0.77,0.17000000178813934,-0.41,0.26,False,0.0
METH__EXOC6B,71,24,0.71,0.17000000178813934,-0.28,0.24,False,0.0
METH__HS6ST3,69,22,0.69,0.10999999940395355,-0.13,0.21,False,0.0
METH__DSTN,66,18,0.66,0.20999999344348907,-0.39,0.32,False,0.0
METH__ACTN1,64,19,0.64,0.14000000059604645,-0.31,0.22,False,0.0
TPM__LINC00702,63,19,0.63,0.05000000074505806,0.34,0.21,False,0.0
METH__INTU,62,16,0.62,0.20000000298023224,-0.37,0.22,False,0.0
METH__FAM47E,59,11,0.59,0.1599999964237213,-0.31,0.24,False,0.0
METH__GHRLOS,58,17,0.58,0.14000000059604645,0.37,0.23,False,0.0
METH__NUDT16,57,13,0.57,0.11999999731779099,-0.34,0.22,False,0.0
METH__ABHD10,55,12,0.55,0.20999999344348907,-0.41,0.25,False,0.0
METH__SIX4,53,14,0.53,0.11999999731779099,-0.3,0.22,False,0.0
METH__CCDC12,52,12,0.52,0.20000000298023224,-0.37,0.23,False,0.0
METH__CDKN2D,52,14,0.52,0.1899999976158142,0.4,0.23,False,0.0
METH__SLITRK6,50,12,0.5,0.14000000059604645,-0.28,0.2,False,0.0
METH__AP1B1,49,7,0.49,0.11999999731779099,0.34,0.24,True,0.053
TPM__ACP7,48,11,0.48,0.05000000074505806,0.34,0.21,False,0.0
METH__DAPK3,45,8,0.45,0.0,-0.05,0.21,False,0.013
METH__TERF1,42,6,0.42,0.1899999976158142,-0.39,0.27,True,0.181
METH__LRIG3,41,7,0.41,0.20000000298023224,-0.36,0.25,True,0.053
METH__CTSZ,40,7,0.4,0.12999999523162842,0.2,0.22,True,0.053
METH__MRPS17,39,3,0.39,0.0,-0.09,0.23,True,0.992
METH__FAM46A,39,4,0.39,0.14000000059604645,-0.22,0.23,True,0.832
METH__NPAS2,36,6,0.36,0.20000000298023224,-0.4,0.24,True,0.181
METH__TCEANC,35,6,0.35,0.07000000029802322,-0.36,0.25,True,0.181
METH__HNRNPC,34,5,0.34,0.10000000149011612,0.27,0.21,True,0.458
METH__RASAL2,32,4,0.32,0.1899999976158142,-0.4,0.21,True,0.832
METH__PTPN21,30,3,0.3,0.10999999940395355,-0.2,0.22,True,0.992
CNV__DROSHA,29,4,0.29,0.05000000074505806,0.26,0.23,True,0.832
METH__IFIH1,29,3,0.29,0.03999999910593033,-0.23,0.22,True,0.992
METH__ATG4D,27,1,0.27,0.019999999552965164,0.12,0.22,True,1.0
METH__ATAD3B,26,0,0.26,0.009999999776482582,-0.06,0.22,False,
METH__GSPT1,26,2,0.26,0.15000000596046448,-0.37,0.22,True,1.0
METH__PPIC,24,2,0.24,0.18000000715255737,-0.37,0.26,True,1.0
METH__LNPEP,24,0,0.24,0.11999999731779099,0.29,0.22,False,
METH__THOC6,24,2,0.24,0.14000000059604645,-0.35,0.23,True,1.0
METH__ROR1,23,0,0.23,0.11999999731779099,-0.16,0.23,False,
METH__DHX57,23,2,0.23,0.09000000357627869,-0.21,0.22,True,1.0
METH__RPIA,22,0,0.22,0.09000000357627869,-0.21,0.24,False,
METH__GPX4,22,0,0.22,0.09000000357627869,-0.35,0.22,False,
METH__IQCB1,22,2,0.22,0.07999999821186066,0.27,0.21,True,1.0
METH__RAD54B,22,0,0.22,0.10999999940395355,-0.24,0.23,False,
METH__FZD8,22,2,0.22,0.11999999731779099,-0.21,0.2,True,1.0
METH__CROT,21,2,0.21,0.009999999776482582,-0.31,0.24,True,1.0
CNV__ASPSCR1,20,2,0.2,0.03999999910593033,0.22,0.22,True,1.0
METH__KATNA1,20,1,0.2,0.0,-0.02,0.21,True,1.0
METH__SPAG9,20,0,0.2,0.12999999523162842,-0.36,0.25,False,
METH__FRMD5,19,2,0.19,0.10999999940395355,-0.19,0.21,True,1.0
METH__SNX3,19,1,0.19,0.10000000149011612,-0.27,0.23,True,1.0
METH__FMNL2,18,0,0.18,0.07000000029802322,-0.3,0.29,False,
METH__C1orf212,18,2,0.18,0.10000000149011612,-0.28,0.22,True,1.0
CNV__PIK3R1,18,1,0.18,0.029999999329447746,0.21,0.21,True,1.0
METH__PEX11A,17,0,0.17,0.14000000059604645,-0.27,0.21,False,
METH__NR4A3,16,1,0.16,0.10999999940395355,0.28,0.23,True,1.0
METH__SAMD5,16,0,0.16,0.12999999523162842,-0.24,0.22,False,
METH__TRIM3,16,0,0.16,0.11999999731779099,-0.31,0.22,False,
METH__PSMB6,14,1,0.14,0.019999999552965164,-0.1,0.21,True,1.0
