feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__BCL2L1,100,50,1.0,0.18000000715255737,0.42,0.14,True,1.0
TPM__KRT8P10,95,45,0.95,0.15000000596046448,0.41,0.12,True,0.458
TPM__RSL24D1,93,43,0.93,0.17000000178813934,-0.44,0.14,True,0.053
TPM__ABHD12,88,38,0.88,0.14000000059604645,0.4,0.05,False,0.0
TPM__CARD10,87,37,0.87,0.15000000596046448,0.4,0.16,False,0.0
TPM__SH3BP4,86,36,0.86,0.15000000596046448,0.38,0.15,False,0.0
METH__S100A1,86,36,0.86,0.12999999523162842,-0.35,0.09,False,0.0
TPM__RPL11,85,35,0.85,0.18000000715255737,-0.44,0.09,False,0.0
TPM__LCMT1-AS1,82,32,0.82,0.14000000059604645,-0.38,0.08,False,0.0
TPM__APLP2,81,31,0.81,0.1899999976158142,0.43,0.11,False,0.0
METH__C7orf23,77,28,0.77,0.14000000059604645,-0.39,0.11,False,0.0
TPM__CSK,77,27,0.77,0.15000000596046448,-0.43,0.14,False,0.0
TPM__FOLR1,77,27,0.77,0.1599999964237213,0.46,0.14,False,0.0
TPM__HDAC11,76,26,0.76,0.1899999976158142,0.44,0.16,False,0.0
TPM__CRLF3,74,24,0.74,0.15000000596046448,-0.41,0.09,False,0.0
TPM__C11orf52,74,24,0.74,0.1899999976158142,0.44,0.18,False,0.0
METH__MGAT1,71,21,0.71,0.17000000178813934,0.4,0.16,False,0.0
TPM__ZCCHC3,69,19,0.69,0.12999999523162842,-0.39,0.14,False,0.0
TPM__SH3TC2,68,18,0.68,0.14000000059604645,0.44,0.12,False,0.0
TPM__LINC01843,67,17,0.67,0.12999999523162842,0.43,0.13,False,0.0
TPM__SVIL,67,17,0.67,0.12999999523162842,0.38,0.12,False,0.0
TPM__SPATS2L,67,18,0.67,0.1599999964237213,0.43,0.12,False,0.0
TPM__WFS1,64,16,0.64,0.17000000178813934,0.42,0.1,False,0.0
TPM__ARHGAP19,63,13,0.63,0.18000000715255737,-0.45,0.12,False,0.0
TPM__PCDH1,62,12,0.62,0.1899999976158142,0.48,0.23,False,0.0
TPM__SLC2A1,62,12,0.62,0.15000000596046448,0.39,0.11,False,0.0
TPM__GIPC1,62,16,0.62,0.17000000178813934,0.45,0.16,False,0.0
TPM__STYK1,62,14,0.62,0.14000000059604645,0.39,0.14,False,0.0
TPM__KIF21B,62,12,0.62,0.15000000596046448,-0.38,0.15,False,0.0
TPM__IL12RB1,62,14,0.62,0.1599999964237213,-0.29,0.19,False,0.0
