feature,Selection count,Pair count,CPSS Score
TPM__BCL2L1,100,50,1.0
TPM__KRT8P10,95,45,0.95
TPM__RSL24D1,93,43,0.93
TPM__ABHD12,88,38,0.88
TPM__CARD10,87,37,0.87
TPM__SH3BP4,86,36,0.86
METH__S100A1,86,36,0.86
TPM__RPL11,85,35,0.85
TPM__LCMT1-AS1,82,32,0.82
TPM__APLP2,81,31,0.81
METH__C7orf23,77,28,0.77
TPM__CSK,77,27,0.77
TPM__FOLR1,77,27,0.77
TPM__HDAC11,76,26,0.76
TPM__C11orf52,74,24,0.74
TPM__CRLF3,74,24,0.74
METH__MGAT1,71,21,0.71
TPM__ZCCHC3,69,19,0.69
TPM__SH3TC2,68,18,0.68
TPM__LINC01843,67,17,0.67
TPM__SVIL,67,17,0.67
TPM__SPATS2L,67,18,0.67
TPM__WFS1,64,16,0.64
TPM__ARHGAP19,63,13,0.63
TPM__STYK1,62,14,0.62
TPM__IL12RB1,62,14,0.62
TPM__KIF21B,62,12,0.62
TPM__GIPC1,62,16,0.62
TPM__SLC2A1,62,12,0.62
TPM__PCDH1,62,12,0.62
TPM__KDM2B,61,11,0.61
TPM__ELOVL7,61,11,0.61
TPM__ARHGAP29,59,9,0.59
TPM__TINAGL1,59,11,0.59
TPM__EMP2,59,10,0.59
TPM__FTH1P2,58,12,0.58
TPM__AGRN,56,8,0.56
TPM__RPL18A,56,10,0.56
TPM__PKP3,54,6,0.54
TPM__CTTN,51,6,0.51
TPM__LINC01836,51,6,0.51
METH__GCET2,51,9,0.51
METH__LOC283404,51,8,0.51
TPM__MYB,50,6,0.5
TPM__PLEKHA6,50,2,0.5
TPM__NPTN,50,6,0.5
TPM__CETN2,49,5,0.49
TPM__ME2,48,3,0.48
TPM__MID1,48,4,0.48
TPM__BCAM,47,3,0.47
TPM__TSPAN1,47,3,0.47
METH__ABHD10,46,4,0.46
TPM__AOPEP,45,6,0.45
TPM__ARHGEF5,44,1,0.44
TPM__MRPS18AP1,44,2,0.44
TPM__FTH1P10,43,6,0.43
METH__JUB,43,1,0.43
TPM__RGL3,43,4,0.43
TPM__SH2D3C,42,2,0.42
TPM__PSORS1C1,42,2,0.42
TPM__BCAR3,41,0,0.41
METH__CCM2,40,1,0.4
TPM__GPR39,40,1,0.4
TPM__ITPRIPL2,40,2,0.4
METH__FERMT3,40,2,0.4
TPM__TSKU,40,2,0.4
TPM__GPRC5A,39,1,0.39
TPM__ASAP2,39,0,0.39
TPM__TMEM54,39,0,0.39
