feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__EPS8L2,100,50,1.0,0.17000000178813934,0.42,0.19,True,1.0
TPM__TPM1,100,50,1.0,0.15000000596046448,0.4,0.19,True,1.0
TPM__BAIAP2,100,50,1.0,0.18000000715255737,0.42,0.19,True,1.0
TPM__NECTIN2,100,50,1.0,0.1599999964237213,0.4,0.18,True,1.0
TPM__FCHO2,100,50,1.0,0.15000000596046448,0.37,0.22,True,1.0
TPM__C11orf52,100,50,1.0,0.1899999976158142,0.44,0.18,True,1.0
TPM__ADAM9,100,50,1.0,0.1599999964237213,0.42,0.22,True,1.0
TPM__PCDH1,100,50,1.0,0.1899999976158142,0.48,0.23,True,1.0
TPM__PPIC,100,50,1.0,0.2199999988079071,0.46,0.21,True,1.0
TPM__SH3D19,100,50,1.0,0.18000000715255737,0.4,0.2,True,1.0
TPM__GPR39,100,50,1.0,0.18000000715255737,0.45,0.2,True,1.0
TPM__TM4SF1,100,50,1.0,0.17000000178813934,0.44,0.2,True,1.0
TPM__WWC1,100,50,1.0,0.1899999976158142,0.45,0.17,True,1.0
TPM__LMNA,100,50,1.0,0.18000000715255737,0.47,0.22,True,1.0
TPM__TJP1,100,50,1.0,0.1899999976158142,0.38,0.19,True,1.0
TPM__KRT8P45,100,50,1.0,0.1599999964237213,0.44,0.19,True,1.0
TPM__CD151,100,50,1.0,0.18000000715255737,0.46,0.2,True,1.0
TPM__S100A13,100,50,1.0,0.20000000298023224,0.45,0.2,True,1.0
TPM__DAG1,100,50,1.0,0.1899999976158142,0.44,0.18,True,1.0
TPM__AOPEP,100,50,1.0,0.15000000596046448,0.4,0.19,True,1.0
TPM__KRT18,100,50,1.0,0.2199999988079071,0.48,0.18,True,1.0
TPM__ANKRD1,99,49,0.99,0.10999999940395355,0.44,0.21,True,1.0
TPM__GNG12,99,49,0.99,0.1599999964237213,0.39,0.18,True,1.0
TPM__RHOH,99,49,0.99,0.1599999964237213,-0.35,0.2,True,1.0
TPM__PPL,99,49,0.99,0.1899999976158142,0.46,0.18,True,1.0
TPM__KRT8,99,49,0.99,0.2199999988079071,0.48,0.18,True,1.0
TPM__EDN1,99,49,0.99,0.14000000059604645,0.45,0.24,True,1.0
TPM__PRSS23,98,48,0.98,0.18000000715255737,0.47,0.19,True,1.0
TPM__CDCP1,98,48,0.98,0.15000000596046448,0.43,0.18,True,1.0
TPM__PXDC1,98,48,0.98,0.15000000596046448,0.39,0.2,True,1.0
TPM__TUFT1,98,48,0.98,0.20000000298023224,0.45,0.19,True,1.0
METH__LAMB2,97,47,0.97,0.12999999523162842,-0.17,0.19,True,0.992
TPM__LTBR,97,47,0.97,0.18000000715255737,0.42,0.19,True,0.992
TPM__MET,96,46,0.96,0.18000000715255737,0.44,0.18,True,0.832
TPM__DSTN,96,46,0.96,0.15000000596046448,0.42,0.17,True,0.832
TPM__BAG3,96,46,0.96,0.10000000149011612,0.33,0.18,True,0.832
METH__MIR142,96,46,0.96,0.17000000178813934,0.35,0.19,True,0.832
TPM__PTPN7,95,45,0.95,0.18000000715255737,-0.3,0.18,True,0.458
TPM__RIN2,95,46,0.95,0.15000000596046448,0.39,0.19,True,0.832
TPM__FAM78A,95,45,0.95,0.1899999976158142,-0.44,0.21,True,0.458
TPM__CDH1,95,45,0.95,0.11999999731779099,0.36,0.18,True,0.458
TPM__TMC8,95,45,0.95,0.07999999821186066,-0.19,0.17,True,0.458
TPM__IL12RB1,94,44,0.94,0.1599999964237213,-0.29,0.19,True,0.181
TPM__ACAP1,94,44,0.94,0.14000000059604645,-0.31,0.18,True,0.181
TPM__IRAG2,93,43,0.93,0.15000000596046448,-0.28,0.2,True,0.053
TPM__TRAF3IP3,93,43,0.93,0.17000000178813934,-0.38,0.18,True,0.053
TPM__DSP,93,43,0.93,0.14000000059604645,0.39,0.18,True,0.053
TPM__RN7SL689P,91,41,0.91,0.11999999731779099,0.4,0.18,False,0.002
METH__TJP1,90,40,0.9,0.20999999344348907,-0.47,0.2,False,0.0
TPM__FTLP14,87,38,0.87,0.09000000357627869,0.37,0.18,False,0.0
TPM__MIR142HG,87,37,0.87,0.1899999976158142,-0.28,0.23,False,0.0
TPM__FHIP1A,86,36,0.86,0.10999999940395355,0.39,0.18,False,0.0
TPM__ARHGAP15,85,35,0.85,0.1899999976158142,-0.34,0.21,False,0.0
TPM__CD53,85,37,0.85,0.18000000715255737,-0.31,0.18,False,0.0
METH__CCM2,85,35,0.85,0.20000000298023224,0.4,0.19,False,0.0
TPM__P4HA2,85,35,0.85,0.12999999523162842,0.37,0.18,False,0.0
TPM__PDE1B,82,34,0.82,0.15000000596046448,-0.36,0.17,False,0.0
TPM__ARPIN-AP3S2,80,33,0.8,0.10999999940395355,0.33,0.18,False,0.0
TPM__CTNND1,79,32,0.79,0.17000000178813934,0.41,0.17,False,0.0
TPM__CTBP2,78,30,0.78,0.11999999731779099,0.28,0.17,False,0.0
TPM__ZNF483,77,31,0.77,0.009999999776482582,0.18,0.22,False,0.0
TPM__PIK3CG,74,26,0.74,0.1599999964237213,-0.28,0.2,False,0.0
TPM__IKZF1,73,27,0.73,0.18000000715255737,-0.32,0.23,False,0.0
METH__CDC42EP1,73,26,0.73,0.07999999821186066,-0.28,0.17,False,0.0
METH__MAP4K1,70,24,0.7,0.1599999964237213,0.37,0.16,False,0.0
TPM__ALOX5AP,66,23,0.66,0.11999999731779099,-0.24,0.18,False,0.0
TPM__PRKCB,63,19,0.63,0.12999999523162842,-0.28,0.21,False,0.0
TPM__BEND4,56,13,0.56,0.09000000357627869,-0.25,0.18,False,0.0
CNV__NXF1,55,12,0.55,0.05999999865889549,0.3,0.19,False,0.0
METH__PRIC285,54,15,0.54,0.1599999964237213,0.41,0.21,False,0.0
METH__CASZ1,54,10,0.54,0.14000000059604645,-0.32,0.18,False,0.0
METH__KRI1,52,8,0.52,0.1599999964237213,0.41,0.17,False,0.013
METH__PPIC,51,9,0.51,0.14000000059604645,-0.4,0.2,False,0.002
METH__RHOH,43,9,0.43,0.15000000596046448,0.32,0.19,False,0.002
CNV__SDHAF2,42,5,0.42,0.07000000029802322,0.31,0.18,True,0.458
CNV__DROSHA,39,2,0.39,0.07000000029802322,0.3,0.21,True,1.0
CNV__NUMA1,39,4,0.39,0.03999999910593033,0.31,0.2,True,0.832
CNV__CDH10,38,5,0.38,0.07000000029802322,0.32,0.19,True,0.458
CNV__CDK12,37,3,0.37,0.009999999776482582,0.27,0.18,True,0.992
CNV__AJUBA,36,4,0.36,0.05000000074505806,0.27,0.2,True,0.832
CNV__HOXA9,32,4,0.32,0.05999999865889549,0.29,0.18,True,0.832
TPM__CYCSP6,32,6,0.32,0.009999999776482582,0.15,0.17,True,0.181
METH__RUNDC2A,32,2,0.32,0.03999999910593033,-0.2,0.19,True,1.0
METH__GPR39,31,5,0.31,0.14000000059604645,-0.33,0.2,True,0.458
TPM__ATP5F1EP2,30,1,0.3,0.019999999552965164,0.16,0.18,True,1.0
CNV__ERBB2,28,3,0.28,0.0,0.28,0.21,True,0.992
METH__DSTN,27,1,0.27,0.15000000596046448,-0.34,0.19,True,1.0
CNV__IKZF3,26,2,0.26,0.0,0.28,0.2,True,1.0
CNV__HOXA11,25,2,0.25,0.05999999865889549,0.29,0.18,True,1.0
CNV__HIF1A,25,0,0.25,0.05999999865889549,0.29,0.19,False,
CNV__FGFR1,24,2,0.24,0.009999999776482582,0.07,0.18,True,1.0
CNV__ARHGAP5,23,2,0.23,0.029999999329447746,0.29,0.17,True,1.0
CNV__FOXA1,21,1,0.21,0.019999999552965164,0.29,0.18,True,1.0
CNV__SPOP,21,2,0.21,0.05000000074505806,0.26,0.17,True,1.0
CNV__HSP90AA1,21,1,0.21,0.03999999910593033,0.26,0.18,True,1.0
CNV__SIX1,20,0,0.2,0.07000000029802322,0.3,0.19,False,
CNV__APOBEC3B,20,1,0.2,0.0,0.03,0.19,True,1.0
MUT__KRAS,19,0,0.19,0.019999999552965164,0.13,0.24,False,
CNV__NT5C3A,19,1,0.19,0.05999999865889549,0.29,0.2,True,1.0
METH__MIPOL1,17,2,0.17,0.14000000059604645,-0.35,0.17,True,1.0
CNV__KTN1,16,0,0.16,0.05999999865889549,0.29,0.2,False,
CNV__FBLN1,16,0,0.16,0.009999999776482582,0.12,0.18,False,
METH__CCDC124,16,1,0.16,0.029999999329447746,-0.17,0.18,True,1.0
CNV__ERCC1,15,0,0.15,0.05000000074505806,0.24,0.19,False,
CNV__PALB2,15,0,0.15,0.05000000074505806,0.24,0.17,False,
CNV__PRKD2,15,0,0.15,0.05000000074505806,0.24,0.2,False,
CNV__FANCG,15,0,0.15,0.009999999776482582,0.14,0.18,False,
CNV__MYH9,14,0,0.14,0.009999999776482582,0.09,0.18,False,
CNV__CD79B,14,1,0.14,0.05000000074505806,0.25,0.18,True,1.0
CNV__CIC,14,1,0.14,0.05000000074505806,0.25,0.19,True,1.0
METH__ITGB8,13,0,0.13,0.09000000357627869,-0.32,0.2,False,
CNV__PBX1,13,0,0.13,0.029999999329447746,0.19,0.18,False,
CNV__MRTFA,13,0,0.13,0.009999999776482582,0.1,0.2,False,
CNV__FLT3,12,0,0.12,0.009999999776482582,0.17,0.19,False,
CNV__EP300,12,0,0.12,0.009999999776482582,0.1,0.19,False,
CNV__CD79A,12,0,0.12,0.05000000074505806,0.24,0.19,False,
METH__ZNF697,12,0,0.12,0.10999999940395355,-0.25,0.23,False,
CNV__PDGFB,12,0,0.12,0.009999999776482582,0.1,0.2,False,
CNV__CCND1,12,1,0.12,0.009999999776482582,0.28,0.19,True,1.0
CNV__ERCC2,12,0,0.12,0.05000000074505806,0.24,0.19,False,
CNV__POU2F2,12,0,0.12,0.05000000074505806,0.24,0.19,False,
CNV__PRKAR1A,12,0,0.12,0.05999999865889549,0.25,0.2,False,
CNV__CDX2,11,0,0.11,0.0,0.17,0.19,False,
CNV__MSI2,11,0,0.11,0.05000000074505806,0.24,0.19,False,
