feature,Selection count,Pair count,CPSS Score
TPM__BCL2L1,100,50,1.0
METH__RWDD3,97,47,0.97
METH__MIR150,95,45,0.95
TPM__EVA1A,93,43,0.93
TPM__GMIP,92,42,0.92
TPM__KDM2B,91,41,0.91
TPM__APLP2,90,40,0.9
TPM__RSL24D1,88,38,0.88
METH__MGAT1,84,34,0.84
TPM__TRNP1,83,33,0.83
METH__NXNL2,81,31,0.81
TPM__LMCD1,80,30,0.8
TPM__ABHD12,80,30,0.8
TPM__WFS1,80,30,0.8
METH__TBC1D10C,79,29,0.79
TPM__PSAP,78,28,0.78
TPM__SH3BP4,77,27,0.77
TPM__DNAJC22,77,27,0.77
TPM__LGALS3,75,25,0.75
TPM__VHL,75,25,0.75
TPM__ME2,71,21,0.71
TPM__FERMT3,71,22,0.71
TPM__GPR39,70,20,0.7
TPM__CBFA2T3,65,17,0.65
TPM__IL21R,64,16,0.64
TPM__CHMP3,64,15,0.64
TPM__FTH1P2,64,16,0.64
TPM__SLC38A5,63,13,0.63
TPM__TMEM51,62,13,0.62
TPM__C11orf52,59,10,0.59
TPM__TMEM54,58,10,0.58
METH__GPR39,58,10,0.58
TPM__PPP1R16B,58,8,0.58
TPM__RIOK1,58,11,0.58
METH__RGS12,58,10,0.58
TPM__KIF21B,58,9,0.58
TPM__ANXA2,58,13,0.58
TPM__SDSL,56,9,0.56
METH__YOD1,55,10,0.55
TPM__NTN4,54,6,0.54
TPM__NPTN,54,4,0.54
TPM__PARVA,54,6,0.54
TPM__LAMB1,53,6,0.53
METH__CLEC2D,52,4,0.52
TPM__BTC,52,5,0.52
TPM__CRLF3,52,3,0.52
METH__GCET2,52,4,0.52
TPM__RPL18A,51,6,0.51
TPM__RPL10A,51,7,0.51
TPM__TBC1D10C,51,4,0.51
METH__GULP1,51,4,0.51
TPM__TNFRSF13C,50,3,0.5
METH__LACTB2,50,4,0.5
TPM__TRABD,50,4,0.5
TPM__KRT8P45,49,3,0.49
TPM__ARHGAP29,49,4,0.49
TPM__CARD10,48,1,0.48
TPM__PCDH1,48,5,0.48
METH__PXN,47,3,0.47
METH__FAM113B,47,5,0.47
TPM__ELMO1,47,6,0.47
TPM__BCL11A,46,3,0.46
TPM__TMEM139,45,4,0.45
METH__RPS6KA1,45,4,0.45
TPM__PSTPIP1,45,5,0.45
TPM__FCHO2,44,2,0.44
METH__MGC29506,43,0,0.43
TPM__SPATS2L,43,3,0.43
TPM__AGRN,42,3,0.42
TPM__ITGB5,42,3,0.42
METH__LOC283404,42,3,0.42
TPM__GTPBP1,41,2,0.41
TPM__CCDC69,41,1,0.41
TPM__MRPS18AP1,41,2,0.41
METH__EIF3K,41,3,0.41
METH__TCF3,40,2,0.4
TPM__PLS3,39,0,0.39
METH__STAT5A,39,2,0.39
METH__JUB,38,3,0.38
TPM__AMOTL2,38,0,0.38
TPM__CTSD,37,0,0.37
TPM__SS18L2,37,0,0.37
TPM__RPL36,37,2,0.37
TPM__ANKRD1,37,2,0.37
TPM__NIBAN2,36,1,0.36
TPM__ARSD,35,1,0.35
TPM__AKNA,35,0,0.35
METH__C17orf87,35,1,0.35
TPM__ATP8B1-AS1,35,3,0.35
METH__SSH3,34,2,0.34
TPM__MLPH,34,1,0.34
TPM__ANXA2P2,34,1,0.34
TPM__TIFA,34,0,0.34
METH__TMEM150B,34,0,0.34
METH__DOK3,33,0,0.33
TPM__KRT80,32,1,0.32
METH__AADAT,32,0,0.32
TPM__POLR1H,32,0,0.32
TPM__CETN2,32,2,0.32
TPM__RPS6,32,0,0.32
TPM__ASAP2,32,0,0.32
TPM__ADAT2,32,1,0.32
TPM__RNF138,32,1,0.32
METH__TLR9,32,2,0.32
TPM__GPC1,31,0,0.31
TPM__EAF2,31,1,0.31
TPM__EEF2,31,0,0.31
TPM__HDAC11,30,1,0.3
TPM__AGAP2,30,0,0.3
TPM__CTSL,29,0,0.29
TPM__CORO1A-AS1,29,0,0.29
METH__AGXT2L2,29,0,0.29
TPM__PTTG1IP,28,2,0.28
TPM__IQCB1,28,3,0.28
TPM__CSK,28,0,0.28
METH__VAV1,28,1,0.28
TPM__RASAL2,27,0,0.27
TPM__CTNNA1,27,0,0.27
TPM__RHBDF1,27,0,0.27
TPM__RPL13A,27,1,0.27
TPM__FUCA2,27,1,0.27
TPM__PTPN22,26,1,0.26
TPM__SNX21,26,0,0.26
METH__ITPRIPL2,26,2,0.26
TPM__IL12RB1,26,0,0.26
TPM__PVR,26,0,0.26
METH__C16orf54,26,0,0.26
TPM__KIFC3,25,2,0.25
TPM__SUMF1,24,3,0.24
TPM__SSH3,24,1,0.24
METH__PIK3CG,24,0,0.24
METH__LPAR5,24,0,0.24
METH__CCDC88B,24,0,0.24
METH__DDAH1,24,0,0.24
METH__RINL,23,0,0.23
TPM__RGL3,23,2,0.23
TPM__PDGFB,23,3,0.23
METH__MIR765,23,0,0.23
TPM__CDR2L,23,2,0.23
TPM__RFXAP,23,4,0.23
TPM__DOCK1,23,0,0.23
TPM__SPR,23,1,0.23
METH__MTMR11,22,0,0.22
METH__ANKRD44,22,0,0.22
TPM__RBPMS,22,1,0.22
METH__AGAP2,22,0,0.22
METH__RHOBTB1,22,0,0.22
TPM__RPS28,22,0,0.22
METH__TMEM149,22,0,0.22
TPM__ACAP1,22,0,0.22
METH__CARD8,21,7,0.21
TPM__CUEDC1,21,0,0.21
METH__ST6GALNAC4,21,3,0.21
METH__CASZ1,21,0,0.21
METH__C6orf41,21,0,0.21
TPM__LIF,20,0,0.2
METH__SEMA3C,20,0,0.2
TPM__ITGAV,20,0,0.2
METH__BZRAP1,20,0,0.2
TPM__RNASEH2B,20,1,0.2
TPM__BCAM,20,2,0.2
TPM__PLAAT3,19,0,0.19
METH__DSTN,19,0,0.19
TPM__PPP1R14B-AS1,19,5,0.19
TPM__PHLDA2,19,0,0.19
TPM__S100A13,19,1,0.19
TPM__FHL2,19,0,0.19
TPM__CD38,19,1,0.19
METH__ABHD10,19,0,0.19
TPM__PRSS23,18,0,0.18
METH__SLC44A2,18,0,0.18
