feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__BCL2L1,100,50,1.0,0.15000000596046448,0.38,0.13,True,1.0
TPM__TAF4B,90,40,0.9,0.15000000596046448,-0.38,0.11,False,0.0
TPM__NPTN,87,37,0.87,0.17000000178813934,0.44,0.14,False,0.0
METH__LOC148709,85,35,0.85,0.15000000596046448,-0.37,0.12,False,0.0
METH__ANKRD44,83,33,0.83,0.18000000715255737,0.35,0.18,False,0.0
TPM__TPM1,82,32,0.82,0.1599999964237213,0.37,0.15,False,0.0
TPM__GPAT3,78,28,0.78,0.17000000178813934,0.43,0.11,False,0.0
METH__TERF1,75,25,0.75,0.1899999976158142,-0.39,0.16,False,0.0
TPM__ATP2A3,74,24,0.74,0.14000000059604645,-0.36,0.15,False,0.0
TPM__KCNAB2,73,23,0.73,0.17000000178813934,-0.38,0.09,False,0.0
METH__MGAT1,73,23,0.73,0.17000000178813934,0.34,0.11,False,0.0
METH__KRI1,73,23,0.73,0.20000000298023224,0.41,0.17,False,0.0
METH__ZNF395,73,24,0.73,0.17000000178813934,-0.4,0.18,False,0.0
TPM__CUEDC1,72,22,0.72,0.20999999344348907,0.4,0.11,False,0.0
TPM__WFS1,72,22,0.72,0.17000000178813934,0.37,0.11,False,0.0
TPM__RASAL2-AS1,70,20,0.7,0.14000000059604645,0.39,0.16,False,0.0
TPM__PDCD6IP-DT,68,18,0.68,0.1599999964237213,0.43,0.15,False,0.0
TPM__AK1,68,19,0.68,0.17000000178813934,0.35,0.12,False,0.0
TPM__DDN,67,18,0.67,0.1599999964237213,-0.36,0.11,False,0.0
TPM__CAV2,66,17,0.66,0.1599999964237213,0.38,0.08,False,0.0
TPM__CLIP4,66,16,0.66,0.14000000059604645,0.38,0.1,False,0.0
METH__PDIA5,65,17,0.65,0.14000000059604645,-0.33,0.16,False,0.0
TPM__ME1,65,15,0.65,0.14000000059604645,0.36,0.13,False,0.0
TPM__PPP1R16B,64,14,0.64,0.15000000596046448,-0.32,0.21,False,0.0
TPM__MORC4,64,15,0.64,0.15000000596046448,0.33,0.09,False,0.0
TPM__LAMC1,64,15,0.64,0.17000000178813934,0.4,0.11,False,0.0
TPM__DOT1L,63,13,0.63,0.15000000596046448,-0.38,0.09,False,0.0
