feature,Selection count,Pair count,CPSS Score
TPM__MORC4,99,49,0.99
TPM__MRTFA,99,49,0.99
TPM__FMO5,94,44,0.94
TPM__LINC02562,88,38,0.88
TPM__CUTC,87,37,0.87
METH__SHC4,82,32,0.82
TPM__TGFBR3,82,32,0.82
METH__OR8B12,79,29,0.79
METH__C16orf82,78,28,0.78
TPM__LYL1,76,26,0.76
METH__FPGS,76,26,0.76
TPM__FMNL1-DT,75,26,0.75
TPM__SLC35B1,73,23,0.73
TPM__CCND3,73,23,0.73
METH__FLJ13224,71,21,0.71
TPM__MMP16,71,21,0.71
METH__RGS19,70,20,0.7
METH__APOBEC1,69,20,0.69
METH__ZNF681,67,17,0.67
TPM__SH3BP4,67,17,0.67
METH__PRKAG1,65,15,0.65
TPM__NFE2,64,15,0.64
METH__SNORA80B,61,12,0.61
TPM__SLCO4A1-AS1,61,13,0.61
TPM__GMIP,61,12,0.61
METH__SLC18A1,60,13,0.6
METH__ASXL2,59,11,0.59
TPM__ZNF688,59,12,0.59
TPM__CCND1,59,9,0.59
METH__TTC7A,59,9,0.59
METH__C3orf67,59,10,0.59
TPM__PI15,57,10,0.57
TPM__MANSC1,57,8,0.57
TPM__NIPAL3,56,9,0.56
TPM__SRGN,55,9,0.55
TPM__STK32A,55,8,0.55
TPM__SLC37A3,55,10,0.55
METH__SRGN,54,6,0.54
TPM__LINC02542,53,6,0.53
TPM__SLC6A17,53,4,0.53
TPM__PLLP,50,2,0.5
METH__SNORD93,48,3,0.48
TPM__RAB6A,47,5,0.47
METH__EFCAB4B,46,1,0.46
TPM__HEATR5A,46,2,0.46
METH__TMEM149,45,4,0.45
TPM__FRMD3,45,1,0.45
TPM__CEP15,44,1,0.44
METH__GDPD1,44,3,0.44
METH__SEPT12,44,1,0.44
TPM__MAP4K3-DT,44,4,0.44
TPM__PCDHB16,42,2,0.42
TPM__RGMB-AS1,42,3,0.42
METH__KIR2DL3,42,1,0.42
TPM__LGALS9,42,3,0.42
METH__LGMN,41,1,0.41
METH__ACIN1,41,2,0.41
METH__GPR146,40,0,0.4
TPM__PCDHGA1,40,0,0.4
TPM__INPP1,40,2,0.4
METH__SNORD125,40,3,0.4
TPM__MAP3K13,40,2,0.4
METH__TCF3,39,2,0.39
TPM__TRIM22,39,0,0.39
METH__OR8B4,39,0,0.39
TPM__FGF13,39,2,0.39
METH__C10orf67,39,0,0.39
TPM__MAST2,39,2,0.39
METH__LDB1,39,5,0.39
TPM__HEY1,38,0,0.38
TPM__PTK2B,38,0,0.38
TPM__TSPAN12,38,2,0.38
TPM__LYN,38,2,0.38
METH__KIR2DL4,37,2,0.37
TPM__NOS1AP,37,1,0.37
TPM__SPRY4,37,1,0.37
METH__ARSG,36,0,0.36
METH__NR2F1,35,0,0.35
TPM__SHTN1,34,0,0.34
TPM__DOCK2,34,0,0.34
TPM__ADGRV1,34,1,0.34
TPM__STPG1,33,1,0.33
TPM__MOSMO,33,1,0.33
TPM__MYO1F,33,1,0.33
TPM__PAX9,33,0,0.33
METH__DEFB115,33,0,0.33
METH__TBC1D10C,33,0,0.33
TPM__ALOX5AP,32,0,0.32
TPM__NPAS2,32,0,0.32
METH__HADH,32,6,0.32
TPM__OPHN1,32,1,0.32
TPM__SPIRE2,31,1,0.31
TPM__BOD1,31,1,0.31
TPM__HAS2-AS1,31,3,0.31
METH__IQCB1,31,0,0.31
METH__PARP10,31,1,0.31
TPM__LYSET,30,1,0.3
TPM__ERBB3,30,0,0.3
TPM__AGAP1,30,0,0.3
TPM__EPS8,30,0,0.3
TPM__TFF3,30,1,0.3
TPM__NCKAP1L,29,0,0.29
TPM__ARFGEF3,29,0,0.29
TPM__TRIM2,29,1,0.29
METH__MAP4K1,29,0,0.29
TPM__PRKD1,29,2,0.29
METH__OR5H15,28,0,0.28
TPM__FZD4,28,1,0.28
TPM__PRR15-DT,28,0,0.28
METH__FCER1A,28,1,0.28
TPM__ARMCX5,28,1,0.28
TPM__PLPP2,27,1,0.27
TPM__SLC2A8,27,1,0.27
TPM__PLEKHH1,27,0,0.27
TPM__NBL1,27,1,0.27
TPM__FKBP9,27,0,0.27
METH__TRAM1L1,26,9,0.26
TPM__KATNIP,26,0,0.26
METH__SMN1,26,0,0.26
METH__AGAP2,26,0,0.26
METH__ACTB,26,2,0.26
METH__MGC72080,26,0,0.26
METH__SMN2,26,0,0.26
TPM__SLC35D2,26,1,0.26
TPM__BCAS3,26,2,0.26
TPM__CETN2,26,0,0.26
TPM__ADCY7,26,0,0.26
TPM__ETV2,25,2,0.25
TPM__PPP1R26-AS1,25,0,0.25
TPM__HOXB7,25,3,0.25
METH__DSE,25,2,0.25
METH__OR10J1,25,1,0.25
METH__CYP27A1,25,1,0.25
TPM__TNFAIP8,24,0,0.24
TPM__SLC49A4,24,0,0.24
TPM__NEDD4L,24,0,0.24
TPM__SDC3,24,0,0.24
TPM__ELMO1,24,0,0.24
TPM__FMNL1,24,0,0.24
TPM__CREBL2,23,0,0.23
METH__KCNQ5,23,2,0.23
TPM__PEX10,23,9,0.23
METH__FAM196B,23,0,0.23
METH__TMEM45B,23,0,0.23
METH__SIRPD,23,0,0.23
TPM__DNAJC22,22,2,0.22
METH__DQX1,22,0,0.22
METH__OR7C1,22,0,0.22
TPM__ABHD2,22,9,0.22
TPM__DUSP6,22,0,0.22
