feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
METH__ZNF697,100,50,1.0,0.05000000074505806,-0.1,0.17,True,1.0,unimodal,0.71,True
METH__EAF2,100,50,1.0,0.03999999910593033,0.21,0.17,True,1.0,unimodal,0.71,True
METH__KLF4,100,50,1.0,0.05999999865889549,-0.16,0.19,True,1.0,unimodal,0.71,True
METH__ATPIF1,100,50,1.0,0.03999999910593033,-0.13,0.18,True,1.0,unimodal,0.71,True
CNV__FAT3,99,49,0.99,0.029999999329447746,0.19,0.17,True,1.0,unimodal,0.71,True
TPM__RNVU1-26,99,49,0.99,0.029999999329447746,-0.16,0.18,True,1.0,unimodal,0.71,True
METH__PSMA7,95,45,0.95,0.0,0.12,0.17,True,0.458,unimodal,0.71,True
METH__AHI1,95,45,0.95,0.019999999552965164,-0.18,0.18,True,0.458,unimodal,0.71,True
TPM__CKS1BP2,94,44,0.94,0.0,-0.03,0.17,True,0.181,unimodal,0.71,True
CNV__PICALM,94,44,0.94,0.019999999552965164,0.18,0.18,True,0.181,unimodal,0.71,True
TPM__CYCSP6,94,44,0.94,0.009999999776482582,0.12,0.18,True,0.181,unimodal,0.71,True
TPM__SEPTIN14P8,93,43,0.93,0.0,-0.02,0.18,True,0.053,unimodal,0.71,True
METH__IQCH,91,41,0.91,0.029999999329447746,-0.14,0.18,False,0.002,worst_case,0.896551724137931,True
TPM__LINC02041,91,41,0.91,0.009999999776482582,0.1,0.21,False,0.002,worst_case,0.896551724137931,True
CNV__FLI1,91,41,0.91,0.029999999329447746,0.19,0.17,False,0.002,worst_case,0.896551724137931,True
TPM__SCARNA22,91,41,0.91,0.0,-0.03,0.19,False,0.002,worst_case,0.896551724137931,True
CNV__BIRC3,90,40,0.9,0.009999999776482582,0.19,0.18,False,0.0,worst_case,0.896551724137931,True
