feature,Selection count,Pair count,CPSS Score
METH__C21orf125,82,33,0.82
TPM__LHFPL2,82,32,0.82
TPM__CHMP3,82,32,0.82
TPM__PTTG1IP,81,31,0.81
TPM__SLC25A19,81,31,0.81
TPM__BCL2L1,80,30,0.8
TPM__PYGB,77,27,0.77
TPM__LIF-AS2,75,25,0.75
TPM__PDCD6IP-DT,73,23,0.73
TPM__ABLIM3,73,23,0.73
METH__FN3K,71,21,0.71
TPM__APMAP,71,24,0.71
TPM__KIF21B,69,19,0.69
TPM__PTPN21,69,20,0.69
TPM__EVA1A,68,18,0.68
METH__SRRM2,66,16,0.66
TPM__CUEDC1,65,15,0.65
TPM__ABHD12,65,16,0.65
TPM__TMEM51,64,14,0.64
TPM__TMEM171,64,14,0.64
TPM__PXDC1,58,8,0.58
TPM__BRI3,58,10,0.58
TPM__ALCAM,56,9,0.56
TPM__AGAP2,53,6,0.53
TPM__MIR100HG,53,8,0.53
TPM__ELMO1,53,7,0.53
TPM__TNFAIP1,52,4,0.52
TPM__PVR,52,4,0.52
TPM__THAP10,51,6,0.51
TPM__SYTL2,50,7,0.5
TPM__RAI14,49,5,0.49
TPM__EAF2,49,3,0.49
TPM__SMURF2,49,4,0.49
TPM__SOX9,48,5,0.48
TPM__LAMB1,48,2,0.48
TPM__CETN2,48,1,0.48
TPM__RASAL2-AS1,47,4,0.47
METH__DOCK9,46,3,0.46
TPM__LIF,46,1,0.46
TPM__SHB,46,2,0.46
TPM__SNX33,46,3,0.46
METH__ZNF214,45,1,0.45
TPM__AGRN,45,2,0.45
TPM__GAS6,45,2,0.45
TPM__RGS3,45,5,0.45
TPM__EPS8,44,2,0.44
TPM__CD151,44,2,0.44
TPM__ADORA2B,44,3,0.44
TPM__RIN2,44,3,0.44
TPM__JUN,43,1,0.43
TPM__RND3,42,2,0.42
TPM__SEC14L2,42,3,0.42
TPM__CNN3,42,2,0.42
METH__ZNF462,42,2,0.42
TPM__NECTIN3,42,3,0.42
TPM__PTGR1,41,3,0.41
TPM__CCDC9B,41,5,0.41
TPM__EXT1,41,2,0.41
TPM__GULP1,41,3,0.41
TPM__PALS1,41,4,0.41
TPM__IL17RC,41,2,0.41
TPM__FCHO2,40,1,0.4
TPM__ARSJ,40,3,0.4
TPM__LGALS3BP,40,2,0.4
TPM__ZDHHC1,40,1,0.4
TPM__MORC4,40,1,0.4
METH__KRI1,39,0,0.39
TPM__BAIAP2,39,1,0.39
TPM__CTNND1,38,0,0.38
TPM__SH3D19,38,2,0.38
TPM__ARPIN-AP3S2,38,1,0.38
TPM__PTPRF,38,1,0.38
TPM__FAM78A,37,0,0.37
TPM__RAB11FIP5,37,3,0.37
METH__ANKRD44,37,0,0.37
TPM__KIFC3,36,0,0.36
TPM__DENND2B,36,1,0.36
TPM__TPM1,36,1,0.36
TPM__ADAM9,36,2,0.36
TPM__CCND1,35,2,0.35
TPM__CRIM1-DT,35,1,0.35
TPM__MYO1C,35,0,0.35
METH__SOAT2,34,0,0.34
METH__CRIM1,34,1,0.34
TPM__MET,34,0,0.34
TPM__IQSEC2,34,0,0.34
TPM__EMP1,34,0,0.34
TPM__DAG1,34,1,0.34
TPM__IL12RB1,32,0,0.32
METH__CCDC88B,32,0,0.32
TPM__CLIP1,32,0,0.32
TPM__CTTNBP2NL,32,1,0.32
TPM__IGFBP6,32,0,0.32
TPM__CORO1A-AS1,31,1,0.31
TPM__TMEM106B,31,0,0.31
METH__PARVA,31,0,0.31
TPM__CLIP4,31,0,0.31
TPM__NECTIN2,30,0,0.3
METH__SASH1,30,0,0.3
TPM__BOK,30,0,0.3
TPM__FN1,29,1,0.29
TPM__PSORS1C1,29,4,0.29
TPM__PPP1R14B-AS1,29,0,0.29
TPM__PTPRCAP,29,0,0.29
TPM__UACA,29,0,0.29
TPM__CBFA2T3,28,1,0.28
METH__CD38,28,0,0.28
TPM__PRKAG2,28,0,0.28
TPM__GNA11,27,0,0.27
TPM__WASL,27,0,0.27
TPM__LEPROT,27,1,0.27
TPM__ACTN1,27,1,0.27
TPM__ACTN4,27,0,0.27
TPM__FAM114A1,27,0,0.27
TPM__KIF13A,27,1,0.27
TPM__IL6ST,27,0,0.27
METH__RHEB,27,0,0.27
TPM__RTN4,27,0,0.27
TPM__FERMT3,27,1,0.27
TPM__CARD10,26,0,0.26
TPM__NRP1,26,1,0.26
TPM__RIN1,26,2,0.26
TPM__CD59,26,1,0.26
METH__LAMB2,26,0,0.26
TPM__ANLN,25,0,0.25
TPM__PROCR,25,4,0.25
TPM__TMED7,25,2,0.25
TPM__MBNL2,25,2,0.25
TPM__LTBP2,24,5,0.24
TPM__IER5L,24,1,0.24
TPM__P4HA2,24,1,0.24
TPM__TPBG,24,1,0.24
TPM__TWF1,24,1,0.24
TPM__DOCK1,24,0,0.24
TPM__CLCF1,24,0,0.24
METH__MAP4K1,23,0,0.23
TPM__SAMD4A,23,0,0.23
TPM__SNX24,23,1,0.23
TPM__MVP,23,0,0.23
TPM__ANXA2,23,0,0.23
TPM__TGFA,23,3,0.23
TPM__SPATS2L,23,1,0.23
TPM__SLC49A4,23,1,0.23
TPM__IGFBP3,23,3,0.23
METH__PTPN14,22,0,0.22
TPM__SCML1,22,5,0.22
TPM__CD109,22,3,0.22
TPM__MID1,22,4,0.22
TPM__ENC1,22,7,0.22
METH__LAMB1,22,0,0.22
TPM__MICALL2,22,0,0.22
TPM__NT5E,22,0,0.22
TPM__ABCC3,21,1,0.21
METH__MARVELD3,21,0,0.21
TPM__FCHO1,21,3,0.21
METH__C15orf52,21,1,0.21
TPM__AHNAK,21,0,0.21
METH__NR2F2,21,0,0.21
TPM__VMP1,21,4,0.21
TPM__PLEC,21,0,0.21
TPM__MIR22HG,20,1,0.2
METH__AGAP2,20,0,0.2
METH__GAS2L3,20,0,0.2
METH__CDC14B,20,6,0.2
TPM__RBMS2,20,1,0.2
TPM__EPB41L1,20,1,0.2
METH__YOD1,20,2,0.2
METH__MGAT1,20,0,0.2
TPM__CAMK2N1,20,5,0.2
TPM__MATN2,20,4,0.2
METH__FAM129C,19,0,0.19
TPM__SH3RF1,19,1,0.19
TPM__RBFOX2,19,0,0.19
METH__SNX7,19,1,0.19
METH__PKN1,19,0,0.19
TPM__CDC42EP1,19,1,0.19
TPM__BACE2,19,4,0.19
TPM__LGALS3,19,2,0.19
METH__ERRFI1,19,2,0.19
TPM__SBDS,19,2,0.19
TPM__GIPC1,19,0,0.19
TPM__SH3BP4,18,2,0.18
TPM__NACC2,18,0,0.18
TPM__PRSS23,18,0,0.18
TPM__TSPAN6,18,0,0.18
TPM__SNX9,18,1,0.18
TPM__FTH1,18,5,0.18
METH__PROCA1,18,5,0.18
TPM__PRRG1,18,1,0.18
METH__B3GNT5,18,6,0.18
TPM__CDC42BPA,17,2,0.17
TPM__HTRA1,17,2,0.17
TPM__EHD2,17,0,0.17
TPM__PMEPA1,17,7,0.17
TPM__TRAF3IP3,17,0,0.17
TPM__ARHGEF28,17,3,0.17
TPM__KIAA1191,17,3,0.17
TPM__HFE,17,4,0.17
TPM__PLCD3,17,0,0.17
TPM__MANBAL,17,2,0.17
TPM__NR2F2,17,2,0.17
TPM__LTBP3,16,2,0.16
TPM__FKBP9,16,0,0.16
TPM__CHST3,16,1,0.16
TPM__GRAMD2B,16,5,0.16
TPM__LAMB2,16,0,0.16
TPM__LAPTM4A,16,4,0.16
METH__MIR1469,16,0,0.16
TPM__SLC39A13,16,4,0.16
TPM__RHOH,16,0,0.16
TPM__SNX21,16,1,0.16
METH__NPAS2,16,0,0.16
TPM__RHOC,16,0,0.16
TPM__TGFB2,16,5,0.16
TPM__MICAL2,16,0,0.16
TPM__GALNT11,16,0,0.16
METH__ERBB2,15,1,0.15
TPM__CAST,15,0,0.15
METH__MIR765,15,2,0.15
TPM__WLS,15,2,0.15
TPM__CLDN12,15,0,0.15
TPM__S100A13,15,4,0.15
TPM__PAM,15,4,0.15
TPM__PHLDA2,15,0,0.15
TPM__P3H2,15,2,0.15
TPM__CKAP4,15,4,0.15
TPM__PPP2R3A,15,2,0.15
TPM__AGAP2-AS1,15,6,0.15
TPM__PHLDA1,15,0,0.15
TPM__KRT80,15,1,0.15
TPM__RAPH1,15,2,0.15
TPM__ITPRIPL2,15,4,0.15
TPM__SERPINB6,15,0,0.15
TPM__ARHGAP29,15,0,0.15
TPM__ASAP2,14,0,0.14
TPM__NCKAP1L,14,0,0.14
TPM__RASGRP2,14,1,0.14
TPM__YIPF5,14,0,0.14
METH__CASZ1,14,0,0.14
TPM__KDM2B,14,0,0.14
TPM__ITGAV,14,0,0.14
TPM__KIF3B,14,1,0.14
TPM__MYO10,14,0,0.14
TPM__TGFBI,14,0,0.14
TPM__NBL1,14,4,0.14
TPM__PLBD2,14,1,0.14
TPM__KIRREL1,14,2,0.14
TPM__CTSB,14,4,0.14
TPM__EXT2,14,0,0.14
TPM__UEVLD,14,4,0.14
TPM__TAX1BP3,14,1,0.14
TPM__CDC14B,14,3,0.14
TPM__RCSD1,14,0,0.14
TPM__SH2D4A,14,0,0.14
TPM__HSPG2,14,3,0.14
TPM__RBPMS,13,2,0.13
TPM__KIF23-AS1,13,4,0.13
TPM__TNS2,13,2,0.13
TPM__SEPTIN6,13,1,0.13
TPM__PTPRK,13,4,0.13
METH__BIN2,13,0,0.13
TPM__GNS,13,3,0.13
TPM__ERRFI1,13,0,0.13
TPM__ITGA6,13,2,0.13
TPM__NQO1,13,1,0.13
TPM__PLPP2,13,1,0.13
TPM__SRGAP1,13,3,0.13
TPM__TGM2,13,3,0.13
TPM__CALU,13,0,0.13
TPM__LARP6,13,1,0.13
TPM__SLC35D2,13,2,0.13
METH__FAM113B,12,2,0.12
TPM__HRH1,12,2,0.12
TPM__ASPH,12,0,0.12
METH__MTMR11,12,0,0.12
TPM__TIMP2,12,1,0.12
TPM__DCBLD2,12,2,0.12
METH__PATL1,12,2,0.12
METH__CDKN2D,12,0,0.12
