feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
TPM__PIK3CG,100,50,1.0,0.10999999940395355,-0.25,0.2,True,1.0,unimodal,0.71,True
METH__FAM84B,100,50,1.0,0.05000000074505806,-0.23,0.2,True,1.0,unimodal,0.71,True
METH__CCM2,100,50,1.0,0.11999999731779099,0.3,0.2,True,1.0,unimodal,0.71,True
METH__CEBPD,100,50,1.0,0.07999999821186066,-0.24,0.21,True,1.0,unimodal,0.71,True
TPM__MIR142HG,100,50,1.0,0.12999999523162842,-0.21,0.21,True,1.0,unimodal,0.71,True
METH__LRBA,100,50,1.0,0.0,-0.08,0.21,True,1.0,unimodal,0.71,True
METH__GPR126,100,50,1.0,0.10999999940395355,-0.34,0.2,True,1.0,unimodal,0.71,True
METH__DSTN,100,50,1.0,0.12999999523162842,-0.28,0.2,True,1.0,unimodal,0.71,True
TPM__IFNWP19,100,50,1.0,0.07000000029802322,0.3,0.21,True,1.0,unimodal,0.71,True
METH__RGMB,99,49,0.99,0.07000000029802322,-0.23,0.19,True,1.0,unimodal,0.71,True
METH__LRP6,98,48,0.98,0.05999999865889549,-0.24,0.19,True,1.0,unimodal,0.71,True
METH__TTC21A,97,47,0.97,0.03999999910593033,-0.23,0.22,True,0.992,unimodal,0.71,True
METH__CSDA,93,43,0.93,0.029999999329447746,-0.19,0.21,True,0.053,unimodal,0.71,True
METH__RAPH1,93,43,0.93,0.029999999329447746,-0.21,0.18,True,0.053,unimodal,0.71,True
METH__KLF6,91,41,0.91,0.029999999329447746,-0.19,0.19,False,0.002,worst_case,0.8940058479532164,True
