feature,Selection count,Pair count,CPSS Score
TPM__MXRA5,100,50,1.0
METH__PPP1R13L,100,50,1.0
TPM__PIK3CG,100,50,1.0
TPM__IL12RB1,100,50,1.0
METH__NRP1,100,50,1.0
METH__MPP5,99,49,0.99
METH__HSPC159,99,49,0.99
METH__PCGF2,96,46,0.96
METH__RBL1,94,44,0.94
METH__PTGR2,92,42,0.92
METH__NR4A2,91,41,0.91
METH__SMPD1,91,41,0.91
METH__AHI1,91,41,0.91
METH__C6orf217,89,39,0.89
CNV__FANCM,89,39,0.89
METH__LOC400752,89,39,0.89
CNV__MAML2,86,36,0.86
CNV__NKX2-1,86,36,0.86
CNV__ZFP36L1,84,34,0.84
METH__USP12,84,34,0.84
METH__TIMM17A,83,34,0.83
CNV__SFRP4,82,33,0.82
METH__RAD54B,81,33,0.81
TPM__SNORA18,78,28,0.78
CNV__FBLN1,76,26,0.76
METH__ARHGEF12,75,25,0.75
METH__PPAPDC1B,67,19,0.67
METH__ANGPTL3,67,20,0.67
METH__MAML3,62,15,0.62
METH__ZNF546,60,14,0.6
METH__FGFR1OP,59,13,0.59
METH__VPS4B,59,13,0.59
CNV__AKT2,59,15,0.59
METH__EIF4H,59,17,0.59
METH__SSU72,58,13,0.58
CNV__FUS,58,13,0.58
CNV__ZNF780A,57,14,0.57
METH__C21orf119,57,14,0.57
CNV__PDGFB,56,10,0.56
CNV__PDGFRB,56,12,0.56
CNV__LOX,55,10,0.55
CNV__RBFOX2,53,9,0.53
CNV__APOBEC3B,51,9,0.51
METH__SYAP1,50,7,0.5
METH__ARMC10,49,10,0.49
CNV__EP300,49,6,0.49
METH__KDM4D,47,10,0.47
CNV__MRTFA,46,7,0.46
CNV__ZNRF3,44,8,0.44
CNV__NPM1,44,9,0.44
METH__LMBR1,43,3,0.43
METH__COMMD6,43,5,0.43
CNV__PAX5,42,6,0.42
CNV__CLTCL1,42,10,0.42
CNV__DDB2,41,5,0.41
CNV__NSD1,40,5,0.4
CNV__GAS7,40,7,0.4
CNV__AFDN,40,9,0.4
CNV__FANCG,40,6,0.4
CNV__MN1,40,4,0.4
CNV__FBXO11,39,4,0.39
METH__CWC15,39,4,0.39
CNV__ID3,39,6,0.39
CNV__GNAQ,39,7,0.39
CNV__FGFR4,38,4,0.38
METH__LENG8,37,4,0.37
CNV__MAP2K4,37,4,0.37
CNV__IRF1,36,7,0.36
CNV__SOS1,36,4,0.36
CNV__ARNT,36,6,0.36
CNV__LCK,36,7,0.36
METH__TMEM43,36,4,0.36
METH__DDI2,36,4,0.36
CNV__FCGR2B,36,4,0.36
CNV__EML4,35,3,0.35
CNV__SMARCB1,35,3,0.35
METH__LOC100131801,35,4,0.35
CNV__SETDB1,34,3,0.34
METH__COPB2,34,1,0.34
CNV__FLT4,34,3,0.34
METH__TBCCD1,32,4,0.32
CNV__WNK2,32,3,0.32
CNV__AFF4,31,4,0.31
CNV__MYH9,31,2,0.31
CNV__EWSR1,31,4,0.31
CNV__NTRK1,31,4,0.31
METH__GPR89B,31,2,0.31
METH__CHCHD4,30,3,0.3
CNV__FBN2,30,2,0.3
METH__MED6,30,2,0.3
