feature,selection_prob,tau_worst_case,tau_unimodal,passes_worst_case,passes_unimodal
CNV__BMPR1A,1.0,0.8902439024390244,0.7000000000000001,True,True
CNV__NFKB2,1.0,0.8902439024390244,0.7000000000000001,True,True
MUT__KRAS,1.0,0.8902439024390244,0.7000000000000001,True,True
CNV__TLX1,1.0,0.8902439024390244,0.7000000000000001,True,True
CNV__KAT6B,1.0,0.8902439024390244,0.7000000000000001,True,True
MUT__ACVR2A,1.0,0.8902439024390244,0.7000000000000001,True,True
CNV__FAS,1.0,0.8902439024390244,0.7000000000000001,True,True
CNV__SUFU,1.0,0.8902439024390244,0.7000000000000001,True,True
CNV__RAP1GDS1,1.0,0.8902439024390244,0.7000000000000001,True,True
CNV__CYP2C8,1.0,0.8902439024390244,0.7000000000000001,True,True
TPM__IKZF1,1.0,0.8902439024390244,0.7000000000000001,True,True
TPM__TM4SF1-AS1,1.0,0.8902439024390244,0.7000000000000001,True,True
CNV__TET1,1.0,0.8902439024390244,0.7000000000000001,True,True
CNV__PRF1,1.0,0.8902439024390244,0.7000000000000001,True,True
CNV__TCF7L2,1.0,0.8902439024390244,0.7000000000000001,True,True
CNV__LDB1,1.0,0.8902439024390244,0.7000000000000001,True,True
CNV__CPEB3,1.0,0.8902439024390244,0.7000000000000001,True,True
METH__DSTN,1.0,0.8902439024390244,0.7000000000000001,True,True
CNV__ZNF780A,1.0,0.8902439024390244,0.7000000000000001,True,True
TPM__PDE1B,1.0,0.8902439024390244,0.7000000000000001,True,True
CNV__NFATC2,1.0,0.8902439024390244,0.7000000000000001,True,True
CNV__NT5C2,1.0,0.8902439024390244,0.7000000000000001,True,True
MUT__KMT2B,1.0,0.8902439024390244,0.7000000000000001,True,True
MUT__BRCA2,0.9666666666666667,0.8902439024390244,0.7000000000000001,True,True
MUT__FAT4,0.9666666666666667,0.8902439024390244,0.7000000000000001,True,True
MUT__STAG2,0.95,0.8902439024390244,0.7000000000000001,True,True
MUT__MSH6,0.9416666666666667,0.8902439024390244,0.7000000000000001,True,True
MUT__NIPBL,0.9416666666666667,0.8902439024390244,0.7000000000000001,True,True
MUT__BCORL1,0.9333333333333333,0.8902439024390244,0.7000000000000001,True,True
MUT__CDH1,0.9333333333333333,0.8902439024390244,0.7000000000000001,True,True
MUT__CTCF,0.9166666666666666,0.8902439024390244,0.7000000000000001,True,True
MUT__HSPG2,0.9166666666666666,0.8902439024390244,0.7000000000000001,True,True
MUT__MLH1,0.9083333333333333,0.8902439024390244,0.7000000000000001,True,True
MUT__UBR5,0.9083333333333333,0.8902439024390244,0.7000000000000001,True,True
MUT__TRRAP,0.9,0.8902439024390244,0.7000000000000001,True,True
MUT__CASP8,0.9,0.8902439024390244,0.7000000000000001,True,True
MUT__RNF43,0.8916666666666667,0.8902439024390244,0.7000000000000001,True,True
MUT__PBRM1,0.8916666666666667,0.8902439024390244,0.7000000000000001,True,True
MUT__BIRC6,0.8916666666666667,0.8902439024390244,0.7000000000000001,True,True
MUT__BCOR,0.8916666666666667,0.8902439024390244,0.7000000000000001,True,True
MUT__TGFBR2,0.8833333333333333,0.8902439024390244,0.7000000000000001,False,True
MUT__ARID1B,0.875,0.8902439024390244,0.7000000000000001,False,True
MUT__KEAP1,0.875,0.8902439024390244,0.7000000000000001,False,True
MUT__ARID2,0.875,0.8902439024390244,0.7000000000000001,False,True
MUT__ATF7IP,0.8666666666666667,0.8902439024390244,0.7000000000000001,False,True
MUT__PTPN13,0.8416666666666667,0.8902439024390244,0.7000000000000001,False,True
MUT__NF2,0.8083333333333333,0.8902439024390244,0.7000000000000001,False,True
MUT__NCOR2,0.775,0.8902439024390244,0.7000000000000001,False,True
MUT__PTPRT,0.775,0.8902439024390244,0.7000000000000001,False,True
MUT__BCL9L,0.7666666666666667,0.8902439024390244,0.7000000000000001,False,True
MUT__PRDM2,0.7666666666666667,0.8902439024390244,0.7000000000000001,False,True
MUT__CLTCL1,0.7416666666666667,0.8902439024390244,0.7000000000000001,False,True
MUT__PARP4,0.7333333333333333,0.8902439024390244,0.7000000000000001,False,True
MUT__EPHA3,0.7083333333333334,0.8902439024390244,0.7000000000000001,False,True
MUT__KMT2A,0.6916666666666667,0.8902439024390244,0.7000000000000001,False,False
MUT__RHOA,0.625,0.8902439024390244,0.7000000000000001,False,False
MUT__CTNNB1,0.625,0.8902439024390244,0.7000000000000001,False,False
MUT__NOTCH1,0.6,0.8902439024390244,0.7000000000000001,False,False
MUT__CHD2,0.5916666666666667,0.8902439024390244,0.7000000000000001,False,False
MUT__ENPEP,0.55,0.8902439024390244,0.7000000000000001,False,False
MUT__DIS3,0.5416666666666666,0.8902439024390244,0.7000000000000001,False,False
MUT__JAK1,0.5333333333333333,0.8902439024390244,0.7000000000000001,False,False
MUT__BRIP1,0.525,0.8902439024390244,0.7000000000000001,False,False
MUT__WNK2,0.525,0.8902439024390244,0.7000000000000001,False,False
MUT__MAP2,0.525,0.8902439024390244,0.7000000000000001,False,False
MUT__EGFR,0.5083333333333333,0.8902439024390244,0.7000000000000001,False,False
MUT__MCM3AP,0.49166666666666664,0.8902439024390244,0.7000000000000001,False,False
MUT__QKI,0.475,0.8902439024390244,0.7000000000000001,False,False
MUT__PTPRB,0.475,0.8902439024390244,0.7000000000000001,False,False
MUT__B2M,0.4666666666666667,0.8902439024390244,0.7000000000000001,False,False
MUT__FLCN,0.4666666666666667,0.8902439024390244,0.7000000000000001,False,False
MUT__MAP2K1,0.4583333333333333,0.8902439024390244,0.7000000000000001,False,False
MUT__RASA1,0.43333333333333335,0.8902439024390244,0.7000000000000001,False,False
MUT__CDH10,0.425,0.8902439024390244,0.7000000000000001,False,False
MUT__BMPR2,0.4166666666666667,0.8902439024390244,0.7000000000000001,False,False
MUT__GRIN2A,0.4,0.8902439024390244,0.7000000000000001,False,False
MUT__CR1,0.39166666666666666,0.8902439024390244,0.7000000000000001,False,False
MUT__USP9X,0.375,0.8902439024390244,0.7000000000000001,False,False
MUT__SOCS1,0.375,0.8902439024390244,0.7000000000000001,False,False
MUT__HNF1A,0.375,0.8902439024390244,0.7000000000000001,False,False
MUT__TCF7L2,0.36666666666666664,0.8902439024390244,0.7000000000000001,False,False
MUT__ERBB2,0.35833333333333334,0.8902439024390244,0.7000000000000001,False,False
MUT__ZNF429,0.3333333333333333,0.8902439024390244,0.7000000000000001,False,False
MUT__NTRK1,0.3333333333333333,0.8902439024390244,0.7000000000000001,False,False
MUT__DNMT3A,0.325,0.8902439024390244,0.7000000000000001,False,False
MUT__PMS2,0.325,0.8902439024390244,0.7000000000000001,False,False
MUT__PHOX2B,0.325,0.8902439024390244,0.7000000000000001,False,False
MUT__NCOR1,0.31666666666666665,0.8902439024390244,0.7000000000000001,False,False
MUT__ATP2B3,0.31666666666666665,0.8902439024390244,0.7000000000000001,False,False
MUT__MB21D2,0.31666666666666665,0.8902439024390244,0.7000000000000001,False,False
MUT__BAP1,0.31666666666666665,0.8902439024390244,0.7000000000000001,False,False
MUT__EPHA7,0.3,0.8902439024390244,0.7000000000000001,False,False
MUT__FOXL2,0.2916666666666667,0.8902439024390244,0.7000000000000001,False,False
MUT__FAS,0.2916666666666667,0.8902439024390244,0.7000000000000001,False,False
MUT__SPOP,0.2916666666666667,0.8902439024390244,0.7000000000000001,False,False
MUT__ARHGAP5,0.2833333333333333,0.8902439024390244,0.7000000000000001,False,False
MUT__SOX9,0.2833333333333333,0.8902439024390244,0.7000000000000001,False,False
MUT__ZBTB16,0.275,0.8902439024390244,0.7000000000000001,False,False
MUT__PTPRD,0.26666666666666666,0.8902439024390244,0.7000000000000001,False,False
MUT__KDM5C,0.26666666666666666,0.8902439024390244,0.7000000000000001,False,False
MUT__ELF3,0.25833333333333336,0.8902439024390244,0.7000000000000001,False,False
MUT__AXIN1,0.25833333333333336,0.8902439024390244,0.7000000000000001,False,False
MUT__ZNF721,0.25833333333333336,0.8902439024390244,0.7000000000000001,False,False
MUT__HOXC13,0.25,0.8902439024390244,0.7000000000000001,False,False
MUT__NKX2-1,0.25,0.8902439024390244,0.7000000000000001,False,False
MUT__IRS4,0.24166666666666667,0.8902439024390244,0.7000000000000001,False,False
MUT__PRR14,0.23333333333333334,0.8902439024390244,0.7000000000000001,False,False
MUT__SOS1,0.225,0.8902439024390244,0.7000000000000001,False,False
MUT__CCDC6,0.21666666666666667,0.8902439024390244,0.7000000000000001,False,False
MUT__CASZ1,0.20833333333333334,0.8902439024390244,0.7000000000000001,False,False
MUT__SMARCB1,0.20833333333333334,0.8902439024390244,0.7000000000000001,False,False
MUT__ERBB4,0.20833333333333334,0.8902439024390244,0.7000000000000001,False,False
MUT__PPM1D,0.20833333333333334,0.8902439024390244,0.7000000000000001,False,False
MUT__AFF3,0.18333333333333332,0.8902439024390244,0.7000000000000001,False,False
MUT__ID3,0.18333333333333332,0.8902439024390244,0.7000000000000001,False,False
MUT__PTPN11,0.175,0.8902439024390244,0.7000000000000001,False,False
MUT__ETV6,0.175,0.8902439024390244,0.7000000000000001,False,False
MUT__DAZAP1,0.175,0.8902439024390244,0.7000000000000001,False,False
MUT__GNA13,0.16666666666666666,0.8902439024390244,0.7000000000000001,False,False
MUT__NIN,0.16666666666666666,0.8902439024390244,0.7000000000000001,False,False
MUT__AMER1,0.16666666666666666,0.8902439024390244,0.7000000000000001,False,False
MUT__CDX2,0.15833333333333333,0.8902439024390244,0.7000000000000001,False,False
MUT__PML,0.15,0.8902439024390244,0.7000000000000001,False,False
MUT__FN1,0.15,0.8902439024390244,0.7000000000000001,False,False
MUT__EPHA2,0.14166666666666666,0.8902439024390244,0.7000000000000001,False,False
MUT__PTPRC,0.13333333333333333,0.8902439024390244,0.7000000000000001,False,False
MUT__DOT1L,0.13333333333333333,0.8902439024390244,0.7000000000000001,False,False
MUT__WNK4,0.13333333333333333,0.8902439024390244,0.7000000000000001,False,False
MUT__ARHGAP26,0.125,0.8902439024390244,0.7000000000000001,False,False
MUT__MAX,0.125,0.8902439024390244,0.7000000000000001,False,False
MUT__TRIM24,0.125,0.8902439024390244,0.7000000000000001,False,False
MUT__USP8,0.125,0.8902439024390244,0.7000000000000001,False,False
MUT__POLD1,0.11666666666666667,0.8902439024390244,0.7000000000000001,False,False
MUT__MAP2K4,0.11666666666666667,0.8902439024390244,0.7000000000000001,False,False
MUT__PREX2,0.11666666666666667,0.8902439024390244,0.7000000000000001,False,False
MUT__ATRX,0.11666666666666667,0.8902439024390244,0.7000000000000001,False,False
MUT__EXT1,0.10833333333333334,0.8902439024390244,0.7000000000000001,False,False
MUT__DICER1,0.10833333333333334,0.8902439024390244,0.7000000000000001,False,False
MUT__MUTYH,0.1,0.8902439024390244,0.7000000000000001,False,False
MUT__PPARG,0.1,0.8902439024390244,0.7000000000000001,False,False
MUT__IKBKB,0.1,0.8902439024390244,0.7000000000000001,False,False
MUT__ARHGEF10,0.1,0.8902439024390244,0.7000000000000001,False,False
MUT__PCDH17,0.1,0.8902439024390244,0.7000000000000001,False,False
MUT__KAT6B,0.1,0.8902439024390244,0.7000000000000001,False,False
MUT__AXIN2,0.1,0.8902439024390244,0.7000000000000001,False,False
MUT__FGFR2,0.09166666666666666,0.8902439024390244,0.7000000000000001,False,False
MUT__RBM15,0.09166666666666666,0.8902439024390244,0.7000000000000001,False,False
MUT__POT1,0.09166666666666666,0.8902439024390244,0.7000000000000001,False,False
MUT__FAM135B,0.08333333333333333,0.8902439024390244,0.7000000000000001,False,False
MUT__MAP2K7,0.08333333333333333,0.8902439024390244,0.7000000000000001,False,False
MUT__CIITA,0.08333333333333333,0.8902439024390244,0.7000000000000001,False,False
MUT__RET,0.08333333333333333,0.8902439024390244,0.7000000000000001,False,False
MUT__ABCB1,0.08333333333333333,0.8902439024390244,0.7000000000000001,False,False
MUT__TNC,0.075,0.8902439024390244,0.7000000000000001,False,False
MUT__TMEM127,0.075,0.8902439024390244,0.7000000000000001,False,False
MUT__RABEP1,0.075,0.8902439024390244,0.7000000000000001,False,False
MUT__PTK6,0.075,0.8902439024390244,0.7000000000000001,False,False
MUT__MRTFA,0.075,0.8902439024390244,0.7000000000000001,False,False
MUT__CYLD,0.06666666666666667,0.8902439024390244,0.7000000000000001,False,False
MUT__MTOR,0.06666666666666667,0.8902439024390244,0.7000000000000001,False,False
MUT__DAXX,0.06666666666666667,0.8902439024390244,0.7000000000000001,False,False
MUT__RUNX1T1,0.06666666666666667,0.8902439024390244,0.7000000000000001,False,False
MUT__ARHGEF12,0.058333333333333334,0.8902439024390244,0.7000000000000001,False,False
MUT__ZNF680,0.058333333333333334,0.8902439024390244,0.7000000000000001,False,False
MUT__FANCE,0.058333333333333334,0.8902439024390244,0.7000000000000001,False,False
MUT__TNFAIP3,0.058333333333333334,0.8902439024390244,0.7000000000000001,False,False
