,feature,selection_count,pair_count,cpss_score
66,METH__GPR108,20,10,1.0
222,CNV__KAT6B,20,10,1.0
335,METH__STRAP,20,10,1.0
442,CNV__KTN1,20,10,1.0
97,METH__MPHOSPH9,20,10,1.0
289,CNV__FLI1,20,10,1.0
417,METH__RASA2,20,10,1.0
256,METH__C1orf135,19,9,0.95
446,CNV__CBL,19,9,0.95
281,CNV__CCDC6,19,9,0.95
37,CNV__ASXL2,18,8,0.9
198,CNV__SUSD2,18,8,0.9
265,CNV__GNAQ,18,8,0.9
117,CNV__NCOA4,18,8,0.9
183,CNV__PRDM2,18,8,0.9
148,METH__PCCA,18,8,0.9
185,CNV__KCNJ5,18,8,0.9
308,MUT__RB1,17,7,0.85
456,METH__FASN,17,7,0.85
304,CNV__LCK,17,7,0.85
416,CNV__ZBTB20,16,7,0.8
464,METH__C10orf114,16,6,0.8
367,METH__CNOT1,16,6,0.8
306,CNV__FOXL2,16,6,0.8
218,CNV__PAX3,16,6,0.8
80,CNV__KNL1,15,5,0.75
333,METH__TADA2A,15,5,0.75
74,CNV__MAPK1,15,5,0.75
73,CNV__NUTM1,15,5,0.75
316,CNV__MYCN,15,5,0.75
358,CNV__MRTFA,15,5,0.75
392,CNV__FEV,15,6,0.75
249,CNV__ARID1A,15,5,0.75
197,METH__FOXO3,15,5,0.75
427,CNV__DDB2,15,5,0.75
102,CNV__CNBP,15,5,0.75
46,CNV__FOXO3,14,5,0.7
423,CNV__ATIC,14,4,0.7
55,CNV__INO80,14,5,0.7
357,METH__MIR484,14,4,0.7
241,CNV__ASPSCR1,14,4,0.7
321,CNV__ROS1,14,4,0.7
355,CNV__RRAGC,13,3,0.65
71,CNV__B2M,13,5,0.65
204,CNV__ZNF148,13,4,0.65
29,CNV__FBXW7,13,5,0.65
483,CNV__SYK,13,3,0.65
471,CNV__DNM2,13,4,0.65
176,CNV__GATA2,13,3,0.65
24,CNV__BUB1B,13,3,0.65
115,CNV__RPS3A,13,4,0.65
459,CNV__BCR,13,4,0.65
353,CNV__SMAD4,12,3,0.6
76,CNV__SGK1,12,4,0.6
370,METH__TXNDC17,12,2,0.6
398,CNV__TMPRSS2,12,4,0.6
334,CNV__MYO5A,12,3,0.6
52,CNV__RSPO3,12,3,0.6
342,MUT__NFE2L2,12,2,0.6
251,CNV__SMAD2,11,3,0.55
476,CNV__POLQ,11,3,0.55
322,CNV__SUZ12,11,3,0.55
486,CNV__USP8,11,2,0.55
5,CNV__EFTUD2,11,2,0.55
437,CNV__EPHA2,11,2,0.55
83,CNV__IFNGR1,11,4,0.55
263,METH__PLK4,11,3,0.55
429,CNV__SMAD3,11,3,0.55
419,MUT__NBEA,11,2,0.55
303,CNV__RGL3,11,2,0.55
267,CNV__EML4,11,2,0.55
60,CNV__PTPRK,11,2,0.55
78,MUT__CASP8,11,3,0.55
346,CNV__MPL,10,2,0.5
120,CNV__DDX5,10,1,0.5
279,METH__LETM2,10,1,0.5
134,CNV__TNFAIP3,10,3,0.5
341,CNV__LEF1,10,2,0.5
488,MUT__NRAS,10,1,0.5
132,CNV__RPN1,10,2,0.5
397,CNV__ENPEP,10,3,0.5
189,CNV__TOP2A,10,3,0.5
48,CNV__RARA,10,2,0.5
420,CNV__PTPN11,9,3,0.45
270,CNV__RNF213,9,3,0.45
3,CNV__CCR7,9,1,0.45
283,CNV__IFNAR1,9,2,0.45
472,METH__CCDC115,9,2,0.45
190,CNV__BCLAF1,9,1,0.45
193,CNV__EPHA7,9,2,0.45
33,CNV__BRCA1,9,1,0.45
260,MUT__NOTCH1,9,0,0.45
328,CNV__EPAS1,9,2,0.45
421,CNV__MAP2K2,9,1,0.45
257,METH__BCLAF1,9,2,0.45
65,METH__ATG9A,9,2,0.45
153,CNV__DNAJB1,9,2,0.45
250,CNV__CALR,9,2,0.45
82,METH__STX3,9,2,0.45
388,CNV__OLIG2,9,2,0.45
63,CNV__HLF,8,0,0.4
264,CNV__MCM3AP,8,1,0.4
20,CNV__DNMT3A,8,2,0.4
454,CNV__SIN3A,8,2,0.4
410,MUT__KEAP1,8,0,0.4
27,CNV__PRDM1,8,1,0.4
169,METH__PRKAB1,8,1,0.4
268,CNV__SMARCA4,8,2,0.4
404,METH__MASTL,8,1,0.4
294,CNV__MSI2,8,1,0.4
161,CNV__IKZF3,8,2,0.4
223,CNV__ERBB2,8,1,0.4
220,CNV__GOPC,8,1,0.4
210,CNV__SH3GL1,8,1,0.4
425,CNV__CLTC,8,2,0.4
100,MUT__NF1,8,0,0.4
395,CNV__TCF12,7,1,0.35
293,CNV__AFF1,7,1,0.35
2,CNV__SMARCE1,7,1,0.35
382,CNV__COL1A1,7,1,0.35
415,METH__NAA38,7,0,0.35
202,METH__ZNF277,7,1,0.35
21,CNV__TAF15,7,0,0.35
448,CNV__STK11,7,1,0.35
262,METH__AZI2,7,1,0.35
101,CNV__STRN,7,1,0.35
211,CNV__MSH6,7,1,0.35
386,CNV__TBX3,7,2,0.35
133,METH__ESRRA,6,0,0.3
162,METH__JUND,6,1,0.3
158,METH__SAPS1,6,0,0.3
179,CNV__SPOP,6,2,0.3
217,CNV__HNF1A,6,0,0.3
177,CNV__TLL1,6,1,0.3
45,CNV__NCOA1,6,2,0.3
31,CNV__ALK,6,0,0.3
123,METH__COX6B1,6,0,0.3
462,METH__RMND5B,6,1,0.3
62,CNV__SOS1,6,0,0.3
15,METH__NDUFB9,6,0,0.3
108,CNV__CDK12,6,1,0.3
17,CNV__GNA13,6,2,0.3
22,CNV__WDCP,6,1,0.3
439,CNV__FSTL3,6,1,0.3
213,METH__SUV420H2,5,0,0.25
43,CNV__RAD51D,5,1,0.25
426,CNV__PRKACA,5,0,0.25
458,CNV__DTX1,5,0,0.25
449,CNV__TET2,5,0,0.25
125,METH__PRMT7,5,0,0.25
16,METH__TRIM23,5,1,0.25
460,CNV__SEPTIN9,5,0,0.25
7,METH__DSN1,5,0,0.25
424,CNV__BRIP1,5,0,0.25
275,CNV__SOX9,5,0,0.25
364,METH__CBLB,5,1,0.25
292,CNV__NCOR2,5,0,0.25
77,CNV__BCL7A,5,0,0.25
118,CNV__AXIN2,5,1,0.25
111,CNV__H3-3B,5,1,0.25
383,CNV__AFF3,5,2,0.25
326,METH__SMG7,5,0,0.25
363,METH__ARMC6,5,0,0.25
406,METH__C19orf20,5,1,0.25
338,CNV__RUNX1,5,1,0.25
254,METH__CENPF,4,0,0.2
312,METH__DOCK4,4,0,0.2
407,METH__WBP4,4,0,0.2
348,CNV__KMT2D,4,1,0.2
376,METH__TATDN1,4,0,0.2
435,METH__UPF1,4,0,0.2
205,MUT__CREBBP,4,0,0.2
430,METH__RUFY2,4,1,0.2
387,METH__DNAJC27,4,0,0.2
450,METH__ADAM9,4,0,0.2
0,CNV__STAT3,4,1,0.2
103,CNV__FANCL,4,0,0.2
35,METH__TTC9C,4,1,0.2
41,CNV__CD79B,4,2,0.2
136,MUT__SMAD4,4,0,0.2
30,METH__KIAA0753,4,0,0.2
139,METH__FBXO15,4,0,0.2
113,CNV__MLLT6,4,0,0.2
13,METH__TGS1,4,0,0.2
331,CNV__SRSF2,3,0,0.15
411,METH__KHDRBS1,3,0,0.15
330,METH__CUL2,3,1,0.15
152,CNV__CLIP1,3,1,0.15
23,METH__RPS27,3,0,0.15
368,METH__REV3L,3,0,0.15
57,METH__QTRTD1,3,0,0.15
302,METH__CTH,3,0,0.15
61,CNV__BCL11A,3,0,0.15
99,METH__CDC40,3,0,0.15
32,METH__WAPAL,3,0,0.15
98,METH__CEP72,3,1,0.15
385,METH__C20orf72,3,0,0.15
149,METH__LRPPRC,3,1,0.15
36,CNV__PRKAR1A,3,0,0.15
4,CNV__ETV4,3,0,0.15
107,METH__QSER1,2,0,0.1
451,MUT__PRR14,2,0,0.1
1,CNV__STAT5B,2,0,0.1
227,METH__ATG2A,2,0,0.1
394,METH__C6orf130,2,0,0.1
39,METH__SFRS14,2,0,0.1
259,METH__RALY,2,0,0.1
231,METH__C1GALT1,2,0,0.1
86,METH__ATP5E,2,0,0.1
349,METH__WWOX,2,0,0.1
282,METH__C22orf13,2,0,0.1
18,METH__BRIP1,2,0,0.1
255,METH__CEP70,2,1,0.1
181,METH__LOC100216545,2,0,0.1
59,METH__TMEM68,2,0,0.1
194,METH__ASNSD1,2,0,0.1
11,CNV__WNK4,2,0,0.1
165,MUT__CTCF,2,0,0.1
90,METH__C2CD3,1,0,0.05
366,METH__SFRS6,1,0,0.05
287,CNV__LASP1,1,0,0.05
89,METH__SPCS2,1,0,0.05
238,MUT__SPEN,1,0,0.05
356,MUT__NCOR1,1,0,0.05
390,MUT__MSH6,1,0,0.05
171,CNV__KEAP1,1,0,0.05
343,METH__ING4,1,0,0.05
